#{"env_id": "DemonAttackNoFrameskip-v4", "gym_version": "0.9.2", "t_start": 1513095679.043225}
r,l,t
80.0,612,11.046232
175.0,1048,22.567236
160.0,1224,37.809947
90.0,1080,51.351187
120.0,560,58.332862
50.0,274,61.729591
760.0,2404,92.050059
220.0,2980,129.858285
30.0,386,134.568032
150.0,1066,148.027231
110.0,930,159.675924
190.0,1019,172.347275
110.0,551,179.111269
80.0,1186,193.83542
100.0,319,197.641054
150.0,2037,223.187136
250.0,979,235.511336
50.0,288,239.051747
40.0,448,244.665769
205.0,1707,265.952947
280.0,1602,286.053798
140.0,559,292.930372
90.0,992,305.299585
100.0,626,313.153038
265.0,1207,328.357548
120.0,621,336.146482
160.0,1001,349.094294
120.0,742,358.345355
175.0,797,368.511304
80.0,684,377.025806
80.0,551,383.937114
60.0,362,388.530588
140.0,823,398.774805
160.0,859,409.616817
175.0,966,421.74055
205.0,1542,441.394453
100.0,464,447.10339
100.0,624,454.837036
90.0,660,463.140208
50.0,295,466.722926
110.0,790,476.573475
160.0,788,486.644981
60.0,301,490.439306
30.0,237,493.347198
175.0,2004,518.441829
280.0,1169,533.044951
190.0,895,544.289753
205.0,932,555.832548
120.0,1052,569.046022
100.0,763,578.694157
50.0,324,582.635658
220.0,785,592.540102
190.0,645,600.601232
90.0,657,608.728404
90.0,465,614.452711
175.0,1152,629.030654
130.0,685,637.601444
220.0,855,648.239677
205.0,1047,661.314787
190.0,825,671.594778
140.0,574,678.754808
130.0,637,686.866314
265.0,1848,710.058541
100.0,736,719.334634
140.0,638,727.222262
295.0,1078,740.685566
175.0,869,751.728418
110.0,502,758.029606
140.0,481,764.031556
80.0,603,771.521625
160.0,843,781.998167
175.0,1071,795.359291
50.0,334,799.53348
175.0,1079,813.275568
355.0,1358,830.380532
385.0,1474,848.709589
500.0,1838,871.6311
140.0,574,878.695045
175.0,897,889.997097
700.0,1597,910.092059
90.0,498,916.337025
205.0,1066,929.656169
150.0,934,941.349445
190.0,1043,954.548434
70.0,384,959.349845
205.0,1153,973.829568
235.0,906,985.061097
340.0,1241,1000.656758
280.0,1266,1016.464586
265.0,1021,1029.196879
150.0,675,1037.619998
220.0,826,1047.87326
250.0,979,1060.189348
355.0,1410,1077.844229
150.0,523,1084.308697
100.0,687,1092.745689
220.0,710,1101.636275
480.0,1608,1121.842091
295.0,1549,1141.133818
340.0,1500,1159.813214
340.0,1155,1174.218067
140.0,783,1183.915599
220.0,978,1196.143474
280.0,1308,1212.560806
340.0,2066,1238.331439
190.0,909,1249.863052
1460.0,2586,1282.175714
90.0,413,1287.344197
140.0,475,1293.288464
140.0,621,1301.038652
760.0,1738,1322.947096
140.0,508,1329.214091
1700.0,2277,1357.98542
1280.0,2638,1391.367898
370.0,1158,1405.890264
265.0,955,1417.802948
520.0,1452,1436.258076
1040.0,2196,1463.684952
640.0,1896,1487.484812
110.0,543,1494.19697
1000.0,2370,1523.968147
440.0,1605,1544.103225
295.0,1079,1557.414729
325.0,1170,1571.972417
355.0,1336,1588.668471
250.0,1024,1601.331928
120.0,481,1607.225917
385.0,1266,1623.237865
820.0,1923,1647.148597
980.0,1944,1671.525868
980.0,1897,1694.89379
420.0,1348,1711.664048
30.0,413,1716.749227
140.0,941,1728.388334
385.0,1469,1746.551612
1300.0,2272,1774.73752
460.0,1826,1797.603957
130.0,658,1805.80657
220.0,946,1817.54834
1420.0,2451,1848.564483
920.0,1976,1873.313517
370.0,1714,1894.764624
3030.0,3355,1936.994274
370.0,1324,1953.578014
1880.0,2326,1982.652917
190.0,1030,1995.572875
340.0,1569,2015.370425
80.0,663,2023.724781
1480.0,2222,2051.567148
280.0,939,2063.399251
190.0,723,2072.261512
1320.0,2256,2100.498462
