#{"t_start": 1513094814.7696712, "gym_version": "0.9.4", "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
40.0,413,12.89915
310.0,1724,43.400079
100.0,662,59.069329
50.0,319,66.218129
235.0,1058,90.614676
205.0,2344,144.602389
140.0,782,162.74149
70.0,829,181.513222
80.0,384,190.062153
140.0,863,209.739223
175.0,1029,233.328801
90.0,664,248.422179
110.0,622,262.512568
70.0,362,270.687202
265.0,1391,302.558586
340.0,2464,358.782547
160.0,1047,382.710394
205.0,849,402.121217
140.0,814,420.825792
235.0,1246,449.172822
110.0,722,465.559718
175.0,809,484.21091
280.0,1862,527.596389
50.0,510,539.227962
160.0,1213,567.167978
940.0,2799,631.045937
265.0,1596,667.977872
205.0,1307,698.270175
110.0,771,715.974591
140.0,911,736.783664
130.0,804,755.126819
175.0,1392,786.756687
160.0,981,809.255304
110.0,638,823.907887
110.0,1054,848.44745
150.0,866,868.170435
90.0,1673,906.917135
205.0,1206,934.595112
130.0,790,952.535412
70.0,401,961.798521
130.0,670,977.046966
110.0,721,993.703565
160.0,853,1013.018603
110.0,523,1025.160509
120.0,1878,1068.681903
140.0,737,1085.584041
235.0,1516,1120.883183
325.0,1887,1164.692202
310.0,1381,1196.649064
205.0,1309,1226.863887
60.0,541,1239.107851
110.0,776,1256.788504
90.0,615,1270.767789
130.0,637,1285.398211
60.0,562,1298.01713
100.0,514,1309.842963
295.0,1731,1349.753808
100.0,535,1361.765464
265.0,1293,1391.71049
120.0,538,1404.049516
150.0,1499,1438.916611
110.0,827,1457.663369
60.0,254,1463.308009
205.0,1045,1487.078828
120.0,638,1501.6008
205.0,1083,1526.448446
110.0,595,1540.092595
90.0,688,1555.922356
175.0,1180,1583.057107
250.0,1264,1612.692074
265.0,980,1635.358788
130.0,485,1646.307796
280.0,1396,1678.262187
70.0,402,1687.49578
140.0,617,1701.482184
150.0,655,1716.540878
110.0,586,1730.129173
80.0,657,1744.978494
205.0,1135,1771.126703
110.0,463,1781.813712
60.0,422,1791.36485
325.0,1548,1827.120702
150.0,893,1847.583756
150.0,877,1867.846259
100.0,538,1880.067196
80.0,601,1893.573157
190.0,951,1915.1711
355.0,1426,1947.929761
110.0,578,1961.212797
175.0,1122,1987.494024
60.0,347,1995.390794
190.0,1283,2024.974481
90.0,514,2036.633945
150.0,1199,2064.376184
130.0,814,2083.287785
205.0,974,2105.652096
100.0,628,2120.11298
265.0,1300,2150.515731
40.0,230,2155.959944
265.0,1189,2183.460564
385.0,1362,2214.582525
60.0,366,2222.868046
70.0,505,2234.267479
80.0,357,2242.406074
110.0,525,2254.326541
120.0,638,2268.977005
90.0,407,2278.206594
80.0,488,2289.219322
220.0,905,2310.016317
70.0,412,2319.494086
120.0,884,2339.494667
40.0,379,2348.06445
150.0,681,2363.570064
160.0,787,2381.391084
80.0,491,2392.707377
40.0,315,2399.4219
120.0,581,2412.656691
190.0,1123,2438.743896
150.0,1102,2464.265908
150.0,893,2485.099791
80.0,617,2499.318695
250.0,1186,2526.477694
160.0,779,2544.338695
100.0,553,2557.024296
100.0,446,2567.42847
140.0,1148,2594.143893
160.0,612,2607.902551
175.0,917,2628.646274
70.0,352,2636.425899
150.0,857,2656.136787
90.0,768,2673.501254
235.0,958,2695.346841
40.0,381,2704.013639
250.0,973,2726.57667
60.0,380,2735.314664
130.0,868,2755.544287
190.0,852,2775.237535
80.0,487,2786.255919
220.0,971,2808.502324
90.0,506,2820.107811
130.0,557,2832.686364
140.0,586,2846.078736
100.0,611,2860.076089
250.0,1031,2883.601943
110.0,645,2898.443484
80.0,457,2909.136281
70.0,445,2919.098522
120.0,863,2938.706763
80.0,544,2951.109684
720.0,1527,2986.136553
160.0,784,3004.026395
100.0,498,3015.445051
150.0,680,3031.113185
190.0,954,3053.077927
160.0,736,3069.869662
190.0,699,3085.696578
