#{"env_id": "DemonAttackNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.514356}
r,l,t
80.0,818,21.392748
70.0,450,31.891826
235.0,1021,54.652797
110.0,497,63.302016
80.0,501,71.983992
90.0,587,82.396761
40.0,385,89.301775
150.0,730,107.076366
60.0,651,122.035461
325.0,1231,150.348512
120.0,676,165.660397
150.0,1024,189.345283
295.0,1253,218.443408
130.0,912,238.961385
175.0,1304,268.685256
80.0,1523,303.749847
100.0,535,315.898607
60.0,333,323.290213
205.0,729,340.232927
50.0,395,349.108933
220.0,1341,379.929269
310.0,2323,433.178959
90.0,756,450.561071
205.0,1020,473.914441
100.0,855,493.622795
50.0,383,502.470444
175.0,1121,528.088048
175.0,824,547.273647
190.0,1597,584.735858
40.0,288,591.185287
160.0,1334,621.784153
130.0,859,641.585671
235.0,1185,669.060259
110.0,1226,697.101098
100.0,656,711.903761
70.0,478,722.725456
175.0,1601,759.530728
140.0,769,777.134286
100.0,734,793.936769
130.0,556,806.568498
70.0,384,815.123416
190.0,840,834.752361
100.0,486,845.967233
80.0,680,861.686971
120.0,617,875.937432
220.0,1178,903.423675
140.0,684,918.965428
110.0,774,936.467921
80.0,630,951.329307
220.0,1202,978.650991
150.0,1553,1014.331246
100.0,469,1025.101329
120.0,584,1038.294178
160.0,737,1055.024248
70.0,575,1068.188286
235.0,1422,1100.856883
120.0,672,1116.343632
110.0,715,1132.723329
205.0,737,1149.603334
140.0,730,1166.422599
205.0,1073,1191.053278
100.0,502,1202.44239
130.0,1047,1226.300041
110.0,899,1246.961005
40.0,478,1257.732795
100.0,759,1275.020024
140.0,785,1292.903605
60.0,634,1307.236848
160.0,931,1328.790587
205.0,1080,1353.341663
100.0,743,1370.310709
1060.0,1846,1412.701929
205.0,1340,1443.630949
100.0,555,1456.650196
190.0,1190,1483.961989
250.0,787,1501.805974
295.0,1425,1534.334186
310.0,1346,1565.368332
120.0,786,1583.433376
100.0,692,1599.498292
130.0,547,1611.940361
140.0,648,1626.533429
160.0,1046,1650.259712
110.0,531,1662.508716
265.0,1242,1691.35042
40.0,225,1696.206878
265.0,1126,1722.080165
190.0,1226,1750.395151
190.0,1254,1779.13095
150.0,719,1795.503736
80.0,476,1806.232064
100.0,1004,1829.216538
355.0,1131,1855.405843
150.0,832,1874.488825
120.0,640,1888.936783
90.0,721,1905.238689
295.0,1790,1946.330602
100.0,511,1957.814938
130.0,740,1974.557769
70.0,480,1985.466998
90.0,982,2007.951447
250.0,1043,2031.99115
130.0,676,2047.441926
265.0,1360,2078.628052
90.0,588,2091.870809
160.0,1841,2134.354027
235.0,2243,2186.367107
265.0,1753,2226.725999
40.0,245,2232.149576
130.0,984,2254.498641
140.0,729,2271.214095
10.0,363,2279.345981
175.0,978,2301.766939
90.0,560,2314.785222
110.0,659,2329.810156
60.0,639,2344.431507
80.0,899,2365.306361
355.0,1404,2397.536681
70.0,379,2406.262558
70.0,685,2421.791974
70.0,557,2434.600799
295.0,1147,2460.848591
280.0,1300,2490.885323
175.0,1014,2514.176546
160.0,1050,2538.449077
250.0,2335,2592.179588
80.0,746,2609.296712
90.0,694,2625.285233
150.0,681,2640.968997
110.0,559,2653.508388
295.0,1318,2683.485321
220.0,797,2701.610058
160.0,791,2719.591466
130.0,725,2736.100966
40.0,383,2744.696785
150.0,681,2760.340106
20.0,443,2770.377403
110.0,540,2782.581883
150.0,776,2800.415498
150.0,796,2818.527062
110.0,573,2831.880724
190.0,830,2850.781838
220.0,1439,2884.289265
90.0,459,2894.823417
175.0,1105,2920.012358
80.0,525,2931.846434
100.0,578,2945.082169
60.0,313,2952.210138
100.0,625,2966.197999
265.0,964,2988.14569
130.0,819,3006.972014
150.0,865,3026.719412
60.0,574,3039.628083
140.0,675,3055.452098
90.0,531,3067.651321
1420.0,2533,3126.229187
130.0,729,3143.056877
90.0,698,3158.808838
150.0,773,3176.197893
130.0,741,3193.243791
265.0,1036,3217.038099
140.0,1434,3249.552228
220.0,820,3268.323236
120.0,753,3285.548651
190.0,846,3304.425624
140.0,776,3322.011352
190.0,946,3343.587308
190.0,1076,3368.10048
130.0,694,3383.605507
60.0,362,3391.557112
70.0,540,3403.721928
160.0,958,3425.209716
110.0,583,3438.329213
325.0,1891,3481.337556
80.0,544,3493.636047
205.0,931,3514.70677
310.0,1220,3542.354221
250.0,981,3563.946805
70.0,661,3579.05745
150.0,1040,3602.046
70.0,535,3613.599328
150.0,1060,3637.148489
150.0,629,3651.017332
130.0,595,3664.334634
235.0,946,3686.070934
295.0,1247,3714.418433
130.0,736,3731.35376
400.0,1930,3775.108318
90.0,583,3788.291428
40.0,352,3796.161326
295.0,1639,3833.622772
120.0,787,3851.504956
295.0,953,3872.711346
100.0,396,3881.285692
150.0,833,3900.242025
130.0,643,3914.947281
370.0,1424,3947.469303
110.0,688,3962.950498
140.0,862,3982.689032
120.0,480,3993.187563
175.0,954,4014.713463
60.0,451,4024.909028
325.0,1552,4059.972275
140.0,690,4075.782127
190.0,1122,4101.385939
355.0,1281,4130.126659
235.0,1161,4156.272354
205.0,1509,4190.46685
265.0,1298,4220.390806
70.0,602,4234.004227
100.0,880,4254.109477
280.0,1189,4281.487595
110.0,600,4295.178242
140.0,674,4310.456666
130.0,715,4326.955672
220.0,1209,4354.779531
295.0,1161,4381.359875
150.0,968,4403.780245
235.0,1139,4430.075718
235.0,1803,4471.499147
130.0,781,4489.747473
70.0,412,4499.128707
50.0,250,4504.812157
80.0,608,4518.8777
90.0,700,4534.950222
140.0,995,4557.999071
90.0,670,4573.258516
280.0,1568,4609.347138
190.0,1663,4647.365468
60.0,609,4661.219352
280.0,998,4684.257541
190.0,1125,4709.859794
130.0,954,4731.29085
175.0,1298,4760.833107
140.0,718,4777.233463
295.0,1606,4814.501866
190.0,964,4836.462726
130.0,638,4851.111378
150.0,708,4867.461033
175.0,1156,4890.832418
60.0,505,4900.815196
50.0,395,4908.660534
130.0,626,4921.349456
310.0,1561,4952.808651
325.0,1734,4988.126428
205.0,1052,5009.04318
440.0,1952,5048.977011
120.0,735,5063.595542
325.0,1407,5091.638276
340.0,1414,5120.035108
265.0,1185,5144.102954
70.0,464,5153.453019
150.0,943,5172.282685
140.0,744,5187.562227
500.0,1765,5222.948351
120.0,486,5232.482761
235.0,1140,5255.400278
100.0,639,5268.289474
120.0,600,5280.369108
100.0,829,5296.99637
140.0,719,5311.378151
220.0,1057,5332.765776
190.0,1568,5364.473072
110.0,674,5378.388359
250.0,1130,5401.356909
190.0,1119,5424.099737
40.0,755,5438.847226
70.0,418,5447.149252
70.0,597,5458.967995
235.0,994,5479.066923
1020.0,2233,5524.506724
120.0,1625,5557.521228
130.0,764,5572.861777
205.0,1727,5608.312862
80.0,562,5619.43722
220.0,1095,5641.797487
310.0,1614,5674.629679
205.0,1460,5703.834196
385.0,1476,5733.286344
150.0,1687,5767.151997
80.0,527,5777.330997
70.0,315,5783.895049
60.0,506,5795.162709
310.0,1253,5823.484296
265.0,1406,5855.531024
340.0,1109,5880.109281
310.0,1297,5906.147533
120.0,595,5917.945745
60.0,634,5930.708582
420.0,1807,5966.351933
40.0,446,5975.385711
120.0,904,5993.762194
160.0,717,6008.110051
130.0,707,6022.412939
120.0,686,6036.260302
90.0,762,6051.739971
160.0,852,6068.767032
190.0,1134,6091.601097
265.0,1631,6124.759794
40.0,377,6132.274668
160.0,837,6149.244889
150.0,962,6168.955905
440.0,1733,6203.684627
235.0,1119,6226.586275
190.0,802,6242.54867
110.0,701,6256.637921
220.0,1166,6280.130909
190.0,987,6300.295184
130.0,771,6315.798638
340.0,1564,6347.536346
190.0,897,6365.504773
160.0,1030,6386.38767
70.0,581,6398.002985
150.0,1760,6433.959001
80.0,604,6446.057062
265.0,1340,6472.750322
90.0,450,6481.772501
120.0,671,6495.496675
160.0,1244,6520.873898
120.0,742,6535.582901
60.0,350,6542.442953
110.0,636,6555.347204
325.0,986,6575.026491
310.0,1296,6601.293171
130.0,594,6612.955563
175.0,885,6630.542958
370.0,1423,6659.259069
190.0,1050,6680.054942
340.0,1311,6706.714915
310.0,1580,6738.600561
160.0,963,6758.054626
250.0,933,6776.708956
175.0,718,6790.898823
295.0,1256,6816.732503
340.0,1426,6845.009952
140.0,1019,6865.526753
90.0,535,6876.060477
265.0,1101,6898.40098
120.0,859,6915.807582
250.0,919,6934.244927
295.0,1640,6967.374098
190.0,872,6984.66721
175.0,1045,7005.847715
190.0,1534,7037.068497
250.0,1150,7060.084138
370.0,1483,7090.126183
120.0,579,7101.895841
460.0,1872,7139.688489
80.0,825,7155.929312
220.0,1049,7177.121689
70.0,435,7185.760387
265.0,882,7203.34024
280.0,1526,7234.410762
100.0,534,7245.03193
140.0,829,7261.226007
295.0,1790,7297.018334
100.0,608,7309.467495
340.0,1605,7342.081891
220.0,1143,7364.926624
150.0,1116,7387.639955
280.0,1121,7410.009546
325.0,1508,7440.969105
130.0,738,7456.12078
60.0,398,7463.95546
190.0,825,7480.675169
340.0,1224,7505.69991
190.0,1019,7526.115866
120.0,711,7540.33388
205.0,1245,7565.229295
280.0,1184,7589.00456
295.0,1176,7612.855774
235.0,1074,7634.418248
140.0,664,7647.674756
325.0,1177,7671.07642
80.0,729,7685.830812
355.0,1569,7717.764647
660.0,2086,7760.144021
325.0,1491,7790.846478
205.0,919,7809.528136
460.0,1669,7842.54749
310.0,1331,7869.261838
340.0,1446,7898.76156
265.0,1204,7923.500208
100.0,531,7934.220006
100.0,504,7944.302397
150.0,778,7959.814189
205.0,1165,7983.394125
90.0,731,7997.987223
355.0,1832,8034.841605
280.0,1036,8056.117125
1360.0,2433,8105.741818
175.0,827,8122.448532
370.0,1276,8148.176475
1820.0,2222,8193.213175
140.0,865,8210.966809
150.0,985,8230.665963
160.0,839,8247.546526
1600.0,2910,8306.090445
190.0,1089,8328.05961
150.0,778,8343.727446
80.0,873,8361.181656
280.0,1277,8386.957897
520.0,1485,8416.992866
310.0,1210,8441.161793
900.0,2371,8489.214607
250.0,1052,8510.112936
385.0,1473,8539.647702
175.0,1134,8562.118037
160.0,1061,8583.691556
340.0,1467,8613.603959
280.0,879,8631.22575
385.0,1562,8662.850924
520.0,1339,8690.610169
325.0,1505,8720.518042
130.0,454,8729.803624
385.0,1384,8757.658541
265.0,1537,8788.338887
295.0,1479,8818.216375
440.0,1928,8857.350497
175.0,1099,8879.00977
480.0,1714,8913.126949
205.0,1307,8939.953763
400.0,1498,8970.665621
325.0,1193,8994.969008
310.0,1668,9029.190998
780.0,1959,9069.450248
175.0,807,9085.753629
190.0,1038,9106.370239
205.0,1062,9127.601781
500.0,1279,9153.502389
640.0,1633,9186.307623
900.0,1987,9225.65361
220.0,995,9245.37401
130.0,586,9257.02875
295.0,1427,9285.319226
880.0,1773,9320.681099
150.0,1130,9343.397507
880.0,1993,9383.97527
280.0,1275,9409.429835
600.0,2100,9451.864947
205.0,1123,9474.323056
1040.0,2636,9527.74869
620.0,1732,9562.474534
480.0,1620,9594.811192
325.0,1097,9616.908907
385.0,1346,9644.461149
265.0,1071,9666.460925
310.0,1412,9695.219784
150.0,732,9709.898076
440.0,2119,9752.154703
400.0,1565,9783.678491
340.0,1392,9811.86541
440.0,1342,9838.830183
400.0,2008,9879.311206
660.0,1885,9917.219437
250.0,1091,9939.207895
205.0,1050,9960.753185
1740.0,2241,10006.0739
220.0,1041,10027.008834
175.0,917,10045.239946
370.0,1381,10073.049777
340.0,1155,10096.361061
1380.0,2416,10145.335272
