#{"gym_version": "0.9.4", "t_start": 1513094863.5929062, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
310.0,1730,42.073896
205.0,1338,72.886665
100.0,518,84.6207
220.0,1363,115.716813
90.0,787,133.727658
190.0,778,151.292437
160.0,827,169.910071
100.0,666,185.186045
130.0,975,207.390188
70.0,541,219.617729
70.0,585,232.798296
70.0,576,246.079136
205.0,1416,278.783721
205.0,1558,314.512016
355.0,2439,370.443456
295.0,1406,402.929211
130.0,825,421.656148
160.0,1554,457.223068
130.0,573,470.221118
120.0,785,488.391212
150.0,1168,515.368041
235.0,1150,541.665334
70.0,726,558.197858
160.0,902,579.09483
190.0,987,601.771878
30.0,323,608.992173
90.0,1757,649.077297
130.0,415,658.481484
175.0,1509,692.836354
40.0,254,698.438519
150.0,1006,721.359321
100.0,1182,748.52812
60.0,794,766.772037
220.0,1204,794.667871
80.0,1017,818.191049
120.0,870,837.83502
265.0,1768,878.986368
110.0,785,896.885973
340.0,1299,926.730019
205.0,1622,964.230771
265.0,1497,999.150155
340.0,1096,1024.460544
140.0,748,1041.536021
160.0,741,1058.329858
150.0,930,1079.755129
130.0,772,1097.535205
80.0,770,1115.281803
150.0,1275,1144.108188
120.0,851,1163.60591
80.0,573,1176.634767
250.0,966,1198.558648
50.0,208,1203.144536
190.0,1298,1232.771054
175.0,1057,1257.120578
110.0,749,1274.151453
80.0,439,1284.158577
100.0,599,1297.950259
150.0,639,1312.470658
110.0,732,1329.23308
370.0,1208,1357.346177
60.0,364,1365.614583
100.0,450,1375.754508
205.0,807,1394.085776
250.0,1806,1435.618963
70.0,591,1448.983893
295.0,1014,1471.662005
60.0,467,1482.319061
205.0,1061,1506.70426
110.0,718,1523.197027
175.0,1182,1550.160743
60.0,318,1557.195959
325.0,1413,1590.090409
60.0,481,1600.814654
150.0,844,1619.974484
370.0,1349,1650.907745
150.0,893,1671.193793
80.0,515,1683.023796
140.0,814,1701.411211
120.0,888,1721.802606
100.0,800,1740.641685
100.0,638,1755.389556
140.0,846,1774.692622
160.0,1115,1800.619085
235.0,1212,1828.430081
80.0,520,1840.159369
250.0,1183,1866.883348
80.0,576,1879.93898
120.0,622,1893.974011
220.0,1289,1923.811395
175.0,915,1945.186861
110.0,521,1956.999543
110.0,973,1978.953609
80.0,834,1997.859909
140.0,828,2016.589181
140.0,657,2031.924694
265.0,1334,2062.864635
60.0,359,2071.05385
190.0,866,2091.446143
160.0,1561,2127.522791
190.0,1104,2152.796348
80.0,442,2162.643858
110.0,609,2176.293222
175.0,808,2194.764365
205.0,1167,2221.967456
205.0,1137,2248.341151
160.0,914,2269.381487
140.0,714,2285.653625
80.0,482,2296.513685
140.0,772,2314.231715
60.0,512,2325.934324
10.0,206,2330.438957
205.0,886,2350.836251
265.0,1215,2378.560249
90.0,503,2390.070923
60.0,299,2396.768893
205.0,851,2416.318893
160.0,1837,2458.844726
120.0,746,2475.609197
110.0,771,2492.994226
235.0,946,2514.834436
340.0,1693,2553.969593
150.0,963,2575.603677
100.0,625,2589.817932
70.0,523,2601.564836
70.0,663,2616.445752
100.0,554,2628.866563
160.0,1138,2654.609195
325.0,1418,2687.267766
130.0,616,2701.426924
140.0,489,2712.769598
150.0,722,2729.261275
60.0,382,2738.127908
385.0,1470,2771.659365
150.0,859,2791.55552
140.0,598,2805.22119
140.0,703,2821.233621
280.0,1584,2857.821396
175.0,834,2876.89307
50.0,473,2887.663247
160.0,791,2905.814203
40.0,322,2912.907753
175.0,587,2925.986108
370.0,1296,2955.943878
160.0,887,2976.661273
190.0,883,2996.786716
90.0,398,3005.556764
80.0,646,3020.166881
30.0,278,3026.452632
130.0,651,3041.40979
110.0,706,3057.585617
265.0,950,3079.310789
280.0,1292,3109.083009
235.0,960,3131.039207
110.0,723,3147.614917
190.0,885,3167.614007
310.0,1352,3198.468335
60.0,371,3206.623629
110.0,680,3221.934649
120.0,822,3240.636317
160.0,753,3257.523726
90.0,1187,3284.683144
235.0,1042,3308.430359
175.0,1035,3331.832997
30.0,228,3336.769407
190.0,799,3354.647732
160.0,923,3375.578562
205.0,821,3394.228164
50.0,511,3405.61471
265.0,1232,3433.216873
130.0,755,3450.120901
220.0,1086,3474.214947
140.0,617,3488.28964
250.0,1038,3512.072726
120.0,459,3522.266374
355.0,1246,3550.466521
1080.0,1949,3594.464423
220.0,1186,3621.27556
205.0,1080,3645.286841
150.0,821,3663.861979
295.0,1139,3689.596027
100.0,598,3703.077704
60.0,438,3713.032812
235.0,1315,3743.215545
400.0,1537,3778.027427
