#{"t_start": 1513094813.5200534, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,825,21.599581
-19.0,1111,41.4176
-21.0,1052,65.221892
-21.0,760,82.983992
-21.0,777,100.945416
-21.0,882,121.202303
-21.0,818,140.146898
-21.0,757,157.837683
-21.0,762,175.69729
-21.0,908,196.469973
-21.0,812,215.051534
-19.0,1056,239.462903
-20.0,831,258.638168
-20.0,1037,282.563405
-20.0,863,302.612492
-20.0,957,324.635509
-21.0,821,343.262475
-21.0,787,361.513802
-18.0,1011,384.77639
-21.0,762,402.3484
-20.0,918,423.681817
-20.0,1054,447.814514
-21.0,838,467.179263
-21.0,844,486.87946
-21.0,760,504.619954
-21.0,827,524.098685
-21.0,956,546.455098
-21.0,823,565.337276
-19.0,1222,593.298205
-21.0,763,611.087708
-20.0,1025,634.372781
-19.0,964,656.983931
-20.0,869,677.2329
-20.0,928,698.775507
-20.0,877,719.102671
-21.0,877,739.304965
-20.0,836,758.674075
-20.0,1051,782.570842
-21.0,760,800.195098
-21.0,759,817.84961
-19.0,1021,841.745863
-19.0,979,864.354967
-21.0,785,882.507705
-21.0,763,900.171611
-20.0,855,920.133932
-21.0,757,937.745435
-21.0,789,956.001417
-20.0,839,975.445544
-19.0,1111,1001.376685
-19.0,1159,1028.103215
-21.0,780,1046.512756
-21.0,764,1064.259774
-21.0,764,1081.905688
-21.0,960,1104.220507
-20.0,930,1125.980354
-20.0,838,1145.679646
-20.0,997,1169.015963
-21.0,809,1187.765847
-20.0,1002,1210.991685
-21.0,776,1229.097364
-18.0,1269,1258.355362
-20.0,954,1280.369241
-21.0,816,1299.234724
-21.0,821,1318.448736
-20.0,941,1340.383079
-21.0,854,1359.906318
-21.0,849,1379.816126
-20.0,837,1399.177708
-21.0,838,1418.932704
-20.0,990,1441.920414
-21.0,819,1460.739146
-21.0,982,1483.269714
-20.0,901,1504.093944
-21.0,761,1521.816669
-21.0,757,1539.412974
-20.0,870,1559.77655
-21.0,760,1577.400942
-21.0,760,1594.98126
-19.0,916,1616.635188
-20.0,892,1637.581401
-17.0,1149,1664.0348
-19.0,1004,1687.380049
-19.0,949,1709.316195
-20.0,834,1728.918857
-21.0,764,1746.493059
-21.0,760,1764.070684
-21.0,786,1782.539773
-20.0,1071,1807.389406
-21.0,906,1828.515689
-19.0,998,1851.600299
-21.0,759,1869.362367
-21.0,849,1888.865286
-20.0,992,1911.576402
-21.0,761,1929.248967
-20.0,939,1950.984948
-20.0,841,1970.455537
-21.0,1013,1994.546908
-21.0,1045,2018.866302
-20.0,1101,2044.358713
-21.0,762,2062.151026
-21.0,761,2079.933588
-20.0,934,2101.843924
-21.0,841,2121.409829
-21.0,959,2144.17169
-21.0,867,2164.685224
-21.0,809,2183.624798
-21.0,944,2205.258289
-21.0,788,2223.553981
-20.0,915,2244.77813
-21.0,819,2263.676745
-21.0,788,2282.174648
-19.0,1037,2306.120256
-21.0,822,2325.304495
-21.0,793,2343.451349
-21.0,800,2361.9699
-21.0,764,2379.605154
-21.0,760,2397.110447
-21.0,758,2414.514651
-21.0,757,2432.197258
-21.0,759,2449.931483
-21.0,760,2467.655126
-20.0,863,2487.979176
-19.0,1022,2511.81596
-21.0,764,2529.409419
-21.0,849,2549.164754
-21.0,894,2570.226459
-20.0,989,2593.437413
-20.0,928,2614.650269
-19.0,1066,2639.12514
-20.0,837,2658.514911
-19.0,1022,2681.962955
-21.0,835,2701.360663
-21.0,909,2722.616172
-20.0,926,2744.257971
-21.0,908,2765.78693
-21.0,777,2783.871091
-21.0,939,2805.572982
-21.0,853,2825.563524
-21.0,786,2843.583622
-19.0,1037,2867.582132
-21.0,776,2885.510951
-20.0,839,2905.29896
-20.0,837,2924.752727
-21.0,866,2944.646194
-20.0,974,2967.310871
-21.0,821,2986.264263
-20.0,999,3009.359564
-21.0,903,3030.631067
-21.0,818,3049.671536
-21.0,817,3068.39638
-21.0,968,3090.843846
-21.0,817,3109.831505
-21.0,782,3127.949219
-20.0,837,3147.55228
-21.0,819,3166.744003
-21.0,840,3185.926088
-21.0,763,3203.247918
-20.0,899,3223.937604
-20.0,881,3244.314843
-21.0,824,3263.287491
-19.0,1041,3287.314263
-21.0,936,3308.608775
-21.0,843,3327.903949
-21.0,785,3346.01148
-21.0,822,3364.756613
-21.0,875,3384.864969
-19.0,934,3405.495281
-20.0,1169,3432.574033
-21.0,823,3451.005766
-20.0,842,3470.049309
-21.0,818,3488.936126
-20.0,859,3507.943333
-21.0,884,3528.226026
-21.0,819,3547.058534
-21.0,821,3565.903089
-21.0,781,3583.842074
-21.0,941,3605.217378
-20.0,1046,3628.888682
-21.0,998,3651.419966
-21.0,906,3672.268213
-21.0,942,3693.875299
-21.0,881,3714.194379
-20.0,898,3734.88946
-20.0,934,3756.238553
-21.0,880,3776.313109
-20.0,842,3795.91399
-20.0,835,3815.164123
-20.0,889,3835.51523
-21.0,876,3855.691829
-20.0,913,3876.425278
-21.0,966,3898.590239
-20.0,840,3917.943379
-20.0,951,3939.753207
-21.0,819,3958.538843
-19.0,911,3979.476641
-19.0,984,4002.117299
-20.0,838,4021.362249
-21.0,819,4040.095268
-21.0,763,4057.720664
-20.0,923,4078.496084
-20.0,1095,4103.750589
-21.0,899,4124.007315
-21.0,821,4142.745362
-20.0,1095,4167.713799
-20.0,832,4186.903954
-20.0,836,4206.144743
-21.0,785,4224.253177
-21.0,783,4242.247528
-21.0,796,4260.527997
-21.0,894,4281.056687
-21.0,845,4300.615298
-20.0,868,4320.87817
-20.0,1045,4345.720582
-21.0,1082,4370.956695
-21.0,937,4392.640505
-21.0,885,4413.350085
-21.0,938,4435.054013
-21.0,865,4455.318164
-20.0,901,4476.7133
-19.0,1012,4500.295308
-19.0,1113,4526.274881
-21.0,816,4545.13902
-20.0,833,4564.500773
-19.0,1099,4589.47696
-21.0,807,4608.383351
-20.0,834,4627.631836
-19.0,935,4649.256424
-21.0,782,4667.249871
-21.0,900,4687.988426
-21.0,787,4706.000673
-20.0,981,4729.040788
-21.0,881,4749.381039
-21.0,787,4767.867862
-19.0,1074,4793.267993
-21.0,914,4814.756222
-21.0,824,4833.103324
-20.0,830,4850.015349
-21.0,838,4866.936819
-18.0,1179,4890.900043
-21.0,780,4906.774323
-20.0,840,4924.297268
-20.0,1032,4944.86399
-20.0,915,4963.519866
-21.0,846,4980.644323
-20.0,838,4997.973551
-19.0,930,5016.760603
-18.0,1100,5039.045318
-21.0,961,5058.287988
-21.0,944,5077.725829
-21.0,763,5093.184878
-20.0,940,5112.236843
-21.0,846,5129.490303
-21.0,823,5146.202204
-21.0,861,5163.741668
-21.0,791,5180.026523
-21.0,922,5198.579601
-21.0,819,5215.230685
-19.0,1062,5237.005121
-21.0,884,5255.172424
-21.0,838,5272.190467
-21.0,757,5287.580579
-18.0,1216,5312.476254
-21.0,823,5329.306622
-20.0,841,5346.493301
-20.0,838,5363.771756
-21.0,841,5380.814775
-21.0,779,5396.646843
-21.0,822,5413.499224
-21.0,885,5431.567578
-21.0,822,5448.405797
-20.0,903,5466.878924
-21.0,896,5485.298131
-21.0,790,5501.380623
-20.0,837,5518.677223
-19.0,1082,5540.642854
-20.0,865,5558.50842
-20.0,1005,5578.975964
-19.0,1144,5602.806067
-20.0,1022,5623.890434
-21.0,842,5640.794274
-21.0,818,5657.411113
-20.0,842,5674.616163
-21.0,911,5693.043948
-21.0,927,5711.848708
-21.0,874,5729.774939
-21.0,821,5747.572543
-21.0,912,5768.576674
-21.0,967,5790.97716
-21.0,901,5812.057101
-20.0,865,5832.164187
-20.0,897,5851.047754
-20.0,984,5870.983192
-21.0,820,5887.447169
-21.0,820,5904.181242
-18.0,1134,5926.885887
-20.0,1025,5947.88798
