#{"env_id": "PongNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.6267357}
r,l,t
-20.0,836,21.893267
-21.0,855,39.985572
-21.0,761,58.003077
-21.0,876,73.567393
-21.0,760,87.166759
-21.0,759,105.608728
-21.0,838,125.095492
-21.0,857,144.922166
-21.0,905,165.746833
-21.0,763,183.557503
-21.0,757,201.216634
-19.0,962,223.686025
-20.0,1076,248.330681
-20.0,960,270.307286
-21.0,791,288.604559
-18.0,1069,313.262686
-21.0,758,330.821664
-21.0,857,350.764613
-21.0,903,371.842074
-20.0,960,394.013526
-21.0,899,414.678584
-20.0,960,436.808462
-21.0,764,454.332722
-21.0,759,471.961784
-21.0,761,489.648525
-21.0,761,507.417462
-21.0,811,526.047217
-20.0,836,545.872817
-21.0,762,563.742712
-21.0,820,583.153322
-21.0,764,600.749405
-21.0,896,621.615217
-21.0,943,643.717025
-21.0,820,662.672956
-21.0,759,680.417815
-20.0,959,702.288408
-20.0,881,722.624256
-21.0,817,741.415375
-20.0,1018,765.182119
-20.0,977,787.824121
-21.0,817,806.636161
-21.0,1058,831.407796
-20.0,898,852.381839
-21.0,899,873.466166
-20.0,1015,897.40571
-20.0,990,920.411391
-20.0,831,939.447797
-21.0,1004,963.042474
-20.0,838,982.386249
-21.0,842,1001.8903
-21.0,912,1022.941508
-20.0,834,1042.247003
-20.0,1021,1065.836987
-21.0,821,1084.883826
-21.0,837,1104.239367
-21.0,780,1122.422718
-21.0,820,1141.660892
-21.0,791,1159.797506
-20.0,930,1181.545113
-20.0,1076,1206.35792
-20.0,923,1227.582186
-21.0,764,1245.333863
-21.0,762,1262.89894
-21.0,785,1280.864286
-21.0,758,1298.481549
-21.0,763,1316.097222
-21.0,849,1335.863909
-21.0,928,1357.113869
-21.0,822,1376.063978
-21.0,760,1393.741181
-21.0,852,1413.498858
-21.0,906,1434.574673
-21.0,932,1456.59952
-20.0,931,1478.241217
-21.0,851,1497.76688
-20.0,837,1517.002223
-21.0,780,1535.016176
-21.0,901,1555.814751
-19.0,1206,1583.96541
-21.0,846,1603.760087
-19.0,987,1626.447489
-21.0,759,1643.756049
-21.0,759,1661.581816
-21.0,761,1679.300099
-21.0,817,1698.367204
-21.0,758,1716.016819
-21.0,810,1734.809371
-21.0,779,1752.939507
-21.0,820,1772.005945
-20.0,982,1794.517438
-19.0,1075,1819.432319
-20.0,1049,1843.784547
-21.0,757,1861.315505
-21.0,761,1878.929094
-19.0,994,1901.842416
-20.0,838,1921.172056
-21.0,810,1939.813977
-21.0,790,1957.911305
-19.0,1130,1983.918377
-20.0,891,2004.599317
-21.0,757,2021.884734
-21.0,762,2039.811744
-21.0,815,2058.632138
-21.0,942,2080.330637
-21.0,821,2099.350843
-19.0,998,2122.413269
-21.0,850,2142.107018
-21.0,870,2162.450973
-21.0,758,2180.076447
-21.0,1059,2204.694611
-21.0,854,2224.375863
-21.0,776,2242.245953
-21.0,778,2260.25518
-21.0,960,2282.431998
-21.0,818,2301.340601
-21.0,880,2321.967367
-21.0,882,2342.487459
-21.0,866,2362.60621
-21.0,762,2380.28431
-21.0,824,2399.521887
-20.0,892,2420.225425
-21.0,789,2438.50885
-21.0,786,2456.651355
-20.0,1039,2480.921869
-20.0,959,2503.006831
-21.0,918,2524.596619
-20.0,902,2545.330273
-20.0,882,2566.01115
