#{"gym_version": "0.9.4", "t_start": 1513094863.5189757, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,762,20.106597
-20.0,927,41.494469
-20.0,1017,65.14533
-19.0,1018,88.682838
-21.0,820,107.472768
-21.0,817,126.360677
-21.0,945,147.915775
-20.0,862,167.753185
-20.0,976,190.351992
-20.0,1036,214.202686
-20.0,1069,238.628683
-19.0,935,260.770586
-20.0,930,282.118944
-19.0,1022,305.69352
-20.0,1065,330.429612
-21.0,908,351.143141
-21.0,816,370.060641
-21.0,819,389.139995
-21.0,759,406.737888
-21.0,821,425.526306
-20.0,840,444.959533
-20.0,1006,468.199626
-21.0,823,487.296624
-20.0,882,508.129167
-21.0,818,526.849659
-21.0,762,544.503172
-20.0,1048,568.627294
-21.0,791,587.413864
-21.0,879,607.752146
-21.0,781,625.64591
-20.0,1037,649.368584
-21.0,943,671.117402
-21.0,934,692.460947
-21.0,781,710.3776
-18.0,1207,738.084753
-20.0,897,759.073965
-21.0,761,776.660869
-21.0,824,796.063618
-19.0,1066,820.805613
-20.0,949,842.527481
-21.0,822,861.963637
-20.0,855,881.817614
-21.0,851,901.518458
-20.0,886,922.013723
-21.0,764,939.830931
-21.0,788,958.203776
-21.0,840,977.822677
-16.0,1192,1005.906566
-19.0,1030,1029.753729
-21.0,905,1050.718789
-21.0,821,1069.87502
-21.0,865,1089.645003
-21.0,791,1108.190431
-18.0,1134,1134.334407
-21.0,761,1151.70836
-21.0,776,1169.502941
-20.0,945,1191.307503
-21.0,866,1211.280466
-21.0,963,1233.400494
-21.0,942,1255.214979
-21.0,848,1274.826334
-21.0,781,1293.188037
-21.0,852,1312.812561
-21.0,790,1331.143147
-20.0,1097,1357.001512
-19.0,1032,1380.843369
-21.0,761,1398.453166
-21.0,793,1416.729089
-20.0,861,1436.65452
-20.0,901,1457.229053
-21.0,877,1477.207197
-20.0,875,1497.693085
-21.0,850,1517.214766
-20.0,1159,1543.898213
-19.0,1142,1570.536057
-18.0,1025,1594.428942
-20.0,914,1615.354311
-21.0,1061,1639.94548
-19.0,1074,1664.697717
-20.0,838,1684.142747
-20.0,930,1705.43858
-20.0,837,1724.951559
-20.0,835,1744.591807
-21.0,791,1763.213338
-21.0,783,1781.331172
-20.0,924,1803.009298
-21.0,823,1822.114872
-21.0,823,1841.052511
-21.0,787,1859.094963
-20.0,869,1878.923047
-20.0,837,1898.296695
-21.0,792,1916.642978
-20.0,953,1939.200094
-21.0,824,1958.332172
-20.0,1004,1981.151488
-19.0,1203,2008.754048
-21.0,1050,2033.428719
-20.0,853,2053.279103
-21.0,847,2073.086904
-20.0,839,2093.028349
-21.0,780,2111.247338
-20.0,839,2130.765599
-20.0,1109,2156.11733
-21.0,852,2175.600856
-21.0,971,2198.109817
-20.0,930,2219.978086
-21.0,806,2238.748727
-21.0,783,2257.048406
-20.0,968,2279.6458
-21.0,820,2298.510321
-20.0,888,2319.096875
-20.0,841,2338.752602
-18.0,1257,2367.844346
-21.0,924,2389.277736
