#{"t_start": 1513094816.1790152, "gym_version": "0.9.4", "env_id": "QbertNoFrameskip-v4"}
r,l,t
0.0,284,9.030825
50.0,304,14.407274
175.0,335,20.121855
225.0,318,25.573273
125.0,332,31.31184
100.0,321,36.78983
50.0,298,42.002133
25.0,298,49.179987
250.0,402,58.263453
250.0,361,66.410374
0.0,281,72.813709
25.0,289,79.241054
75.0,328,86.544957
475.0,342,94.337753
175.0,318,101.40713
125.0,300,108.175304
350.0,537,120.046604
200.0,337,127.524234
200.0,382,136.199196
75.0,349,144.294867
125.0,295,151.000414
0.0,280,157.183686
25.0,286,163.688831
100.0,320,170.789908
100.0,337,178.277418
300.0,401,187.153347
225.0,336,194.779521
200.0,301,201.516514
375.0,419,210.802521
0.0,281,217.039165
0.0,278,223.219392
50.0,267,229.102112
50.0,289,235.597531
25.0,243,240.905805
25.0,292,247.454623
0.0,290,253.849112
25.0,290,260.362585
125.0,261,266.093056
150.0,333,273.628374
75.0,305,280.375863
50.0,270,286.261013
100.0,288,292.827522
100.0,313,299.879144
200.0,349,307.770205
75.0,322,314.88995
75.0,273,320.821093
175.0,329,328.136773
450.0,449,338.174621
75.0,325,345.262724
50.0,263,351.001621
100.0,287,357.587151
150.0,292,364.005151
300.0,453,374.307228
25.0,295,380.791095
225.0,366,388.975991
100.0,287,395.382935
50.0,251,400.99374
575.0,448,411.172525
175.0,296,417.797262
175.0,394,426.695872
225.0,342,434.136613
575.0,361,442.223498
50.0,295,448.81651
175.0,315,455.682957
50.0,311,462.679534
150.0,307,469.864139
0.0,284,476.106722
0.0,276,482.192723
100.0,329,489.854158
50.0,305,496.757084
150.0,358,504.691346
75.0,257,510.340366
625.0,445,520.822998
100.0,327,528.160666
200.0,336,535.766392
125.0,338,543.517298
275.0,451,553.655501
375.0,405,562.708247
75.0,312,569.662169
175.0,306,576.448577
250.0,389,585.080287
25.0,292,591.464469
125.0,357,599.587104
25.0,291,606.179926
100.0,268,612.035366
375.0,314,618.889388
75.0,308,625.736688
50.0,304,632.363695
25.0,285,638.931024
550.0,388,647.612622
200.0,364,655.936318
300.0,396,664.73788
50.0,273,671.021065
250.0,361,679.324419
150.0,288,685.628716
225.0,333,693.112425
50.0,319,700.291847
75.0,256,705.99153
0.0,279,712.318976
75.0,356,720.413658
50.0,306,727.246719
75.0,335,734.53164
0.0,282,740.762167
75.0,273,746.940633
25.0,248,752.332995
50.0,255,758.074633
75.0,308,764.743538
25.0,291,771.205342
50.0,296,777.635112
50.0,300,784.288777
50.0,306,791.061418
600.0,527,803.193962
50.0,314,810.182777
125.0,330,817.658343
350.0,459,828.084805
250.0,398,837.258823
