#{"env_id": "QbertNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094770.8598096}
r,l,t
0.0,275,9.391008
50.0,247,14.918853
100.0,277,21.097929
125.0,316,28.43535
100.0,304,34.712699
175.0,315,40.402965
50.0,310,48.611067
225.0,324,55.780547
125.0,282,60.673922
50.0,260,64.997254
25.0,283,69.861476
75.0,310,75.266654
150.0,285,80.255927
100.0,345,86.196835
725.0,454,96.751035
50.0,304,103.538619
50.0,302,110.427554
50.0,298,117.134653
250.0,328,124.438213
150.0,311,131.397378
500.0,380,140.011697
50.0,260,145.744903
175.0,336,153.371749
475.0,361,161.320941
550.0,392,170.144784
175.0,341,177.901921
125.0,308,184.792768
325.0,428,194.691592
0.0,287,200.992212
225.0,360,209.267389
150.0,340,216.904411
125.0,322,224.164078
25.0,297,230.724316
250.0,394,239.378996
25.0,296,246.067871
75.0,300,252.651047
50.0,247,257.975065
75.0,289,264.369727
200.0,367,272.603397
200.0,386,281.262558
75.0,317,288.502956
475.0,350,296.250276
175.0,342,303.928698
100.0,335,311.487261
50.0,258,317.166037
75.0,316,324.192818
275.0,511,335.90716
50.0,267,341.959466
250.0,354,349.911346
0.0,282,356.421717
100.0,297,362.977566
225.0,365,371.193922
225.0,451,381.278877
175.0,318,388.491149
50.0,296,395.098512
200.0,427,404.812874
25.0,256,410.363497
75.0,266,416.224061
475.0,365,424.355818
25.0,285,430.554235
125.0,341,438.231282
475.0,349,446.108729
75.0,321,453.204371
25.0,288,459.607523
0.0,284,465.929444
100.0,337,473.558623
125.0,353,481.554319
150.0,315,488.613038
150.0,390,497.583039
675.0,528,509.621959
100.0,279,515.858289
775.0,527,527.657976
225.0,450,538.077899
375.0,446,548.356798
500.0,368,556.586868
200.0,325,564.160614
300.0,378,572.995185
325.0,472,583.826545
100.0,278,590.077701
50.0,276,596.194486
275.0,399,605.090733
600.0,388,614.067227
125.0,316,621.01568
25.0,283,627.349139
25.0,288,633.835972
50.0,305,640.748806
50.0,315,648.031434
50.0,307,654.895454
50.0,261,660.663049
0.0,279,666.780663
75.0,270,672.938336
225.0,372,681.354921
175.0,334,688.71239
150.0,332,696.133365
175.0,320,703.163472
275.0,383,711.744342
225.0,323,719.009642
225.0,368,727.184716
75.0,312,734.184126
100.0,322,741.31388
25.0,293,747.869335
100.0,283,754.273952
50.0,295,760.841752
200.0,286,767.281526
225.0,453,777.509262
225.0,387,786.246573
0.0,281,792.50203
150.0,266,798.431121
575.0,361,806.534496
275.0,433,816.217797
225.0,398,825.396695
0.0,286,831.937976
700.0,492,843.319179
225.0,308,850.159679
150.0,324,857.499595
725.0,530,869.733695
275.0,406,879.123159
100.0,325,886.553008
150.0,314,893.750792
50.0,267,899.626822
250.0,392,908.611739
175.0,325,915.873239
125.0,279,922.037925
100.0,264,927.78261
75.0,283,933.970563
175.0,304,940.815362
100.0,318,948.145848
150.0,305,955.205616
350.0,386,963.818482
