#{"gym_version": "0.9.4", "t_start": 1513094863.7055662, "env_id": "QbertNoFrameskip-v4"}
r,l,t
200.0,403,11.416712
225.0,364,19.532273
125.0,343,27.207146
75.0,336,34.672771
50.0,299,41.409896
50.0,309,48.285128
150.0,339,55.924265
125.0,342,63.736814
100.0,305,70.522027
225.0,403,79.512886
500.0,355,87.544688
175.0,354,95.462304
25.0,287,101.902378
100.0,311,108.745371
575.0,359,116.817063
75.0,276,122.85697
200.0,357,130.984041
150.0,335,138.436685
125.0,345,145.940848
425.0,358,154.142758
0.0,276,160.143401
125.0,287,166.363777
100.0,360,174.416117
125.0,271,180.503208
275.0,425,190.109661
25.0,240,195.375014
25.0,257,201.078066
275.0,397,209.925839
75.0,318,216.998898
75.0,319,224.128314
150.0,331,231.393751
125.0,292,237.856959
125.0,352,246.038696
50.0,306,252.944876
50.0,297,259.667525
75.0,327,267.14538
225.0,335,274.587228
150.0,294,280.983648
200.0,303,287.748637
75.0,265,293.70322
50.0,301,300.23345
0.0,285,306.641975
0.0,279,312.935045
125.0,290,319.3507
25.0,289,325.805341
0.0,278,332.009905
250.0,370,340.212982
100.0,339,347.759166
475.0,355,355.62882
50.0,304,362.492881
125.0,341,370.133002
25.0,292,376.721275
175.0,376,385.265847
150.0,337,392.913674
100.0,338,400.475904
0.0,282,406.738581
50.0,310,413.564228
25.0,298,420.202686
450.0,386,428.712446
25.0,291,435.152031
100.0,326,442.621019
525.0,462,453.019895
150.0,301,459.627635
200.0,357,467.72103
175.0,319,474.930958
150.0,309,481.847182
100.0,350,489.929821
50.0,295,496.559023
150.0,284,502.972841
50.0,244,508.448601
200.0,354,516.309236
75.0,305,523.109598
125.0,296,529.678355
575.0,461,540.120764
75.0,309,546.971511
100.0,267,552.850393
300.0,417,562.406061
50.0,302,569.000863
150.0,351,577.146996
175.0,385,585.977424
275.0,393,594.93788
50.0,291,601.331974
200.0,401,610.433246
200.0,316,617.451936
150.0,287,623.711638
0.0,288,630.202607
575.0,396,638.890929
125.0,295,645.515697
125.0,359,653.516686
125.0,337,661.046518
175.0,431,670.67513
100.0,381,679.260657
150.0,335,686.607616
475.0,357,694.422705
75.0,298,701.121562
400.0,470,711.713666
100.0,398,720.633925
75.0,301,727.192857
0.0,291,733.71345
25.0,287,740.103579
125.0,325,747.489349
75.0,301,754.227456
325.0,443,764.299681
50.0,305,771.242042
75.0,268,777.130673
50.0,304,783.992545
75.0,308,791.018232
125.0,352,799.072925
100.0,319,806.293549
475.0,367,814.575604
250.0,374,822.868225
75.0,329,830.219375
25.0,297,836.742612
0.0,284,843.017848
25.0,289,849.33874
125.0,306,856.499402
650.0,406,865.799354
325.0,385,874.621996
200.0,313,881.576539
175.0,320,888.712004
200.0,303,895.496496
125.0,343,903.403513
275.0,406,912.611057
700.0,494,923.712246
425.0,336,931.327919
225.0,334,938.80451
300.0,378,947.457494
325.0,397,956.339233
300.0,376,964.822322
125.0,306,971.743662
300.0,373,980.362092
125.0,352,988.470137
175.0,323,995.851453
575.0,381,1004.447299
225.0,356,1012.363807
225.0,403,1021.559073
50.0,303,1028.332454
50.0,299,1034.986664
50.0,259,1040.79724
50.0,293,1047.390628
