#{"t_start": 1513095700.2773666, "gym_version": "0.9.2", "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,963,16.216297
-20.0,898,27.893913
-21.0,846,38.68846
-18.0,1104,52.959903
-21.0,846,63.786407
-21.0,763,73.715924
-20.0,886,85.192135
-19.0,1103,99.635592
-21.0,820,110.184092
-19.0,1037,123.676459
-21.0,759,133.409461
-21.0,817,144.055115
-21.0,818,154.610302
-21.0,970,167.088025
-19.0,950,179.271622
-20.0,956,191.783102
-21.0,849,202.551427
-21.0,761,212.431105
-21.0,838,223.214425
-20.0,899,234.800809
-20.0,896,246.373812
-21.0,865,257.475552
-21.0,928,269.334438
-21.0,878,280.624914
-21.0,929,292.798982
-20.0,969,305.429465
-21.0,759,315.322538
-21.0,764,325.268304
-21.0,820,335.917348
-21.0,853,347.086883
-21.0,783,357.242491
-20.0,876,368.554309
-21.0,817,379.047844
-20.0,892,390.705885
-20.0,1010,403.789754
-20.0,996,416.65709
-21.0,803,427.146839
-16.0,1439,445.868982
-21.0,864,457.15741
-21.0,984,469.900352
-21.0,761,479.634077
-21.0,855,490.863803
-20.0,1006,504.161301
-21.0,781,514.285965
-21.0,758,524.217518
-21.0,960,536.617275
-20.0,1150,551.60077
-21.0,807,562.086435
-20.0,896,573.762389
-21.0,855,584.748308
-20.0,843,595.628859
-20.0,955,607.983347
-21.0,804,618.381232
-21.0,874,629.87335
-21.0,1018,643.008567
-20.0,927,655.055632
-21.0,760,664.867688
-21.0,759,674.675432
-21.0,786,684.852292
-20.0,948,697.229446
-21.0,823,708.116399
-17.0,1166,723.424008
-21.0,883,734.935184
-21.0,842,745.91659
-20.0,831,756.60521
-19.0,914,768.42882
-21.0,846,779.521854
-20.0,856,790.644786
-20.0,961,803.086605
-20.0,944,815.137773
-19.0,1074,829.03596
-20.0,1243,844.993337
-21.0,882,856.314116
-20.0,840,867.302707
-20.0,838,878.145088
-21.0,850,889.234448
-20.0,942,901.291502
-21.0,817,911.940192
-21.0,779,922.116321
-21.0,823,932.964871
-19.0,1022,946.117078
-20.0,988,958.864924
-21.0,881,970.061786
-21.0,819,980.618537
-19.0,1031,994.001139
-21.0,783,1004.061111
-21.0,837,1014.816261
-19.0,1193,1030.105039
-19.0,1089,1044.223163
-21.0,908,1055.945526
-21.0,864,1067.123128
-19.0,1084,1081.001458
-18.0,1103,1095.228176
-18.0,1266,1111.607571
-21.0,903,1123.284732
-20.0,894,1134.735268
-19.0,1020,1147.790109
-21.0,942,1159.886853
-21.0,942,1172.182245
-20.0,1051,1185.754175
-21.0,1004,1198.69957
-21.0,823,1209.487699
-21.0,816,1220.296418
-20.0,860,1231.616924
-20.0,917,1243.308055
-21.0,945,1255.602967
-21.0,783,1265.982152
-18.0,1304,1282.946729
-21.0,989,1295.667674
-21.0,762,1305.570084
-20.0,962,1317.978795
-21.0,913,1329.899714
-21.0,1076,1343.983805
-21.0,758,1353.938783
-21.0,885,1365.380899
-21.0,849,1376.508677
-20.0,963,1388.93854
-21.0,822,1399.554037
-19.0,1163,1414.908378
-21.0,978,1427.598088
-19.0,1030,1440.804953
-21.0,989,1453.67344
-21.0,775,1463.634392
-21.0,971,1476.165842
-20.0,911,1487.873869
-21.0,967,1500.318392
-21.0,944,1512.653483
-21.0,901,1524.527955
-21.0,810,1534.924317
-20.0,959,1547.37336
-20.0,979,1560.098913
-21.0,1017,1573.232771
-21.0,945,1585.580645
-20.0,862,1596.78946
-21.0,811,1607.349219
-20.0,1078,1621.40548
-20.0,987,1634.30877
-21.0,806,1644.607265
-21.0,942,1656.791226
-21.0,962,1669.266152
-21.0,973,1681.708468
-21.0,806,1692.132725
-20.0,955,1704.335589
-20.0,917,1716.15452
-19.0,988,1728.938147
-20.0,1046,1742.495826
-20.0,913,1754.186682
-21.0,942,1766.57328
-20.0,1002,1779.540633
-20.0,899,1791.109451
-21.0,788,1801.223557
-21.0,1057,1815.058922
-20.0,1078,1829.231937
-21.0,838,1839.972974
-21.0,912,1851.802743
-21.0,865,1863.127078
-21.0,946,1875.452354
-21.0,940,1887.672536
-21.0,780,1897.699672
-20.0,836,1908.631569
-21.0,911,1920.493164
-21.0,819,1931.018964
-21.0,805,1941.362221
-21.0,836,1952.08368
-21.0,865,1963.163041
-20.0,836,1974.063097
-21.0,941,1986.305753
-21.0,936,1998.597237
-20.0,1005,2011.701801
-20.0,839,2022.690316
-19.0,1172,2037.85938
-19.0,1126,2052.350572
-21.0,1027,2065.593271
-21.0,850,2076.629183
