#{"t_start": 1513094816.4812036, "gym_version": "0.9.4", "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
120.0,755,17.235557
150.0,1027,35.212617
220.0,1658,72.298389
50.0,543,84.581737
235.0,1448,117.706407
160.0,1088,142.850737
370.0,1472,176.827127
80.0,893,197.149436
80.0,624,211.147364
205.0,899,231.813778
160.0,667,246.96333
250.0,1706,285.950394
175.0,1209,313.894175
220.0,1416,345.895854
140.0,615,359.953568
140.0,666,375.063089
120.0,844,394.327952
140.0,1113,419.864269
100.0,780,437.416067
140.0,900,457.88985
205.0,1678,497.122622
90.0,457,507.316219
130.0,866,527.569285
140.0,1244,556.293134
220.0,2148,605.614924
160.0,1145,631.402589
120.0,962,653.764534
160.0,1327,684.386081
100.0,782,702.316871
160.0,980,724.931017
250.0,1274,753.958431
235.0,2232,805.054295
100.0,666,820.213231
190.0,867,840.432876
110.0,652,855.318265
130.0,645,870.011223
325.0,4000,962.666122
235.0,1172,989.692348
140.0,1023,1012.982453
30.0,409,1022.433778
160.0,1411,1055.126574
120.0,648,1069.875697
190.0,973,1092.327459
340.0,1517,1127.63814
205.0,894,1148.236488
90.0,804,1166.880528
120.0,650,1181.705681
130.0,964,1203.792885
80.0,669,1219.289332
190.0,1137,1245.254264
220.0,1437,1278.265457
150.0,979,1300.511129
90.0,617,1314.819704
205.0,1002,1338.032089
250.0,1487,1372.115332
340.0,1802,1414.186691
30.0,239,1419.437572
130.0,922,1440.567522
280.0,1904,1484.093711
130.0,926,1505.348991
150.0,724,1521.954443
70.0,396,1530.980667
120.0,734,1547.846193
140.0,813,1566.475561
70.0,281,1572.72636
90.0,722,1589.267141
295.0,1866,1632.947295
130.0,560,1645.557735
80.0,487,1656.538848
150.0,1215,1684.66735
110.0,628,1698.899106
30.0,322,1706.118086
40.0,605,1719.903602
30.0,194,1724.393273
160.0,891,1744.802154
160.0,648,1759.504378
100.0,942,1781.405923
160.0,820,1800.198226
50.0,346,1808.025132
50.0,380,1816.572581
100.0,669,1831.969783
130.0,613,1845.973401
205.0,1042,1870.133311
385.0,1631,1907.160391
220.0,931,1928.524466
30.0,327,1935.629304
205.0,1135,1961.942982
130.0,585,1975.487002
130.0,544,1988.1938
50.0,315,1995.349028
130.0,781,2013.238149
120.0,564,2026.12268
120.0,709,2042.293551
100.0,518,2054.096451
90.0,723,2070.729851
120.0,833,2090.195318
130.0,679,2105.616087
295.0,1061,2130.000501
205.0,648,2145.34031
130.0,615,2159.750984
355.0,1475,2193.880008
100.0,786,2211.674356
140.0,706,2227.816586
250.0,717,2244.151202
70.0,390,2252.994744
70.0,509,2264.597538
140.0,843,2283.933241
80.0,430,2293.693975
160.0,828,2312.712162
90.0,681,2328.218846
220.0,935,2349.582479
420.0,1742,2389.747372
140.0,676,2404.901917
190.0,1027,2428.587646
50.0,251,2434.215087
175.0,774,2451.996953
140.0,603,2465.746155
100.0,561,2478.851717
90.0,522,2490.718529
140.0,862,2510.646224
100.0,491,2521.707606
175.0,807,2540.192225
130.0,797,2558.626026
110.0,564,2571.412573
110.0,618,2585.812477
60.0,318,2593.123468
90.0,498,2604.249152
50.0,318,2611.208272
60.0,323,2618.387235
60.0,321,2625.48892
160.0,726,2642.215529
150.0,784,2659.783999
175.0,1070,2684.309326
265.0,1117,2709.850237
50.0,273,2716.170906
250.0,1108,2741.809869
80.0,296,2748.736169
50.0,269,2754.804691
40.0,318,2761.965668
40.0,383,2770.643356
120.0,778,2788.582772
235.0,923,2809.852417
140.0,869,2829.69498
90.0,784,2847.664039
110.0,567,2860.626176
310.0,835,2879.462967
110.0,590,2893.020911
220.0,832,2912.503195
250.0,1320,2942.5933
70.0,428,2952.3044
60.0,335,2959.897911
120.0,561,2972.570754
295.0,1110,2997.895617
265.0,1143,3024.413076
70.0,320,3031.567852
150.0,701,3047.687222
325.0,947,3069.217741
150.0,657,3084.092345
100.0,524,3096.221306
110.0,452,3106.384938
100.0,642,3120.977003
110.0,546,3133.602854
150.0,909,3154.603253
140.0,609,3168.517484
110.0,540,3180.621782
190.0,693,3196.180809
130.0,575,3208.940648
