#{"env_id": "DemonAttackNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.460396}
r,l,t
250.0,1685,39.907443
175.0,1274,66.838304
90.0,489,75.464261
310.0,1554,108.605449
130.0,940,130.160188
70.0,512,141.794438
100.0,739,158.688196
80.0,583,171.94535
150.0,827,191.072731
130.0,701,207.234638
100.0,961,229.24701
175.0,1134,254.925753
120.0,713,271.114212
110.0,1118,296.743788
70.0,488,307.726095
120.0,638,322.286407
90.0,1164,349.246588
190.0,1014,372.651047
150.0,715,389.01289
220.0,1865,431.622937
175.0,1140,457.664669
130.0,881,478.008343
265.0,1583,514.610761
110.0,716,531.032734
280.0,1173,558.201463
250.0,1276,588.225242
60.0,276,594.368252
110.0,1323,624.853397
175.0,937,646.651618
130.0,759,663.877465
110.0,516,675.670007
280.0,1300,705.337464
90.0,545,717.698166
70.0,454,727.865142
295.0,1397,759.873005
150.0,1110,785.412266
190.0,1011,808.596227
50.0,442,818.574952
150.0,797,837.100995
130.0,654,852.222932
70.0,605,866.227778
70.0,402,875.490135
295.0,1889,919.387001
355.0,1592,956.135779
140.0,910,976.783294
150.0,876,996.867262
280.0,1599,1033.684499
110.0,772,1051.192294
130.0,591,1064.669367
80.0,385,1073.319631
100.0,723,1089.887246
310.0,1675,1128.543651
310.0,1011,1151.774368
280.0,1148,1178.280402
120.0,662,1193.405043
70.0,466,1204.005807
150.0,767,1221.365287
130.0,851,1240.760744
325.0,2082,1288.665216
110.0,647,1303.361738
295.0,1308,1333.590301
70.0,448,1343.589782
40.0,509,1354.996594
235.0,1014,1378.279457
50.0,204,1382.81201
140.0,930,1404.14702
70.0,572,1417.079027
310.0,1860,1460.393958
120.0,659,1475.463137
205.0,1090,1500.471394
50.0,369,1508.689316
340.0,1986,1554.235734
190.0,1174,1581.443175
175.0,1174,1608.535809
220.0,1045,1632.150056
110.0,958,1654.083236
90.0,709,1670.592154
120.0,591,1684.190859
150.0,660,1699.225863
325.0,1555,1735.036623
130.0,591,1748.515104
120.0,467,1759.279807
90.0,802,1777.472957
250.0,1101,1802.599458
60.0,335,1810.002998
130.0,546,1822.455651
20.0,331,1829.89662
140.0,940,1851.779575
340.0,1301,1881.429655
70.0,524,1893.224094
325.0,1350,1924.198812
190.0,1081,1948.854913
220.0,1094,1973.612456
310.0,2691,2035.749832
340.0,1556,2071.445185
100.0,911,2092.191168
235.0,1183,2119.347215
150.0,638,2134.026016
140.0,1695,2172.952456
310.0,2778,2237.588566
100.0,597,2250.870006
80.0,1282,2280.476009
120.0,749,2297.5025
130.0,802,2316.070939
100.0,848,2335.552159
90.0,1328,2366.400867
280.0,1142,2392.50984
325.0,1235,2420.963052
265.0,1182,2448.260784
175.0,869,2468.221155
120.0,492,2479.404753
235.0,838,2498.467873
235.0,998,2521.618
280.0,1391,2553.544482
110.0,809,2572.051049
80.0,279,2578.076025
175.0,892,2598.511515
265.0,1026,2621.944046
80.0,577,2635.42484
120.0,850,2654.675385
110.0,724,2670.931759
265.0,1318,2701.200905
175.0,870,2720.883077
80.0,435,2730.759721
100.0,467,2741.319161
60.0,374,2749.637927
190.0,1553,2785.522962
140.0,649,2800.383088
295.0,1293,2830.252583
80.0,533,2842.363854
110.0,484,2853.35087
90.0,503,2864.82761
120.0,643,2879.621062
190.0,669,2895.109542
140.0,713,2911.335724
30.0,425,2920.816761
150.0,757,2938.14015
160.0,951,2959.798532
295.0,1012,2982.765017
295.0,1027,3006.393795
140.0,597,3019.768996
220.0,1210,3047.705911
250.0,1229,3076.433644
70.0,526,3088.503178
140.0,1059,3112.746791
60.0,407,3122.015279
80.0,754,3139.472515
70.0,560,3152.200207
70.0,449,3162.099418
140.0,825,3180.698731
120.0,569,3193.90325
295.0,2064,3241.127098
220.0,1228,3269.180493
220.0,1055,3292.99396
90.0,483,3303.858644
220.0,884,3323.988579
150.0,627,3338.205148
110.0,546,3350.431774
140.0,774,3368.046824
110.0,651,3382.575638
190.0,781,3400.12635
90.0,456,3410.090155
175.0,1117,3435.520288
370.0,1345,3466.088087
80.0,445,3476.033267
160.0,893,3496.2802
325.0,1379,3527.790186
130.0,522,3539.477544
110.0,658,3553.984524
420.0,1311,3583.212348
110.0,805,3601.057888
120.0,822,3618.746158
250.0,1619,3655.203387
130.0,984,3677.588441
130.0,964,3699.494967
150.0,681,3715.141122
295.0,1329,3745.660841
310.0,1209,3772.925835
110.0,480,3783.599739
160.0,1068,3808.230225
130.0,517,3819.855515
140.0,863,3839.347131
190.0,1067,3863.428605
90.0,498,3874.389245
280.0,1071,3898.389365
250.0,1192,3925.669734
140.0,792,3943.718561
150.0,937,3964.924537
160.0,771,3982.593087
80.0,578,3995.267219
190.0,1074,4019.664607
250.0,1203,4047.058537
325.0,1129,4072.440027
295.0,1036,4096.198294
80.0,767,4113.538635
160.0,868,4132.885746
205.0,870,4152.35902
60.0,318,4159.261584
130.0,512,4170.677915
265.0,1247,4199.430138
140.0,836,4218.40688
80.0,415,4227.837511
370.0,1135,4253.589188
110.0,552,4266.204302
130.0,496,4277.419225
100.0,468,4288.091861
190.0,1074,4312.731694
150.0,685,4328.514255
100.0,539,4340.843817
100.0,520,4352.560646
140.0,1046,4376.712076
325.0,1760,4417.34924
295.0,1186,4444.649855
60.0,272,4450.754717
190.0,785,4468.615408
235.0,883,4489.061141
60.0,395,4498.077168
205.0,755,4515.838465
190.0,1266,4544.998804
160.0,897,4565.52284
130.0,594,4579.144086
355.0,1279,4608.461776
235.0,2129,4657.406005
160.0,849,4676.822668
130.0,591,4690.426549
110.0,579,4703.459303
30.0,427,4712.963196
205.0,1040,4736.270736
100.0,702,4752.21535
80.0,643,4766.823689
370.0,1412,4799.37867
235.0,1140,4825.714391
175.0,898,4846.213334
90.0,424,4855.853084
265.0,1189,4881.490206
60.0,567,4892.728533
110.0,699,4906.704961
325.0,1194,4930.821335
310.0,1793,4967.475829
120.0,941,4986.273662
265.0,935,5004.955446
130.0,698,5018.964657
385.0,1296,5045.459388
265.0,1047,5066.186426
370.0,1730,5100.890849
205.0,910,5119.143454
90.0,555,5130.298836
235.0,947,5149.451803
80.0,627,5161.9693
100.0,627,5174.473967
220.0,1004,5195.097544
140.0,667,5208.409426
140.0,805,5224.256337
205.0,773,5239.88954
110.0,639,5252.393866
150.0,935,5271.245349
325.0,1404,5299.668352
205.0,1178,5323.464139
80.0,680,5337.201369
110.0,658,5350.371629
220.0,1354,5377.981009
480.0,2130,5421.438525
130.0,497,5431.272032
175.0,929,5449.585546
90.0,499,5459.541126
80.0,343,5466.352604
90.0,453,5475.368407
140.0,688,5489.232436
160.0,1102,5511.623341
120.0,765,5526.883159
60.0,554,5537.873394
110.0,1197,5562.256449
70.0,496,5572.192487
140.0,805,5588.736645
190.0,739,5603.556374
220.0,957,5622.767337
190.0,790,5638.923241
220.0,1218,5663.863617
325.0,1305,5689.816945
110.0,781,5705.352206
190.0,888,5723.044179
130.0,806,5739.068415
60.0,509,5749.00202
250.0,1485,5778.701282
205.0,1884,5821.112423
100.0,690,5836.840068
130.0,838,5855.837644
385.0,1592,5890.316137
150.0,1132,5912.819896
205.0,1276,5938.666647
340.0,1463,5967.337519
100.0,544,5978.323219
90.0,587,5990.171428
440.0,2359,6038.31624
120.0,674,6051.847423
325.0,1486,6081.518939
220.0,1245,6106.78638
205.0,1182,6130.875861
340.0,1264,6156.718212
220.0,899,6175.042953
120.0,524,6185.27096
250.0,1413,6213.844664
355.0,2091,6256.300646
130.0,941,6275.317889
385.0,1650,6308.956924
220.0,1590,6341.074398
130.0,717,6355.514315
250.0,1079,6377.148486
130.0,1756,6413.268224
150.0,837,6429.940204
160.0,883,6447.689321
150.0,796,6463.59377
120.0,530,6474.001205
50.0,334,6480.608464
280.0,1439,6510.130615
150.0,768,6525.506862
520.0,2196,6569.800117
100.0,433,6578.402741
325.0,1271,6604.138893
310.0,1826,6640.726907
160.0,781,6656.306879
130.0,658,6669.359711
90.0,647,6682.245073
340.0,1724,6717.190682
80.0,642,6730.027252
265.0,1075,6751.741328
250.0,1120,6774.318431
120.0,461,6783.376837
140.0,789,6799.123744
265.0,1093,6821.521365
70.0,702,6835.466291
370.0,1665,6868.794145
150.0,1073,6890.289706
265.0,1513,6921.144208
250.0,1014,6941.556955
175.0,976,6961.029872
860.0,2133,7004.048441
420.0,1829,7041.154243
340.0,1484,7071.142075
325.0,1273,7096.980341
120.0,817,7113.474601
420.0,1881,7151.192906
295.0,1047,7172.022065
440.0,1580,7203.986623
250.0,1032,7225.105101
150.0,720,7239.392305
620.0,1497,7268.99862
540.0,2008,7309.655481
370.0,1596,7342.023857
140.0,694,7355.740289
175.0,1016,7376.245181
80.0,486,7386.186816
220.0,915,7404.234579
480.0,2898,7463.530917
235.0,886,7481.475511
310.0,1218,7506.316663
1060.0,2611,7558.908083
150.0,649,7571.914316
140.0,967,7591.238828
310.0,1321,7618.116392
175.0,1132,7640.607072
340.0,2032,7681.783589
150.0,954,7701.076533
385.0,1640,7734.222319
295.0,1290,7760.550541
190.0,1136,7783.972965
295.0,1909,7822.66464
420.0,1630,7854.977126
295.0,1208,7879.30417
325.0,1412,7908.037199
130.0,841,7925.32367
235.0,918,7944.070515
120.0,900,7962.22185
460.0,1861,7999.784457
60.0,546,8010.573148
130.0,653,8023.719484
340.0,1176,8047.665764
295.0,1454,8077.3471
90.0,719,8091.883924
205.0,1134,8114.777167
340.0,1318,8141.06776
295.0,1613,8173.925016
130.0,688,8187.674678
355.0,1519,8218.687667
190.0,786,8234.448751
190.0,698,8248.463426
310.0,1539,8279.30954
340.0,1633,8312.076519
295.0,1312,8338.65568
295.0,1331,8365.444364
700.0,1891,8403.614933
340.0,1163,8427.10512
460.0,1667,8460.485493
60.0,328,8467.03709
205.0,1266,8492.63303
370.0,1501,8522.44898
175.0,946,8541.524311
265.0,1935,8580.339829
265.0,1565,8612.324164
1160.0,2110,8655.206683
385.0,1854,8693.31493
150.0,905,8711.214786
310.0,1174,8735.101347
150.0,1006,8755.163731
130.0,802,8771.164965
220.0,758,8786.301662
400.0,1392,8814.242407
265.0,1112,8836.638949
220.0,1390,8864.673847
250.0,1349,8891.549073
120.0,539,8902.195134
355.0,1647,8935.638974
540.0,1689,8970.260376
325.0,1405,8998.843414
820.0,2035,9040.707462
400.0,1135,9063.826294
205.0,888,9081.675857
1080.0,1955,9120.928128
120.0,762,9136.025822
310.0,1379,9164.157245
460.0,1718,9198.544496
310.0,1137,9220.744452
1400.0,2070,9262.052866
280.0,1417,9290.195166
2040.0,2540,9341.095208
175.0,824,9357.785677
440.0,1590,9389.849991
860.0,2125,9432.832412
325.0,1549,9463.878615
385.0,1664,9497.363826
190.0,1041,9518.59549
580.0,1554,9549.682258
265.0,1177,9573.062404
385.0,1498,9603.238003
370.0,1380,9631.040392
325.0,1492,9661.704275
700.0,1733,9697.059402
2380.0,2815,9753.466451
340.0,1223,9777.990159
940.0,1879,9816.13794
130.0,676,9829.671498
1040.0,2078,9871.355961
150.0,937,9890.149632
2000.0,2608,9943.104152
140.0,990,9963.284243
400.0,1803,9999.658036
325.0,1463,10029.114653
140.0,816,10045.371561
440.0,1739,10080.587551
140.0,1074,10102.023438
355.0,1497,10132.767908
440.0,1371,10160.369376
480.0,1628,10193.326294
385.0,1965,10233.492266
520.0,1448,10262.692553
150.0,1059,10284.195512
800.0,2001,10325.12662
1520.0,2789,10381.970897
1400.0,2101,10423.578089
580.0,1508,10453.999187
1000.0,1862,10491.071713
370.0,1523,10521.661041
1040.0,1982,10562.15519
1520.0,2368,10610.142994
385.0,1619,10642.665156
580.0,1432,10671.428885
1160.0,2261,10717.541338
740.0,2121,10760.632739
120.0,637,10773.615897
540.0,1682,10807.319438
1380.0,2788,10864.196286
325.0,1081,10886.113595
220.0,1250,10911.390367
150.0,616,10923.702116
1480.0,2145,10966.960121
480.0,1636,10999.889633
