#{"t_start": 1513094816.2214878, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,871,19.727631
-20.0,948,36.487145
-21.0,776,53.513861
-20.0,945,75.516974
-21.0,941,97.23362
-21.0,927,118.53238
-21.0,777,136.495368
-21.0,763,154.376225
-21.0,764,172.153898
-21.0,776,189.880883
-21.0,877,210.063986
-21.0,762,227.666034
-21.0,822,246.639606
-20.0,833,265.797956
-19.0,929,287.328156
-21.0,777,305.230513
-20.0,929,326.646271
-20.0,895,347.061459
-20.0,1066,371.67216
-20.0,1098,397.002228
-21.0,820,416.023161
-20.0,864,435.853202
-20.0,978,458.253603
-21.0,757,476.044892
-21.0,825,495.452915
-21.0,885,515.890211
-21.0,782,534.290613
-21.0,851,554.154036
-21.0,842,573.440217
-19.0,1055,597.572723
-21.0,760,615.193579
-21.0,819,633.907663
-21.0,821,653.050512
-21.0,968,675.660483
-21.0,776,693.62221
-21.0,821,712.750596
-20.0,868,732.801141
-20.0,984,755.50557
-21.0,870,775.311606
-21.0,807,793.850736
-19.0,998,817.10665
-20.0,922,838.699541
-20.0,890,859.356154
-19.0,936,880.894073
-21.0,896,901.735072
-17.0,1151,928.507581
-21.0,824,947.362693
-20.0,951,969.634848
-20.0,864,989.810892
-20.0,976,1012.228719
-20.0,866,1032.556427
-20.0,1040,1056.852519
-21.0,908,1077.913563
-21.0,820,1096.984522
-18.0,1281,1127.014703
-20.0,841,1146.672288
-21.0,905,1167.810951
-20.0,896,1188.697605
-20.0,839,1208.075898
-20.0,837,1227.597236
-21.0,757,1244.966972
-21.0,818,1263.90851
-21.0,902,1284.85478
-21.0,847,1304.353314
-21.0,791,1322.914129
-21.0,932,1344.456631
-21.0,849,1363.985631
-21.0,853,1383.850399
-20.0,840,1403.53859
-20.0,1007,1427.15261
-21.0,880,1447.472775
-20.0,1064,1471.923901
-20.0,1096,1497.243261
-21.0,820,1516.243982
-21.0,759,1533.877528
-21.0,761,1551.583568
-21.0,779,1569.747568
-21.0,762,1587.382763
-21.0,761,1605.246297
-20.0,869,1625.667275
-21.0,876,1645.974501
-21.0,818,1664.789445
-21.0,875,1685.270071
-21.0,877,1705.493915
-21.0,819,1724.735253
-21.0,856,1744.501127
-21.0,817,1763.475539
-20.0,841,1783.144061
-20.0,957,1805.357853
-20.0,875,1825.766864
-21.0,795,1844.115801
-21.0,758,1861.810556
-20.0,876,1882.042074
-20.0,1057,1906.264577
-19.0,956,1928.398994
-19.0,935,1950.031358
-20.0,961,1972.512109
-21.0,840,1992.385657
-21.0,940,2014.252893
-19.0,1077,2039.232284
-20.0,961,2061.651263
-21.0,764,2079.542596
-21.0,760,2097.304981
-21.0,818,2116.477196
-21.0,816,2135.596326
-18.0,1019,2159.850359
-17.0,1120,2185.932612
-21.0,974,2208.397258
-21.0,837,2227.747385
-21.0,871,2248.022658
-20.0,956,2270.288651
-20.0,976,2292.851134
-21.0,1062,2317.668074
-21.0,785,2335.481413
-21.0,786,2353.674932
-21.0,764,2371.533442
-21.0,760,2389.135036
-21.0,763,2406.458855
