#{"env_id": "PongNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.6344938}
r,l,t
-21.0,826,21.65056
-21.0,893,40.570598
-21.0,760,58.469136
-21.0,910,74.668386
-21.0,820,89.914127
-21.0,762,108.545118
-20.0,884,128.928977
-21.0,761,146.600893
-21.0,910,167.567553
-21.0,759,185.379009
-21.0,762,203.079924
-21.0,763,220.979987
-20.0,1153,247.362622
-19.0,927,268.474944
-21.0,882,288.965207
-20.0,851,308.520523
-21.0,818,327.463173
-21.0,757,345.231673
-21.0,847,364.965975
-20.0,949,386.898136
-21.0,851,406.629678
-19.0,1298,436.352803
-21.0,805,454.879774
-21.0,763,472.554902
-21.0,761,490.27848
-21.0,760,508.051204
-21.0,757,525.391676
-21.0,764,543.527456
-21.0,760,561.243232
-20.0,835,581.040925
-21.0,848,600.642151
-21.0,761,618.37022
-21.0,788,636.731444
-21.0,760,654.583724
-21.0,759,672.149982
-21.0,787,690.248693
-19.0,994,713.050266
-20.0,895,733.719528
-21.0,934,755.404867
-20.0,837,774.698351
-21.0,757,792.301076
-21.0,1069,816.990627
-21.0,819,836.242773
-21.0,840,855.903416
-21.0,875,876.605918
-20.0,866,896.841409
-21.0,849,916.684567
-21.0,762,933.982426
-20.0,866,954.550252
-20.0,896,975.193
-19.0,972,997.748573
-20.0,841,1017.032881
-20.0,898,1037.788746
-20.0,1139,1064.136641
-20.0,896,1084.974099
-20.0,900,1105.783157
-21.0,777,1123.885687
-21.0,820,1143.139565
-19.0,1002,1166.314649
-21.0,776,1184.246142
-20.0,858,1204.192129
-21.0,791,1222.293396
-20.0,1290,1252.272825
-21.0,764,1269.865772
-21.0,760,1287.224061
-21.0,761,1304.812395
-20.0,869,1324.932852
-20.0,916,1346.203054
-21.0,881,1366.453434
-21.0,764,1384.209201
-21.0,759,1401.859296
-20.0,942,1423.624915
-20.0,917,1444.954022
-20.0,831,1464.486552
-21.0,912,1485.683919
-21.0,821,1504.679843
-21.0,775,1522.353433
-20.0,1109,1547.85823
-17.0,1301,1578.441454
-19.0,1024,1602.303436
-21.0,757,1619.74586
-21.0,762,1637.089128
-21.0,759,1654.725043
-21.0,760,1672.604015
-21.0,760,1690.314703
-21.0,764,1708.044207
-21.0,937,1729.782673
-21.0,762,1747.479099
-20.0,841,1767.060564
-20.0,925,1788.305504
-21.0,871,1808.341561
-21.0,901,1829.187459
-21.0,907,1850.488856
-21.0,757,1867.987441
-21.0,791,1886.10401
-21.0,786,1904.168361
-21.0,849,1923.867364
-20.0,870,1943.895731
-21.0,818,1962.590488
-18.0,1087,1987.686331
-21.0,759,2005.277723
-21.0,757,2022.568871
-21.0,763,2040.571815
-21.0,764,2058.133665
-21.0,986,2080.901936
-18.0,1408,2113.271514
-19.0,1025,2137.219693
-19.0,1123,2163.401903
-21.0,762,2181.155863
-20.0,985,2204.07997
-21.0,780,2222.00423
-20.0,911,2243.056227
-20.0,833,2262.317066
-21.0,818,2281.201972
-21.0,806,2299.759478
-20.0,900,2320.91312
-21.0,882,2341.397753
-21.0,786,2359.660303
-19.0,1057,2384.303983
-20.0,900,2405.335131
-21.0,968,2427.6573
-20.0,1038,2451.865889
-19.0,1045,2476.219608
-21.0,1064,2500.637062
-18.0,1055,2525.378246
-20.0,835,2544.584363
-20.0,836,2564.209382
-21.0,822,2582.808599
-20.0,840,2602.327798
-21.0,881,2622.759223
-20.0,919,2644.282394
-20.0,1014,2667.438621
-21.0,969,2689.725379
-20.0,919,2710.901469
-20.0,836,2730.202111
-19.0,1138,2756.493817
-19.0,1291,2786.447093
-21.0,852,2806.241782
-20.0,882,2826.690361
-21.0,909,2847.763347
-20.0,923,2869.296403
-20.0,915,2890.82755
-20.0,957,2912.934644
-20.0,1047,2937.06973
-20.0,1018,2960.586799
-21.0,819,2979.336004
-21.0,761,2996.993269
-20.0,1076,3021.80794
-21.0,759,3039.277981
-21.0,758,3057.284368
-21.0,824,3076.534807
-21.0,817,3095.551588
-19.0,1147,3122.140259
-20.0,1101,3147.917573
-19.0,1065,3172.072001
-21.0,817,3190.984181
-20.0,1049,3215.455323
-21.0,829,3234.313154
-19.0,992,3257.19984
-20.0,899,3277.692282
-20.0,943,3299.304162
-21.0,791,3317.384142
-20.0,1101,3342.852724
-21.0,999,3365.777929
-21.0,928,3386.897574
-21.0,840,3405.931184
-21.0,789,3423.897464
-20.0,953,3445.707758
-21.0,1048,3469.719277
-20.0,861,3489.533755
-20.0,914,3510.565517
-21.0,878,3530.720225
-20.0,885,3550.845316
-20.0,956,3572.221691
-20.0,903,3592.484545
-20.0,855,3611.614916
-21.0,823,3629.856165
-20.0,870,3649.40151
-21.0,813,3667.820164
-21.0,819,3686.955683
-21.0,943,3708.674816
-20.0,927,3730.150298
-21.0,823,3748.94091
-21.0,759,3766.418753
-20.0,836,3785.372924
-19.0,944,3807.335399
-20.0,1110,3832.697277
-19.0,996,3855.473063
-21.0,869,3875.13017
-20.0,835,3894.052474
-21.0,824,3913.080524
-21.0,847,3932.59089
-19.0,974,3954.826322
-19.0,1300,3984.986217
-21.0,820,4003.513644
-20.0,944,4025.048162
-20.0,1143,4051.154348
-21.0,806,4069.485979
-19.0,1111,4095.381642
-21.0,850,4114.764428
-20.0,920,4135.677829
-21.0,848,4154.782944
-20.0,1027,4177.98584
-21.0,878,4198.528044
-19.0,1057,4222.917434
-20.0,882,4243.162336
-19.0,928,4264.683809
-20.0,930,4286.265608
-20.0,901,4307.036235
-20.0,839,4326.68889
-21.0,881,4347.084375
-20.0,973,4369.763617
-21.0,849,4389.360065
-21.0,879,4409.735196
-20.0,1098,4435.395252
-19.0,934,4456.955247
-19.0,1073,4482.202775
-20.0,979,4505.114897
-19.0,1036,4529.338331
-20.0,896,4550.233426
-21.0,848,4570.002172
-20.0,977,4592.433093
-20.0,865,4612.509321
-21.0,824,4631.328367
-21.0,935,4653.049311
-21.0,783,4671.345605
-21.0,1149,4697.918213
-21.0,764,4715.454517
-21.0,927,4736.363993
-21.0,989,4759.170602
-20.0,924,4780.592302
-19.0,1011,4804.187257
-21.0,880,4824.599933
-19.0,1082,4849.538998
-20.0,1006,4872.434247
-21.0,823,4889.203143
-20.0,831,4906.016685
-20.0,975,4925.918129
-21.0,819,4942.711439
-19.0,1038,4963.98431
-21.0,777,4979.628442
-21.0,879,4997.534295
-21.0,790,5013.432033
-20.0,953,5033.188617
-21.0,791,5049.318105
-20.0,945,5068.292362
-21.0,880,5085.991617
-20.0,921,5104.716657
-21.0,779,5120.460464
-20.0,915,5139.123371
-21.0,822,5155.930121
-21.0,846,5173.013857
-21.0,786,5189.378566
-18.0,1087,5211.443878
-21.0,836,5228.124389
-21.0,759,5243.787617
-21.0,875,5261.355945
-21.0,878,5279.295414
-20.0,925,5298.078364
-21.0,788,5313.9985
-21.0,852,5331.423304
-18.0,1136,5354.57324
-20.0,923,5373.548688
-19.0,1116,5396.446039
-20.0,1023,5417.550608
-21.0,911,5435.785717
-21.0,881,5453.531865
-20.0,1056,5475.124075
-20.0,922,5493.985889
-20.0,903,5512.459832
-20.0,919,5531.031013
-19.0,1136,5554.18878
-21.0,804,5570.821149
-21.0,880,5589.062469
-19.0,1082,5611.134044
-20.0,899,5629.628738
-21.0,782,5645.673731
-21.0,777,5661.699623
-20.0,891,5679.562232
-21.0,846,5696.624365
-21.0,877,5714.229858
-21.0,811,5730.697912
-18.0,1301,5756.880716
-21.0,761,5772.175434
-21.0,842,5790.228609
-19.0,947,5811.66439
-20.0,914,5832.900841
-20.0,915,5853.768529
-21.0,762,5871.580868
-19.0,1056,5893.300771
-20.0,839,5910.248977
-21.0,840,5927.439798
-19.0,1103,5949.446416
-21.0,1003,5969.290156
-21.0,1007,5989.976224
-21.0,847,6007.329467
-21.0,901,6025.761129
-20.0,892,6044.220531
-21.0,823,6060.618697
-21.0,1005,6081.036058
-20.0,883,6098.993083
-20.0,989,6119.348929
-19.0,945,6138.823889
-21.0,986,6159.025902
-21.0,987,6179.287993
-21.0,868,6196.816227
-18.0,1152,6220.585011
-21.0,848,6237.678069
-20.0,860,6255.197432
-20.0,921,6273.98332
-21.0,782,6289.814941
-21.0,824,6306.8943
-21.0,824,6323.440235
-21.0,897,6341.874017
-20.0,1003,6362.159757
-20.0,836,6379.197248
-20.0,923,6398.119144
-20.0,917,6417.072248
-21.0,926,6435.900048
-20.0,953,6455.211313
-21.0,763,6470.370105
-21.0,836,6487.466317
-21.0,823,6504.821774
-21.0,819,6521.312809
-20.0,905,6539.538029
-19.0,1229,6564.67152
-20.0,1166,6588.317073
-19.0,1023,6609.2164
-19.0,994,6628.986914
-21.0,788,6645.224862
-20.0,899,6663.397699
-19.0,935,6682.139832
-21.0,785,6697.976319
-21.0,1017,6718.994485
-21.0,866,6736.455179
-20.0,963,6756.141707
-21.0,836,6773.10506
-20.0,839,6789.912007
-20.0,931,6809.026284
-20.0,875,6826.966223
-21.0,926,6845.451549
-21.0,888,6863.489443
-20.0,1230,6888.35117
-19.0,946,6907.824029
-18.0,1319,6934.627169
-21.0,880,6952.49812
-19.0,1031,6973.513461
-21.0,909,6991.874331
-21.0,782,7007.72483
-18.0,1064,7029.459463
-21.0,874,7047.291968
-21.0,819,7063.925769
-21.0,966,7083.712641
-20.0,992,7104.03631
-21.0,827,7120.849105
-21.0,852,7138.011535
-19.0,1024,7158.677341
-20.0,1024,7179.384606
-21.0,876,7197.303255
-21.0,782,7213.295361
-20.0,915,7231.925544
-19.0,976,7251.617699
-21.0,844,7268.314238
-21.0,961,7287.859225
-21.0,762,7303.250018
-20.0,882,7321.385992
-20.0,836,7338.428356
-21.0,823,7355.064126
-20.0,947,7374.357134
-20.0,903,7392.890582
-20.0,927,7411.604601
-21.0,908,7430.352176
-21.0,895,7448.799067
-20.0,840,7466.091491
-19.0,1061,7487.844562
-21.0,939,7507.078614
-20.0,872,7524.824746
-19.0,999,7544.98091
-21.0,897,7563.027516
-21.0,948,7582.180435
-21.0,852,7599.672586
-20.0,960,7619.299353
-21.0,878,7637.012868
-21.0,836,7654.076621
-19.0,1027,7674.669532
-18.0,1158,7698.468421
-20.0,925,7717.446571
-21.0,945,7736.722481
-21.0,878,7754.687548
-20.0,896,7773.367855
-19.0,999,7793.933033
-21.0,838,7811.106642
-20.0,1060,7832.26336
-18.0,1046,7853.251889
-20.0,919,7871.848322
-20.0,975,7892.048001
-21.0,851,7909.26444
-21.0,849,7926.97629
-21.0,943,7946.327485
-20.0,953,7965.83392
-20.0,959,7985.287835
-21.0,785,8001.160568
-19.0,1346,8028.455087
-20.0,959,8048.342477
-20.0,943,8067.759107
-20.0,1067,8089.548002
-21.0,820,8106.265013
-19.0,1024,8127.101194
-19.0,1027,8148.083274
-18.0,1072,8169.854703
-21.0,759,8185.304623
-20.0,835,8202.57292
-19.0,1171,8226.482306
-21.0,823,8243.263987
-19.0,912,8261.420316
-21.0,850,8278.762559
-20.0,835,8295.670429
-20.0,959,8315.1179
-21.0,842,8332.260889
-21.0,870,8349.992959
-21.0,819,8366.55376
-21.0,848,8383.859077
-20.0,840,8400.886053
-20.0,899,8419.19749
-20.0,888,8437.287807
-21.0,877,8454.784734
-19.0,1146,8478.148058
-21.0,783,8494.379125
-19.0,1027,8514.761282
-19.0,1013,8535.391311
-21.0,1048,8556.229522
-21.0,859,8573.762556
-21.0,852,8591.166968
-20.0,1041,8612.62604
-21.0,940,8631.743673
-21.0,883,8649.814879
-19.0,1112,8672.581543
-19.0,914,8691.676142
-20.0,937,8710.474276
-20.0,1007,8731.114386
-20.0,998,8751.317273
-21.0,950,8770.432588
-21.0,824,8787.103768
-20.0,854,8804.528595
-21.0,1179,8828.51009
-21.0,850,8845.951563
-21.0,930,8864.543655
-20.0,870,8881.971744
-20.0,841,8898.863297
-21.0,848,8915.835967
-21.0,779,8931.978189
-20.0,1012,8953.057953
-20.0,860,8970.640266
-19.0,1104,8993.293291
-20.0,895,9011.894005
-21.0,839,9029.07647
-20.0,922,9048.26502
-21.0,840,9065.552647
-20.0,925,9084.435013
-20.0,866,9101.872552
-20.0,866,9119.443437
-20.0,865,9136.746994
-19.0,980,9156.878684
-21.0,867,9174.725071
-21.0,1083,9196.474539
-21.0,931,9215.011448
-20.0,838,9231.376924
-20.0,916,9249.989765
-21.0,841,9266.760051
-19.0,1123,9289.320003
-20.0,1113,9311.718586
-20.0,960,9330.91855
-21.0,903,9349.498984
-20.0,913,9368.145556
-17.0,1192,9392.169097
-20.0,924,9411.056657
-19.0,1007,9431.605816
-21.0,927,9450.253119
-19.0,1160,9473.63973
-20.0,914,9492.290587
-20.0,990,9512.56891
-19.0,1003,9532.821285
-21.0,824,9549.551231
-21.0,1144,9572.486422
-19.0,979,9592.280723
-21.0,821,9609.083006
-18.0,1079,9631.015567
-20.0,895,9649.624781
-21.0,822,9666.615074
-20.0,958,9686.498818
-21.0,938,9705.346242
-21.0,970,9725.009194
-20.0,1037,9745.751396
-19.0,1003,9765.982951
-19.0,1010,9786.66019
-20.0,980,9806.487757
-19.0,1007,9826.966467
-20.0,881,9844.871793
-21.0,944,9863.933917
-21.0,777,9879.721878
-20.0,1048,9900.858881
-21.0,852,9918.254688
-20.0,917,9936.961665
-19.0,1103,9959.709946
-20.0,1006,9980.252676
-21.0,970,9999.989118
-20.0,949,10019.240089
-21.0,905,10037.491958
-20.0,933,10056.672842
-20.0,895,10074.665761
-20.0,1017,10095.275668
