#{"gym_version": "0.9.4", "t_start": 1513094863.4166706, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,20.118145
-21.0,818,38.891199
-21.0,908,60.118292
-20.0,1293,89.994891
-20.0,871,110.047512
-21.0,762,127.581439
-21.0,930,148.806867
-21.0,788,166.908044
-21.0,1032,190.803607
-20.0,924,212.103462
-20.0,1003,235.016043
-21.0,882,255.757362
-20.0,892,276.487303
-21.0,884,296.782777
-21.0,1001,319.918914
-21.0,762,337.515666
-20.0,897,358.118188
-21.0,1001,381.352841
-21.0,758,399.08156
-21.0,823,417.859363
-21.0,821,436.777327
-21.0,910,457.767601
-20.0,836,477.109381
-21.0,758,495.058099
-21.0,836,514.410378
-21.0,823,533.495621
-21.0,864,553.280552
-20.0,838,572.815089
-21.0,847,592.686065
-20.0,1125,618.674388
-19.0,1093,643.681203
-21.0,899,664.375955
-20.0,915,685.312176
-21.0,821,704.061137
-21.0,867,724.017232
-21.0,908,745.057548
-21.0,881,765.496353
-21.0,761,783.167838
-20.0,930,805.139495
-21.0,819,823.915895
-21.0,807,842.408328
-21.0,786,860.991321
-21.0,910,882.156402
-20.0,852,901.92026
-20.0,898,922.713129
-21.0,763,940.446475
-20.0,839,960.01447
-20.0,840,979.657472
-20.0,839,999.374369
-21.0,964,1021.794052
-21.0,993,1044.952633
-20.0,900,1065.668062
-21.0,932,1087.182679
-21.0,786,1105.632938
-21.0,787,1123.697767
-20.0,908,1144.434754
-19.0,1043,1168.442481
-20.0,962,1190.686704
-20.0,894,1211.265379
-20.0,930,1232.617562
-20.0,836,1251.997324
-21.0,926,1273.411568
-21.0,885,1294.194391
-21.0,821,1313.115166
-20.0,918,1334.402588
-21.0,887,1355.265797
-21.0,781,1373.50293
-21.0,758,1390.943325
-21.0,758,1408.582923
-21.0,841,1427.897081
-21.0,837,1447.122233
-21.0,910,1467.807552
-20.0,919,1489.106686
-21.0,825,1508.201146
-20.0,926,1529.673673
-20.0,897,1550.221173
-21.0,822,1569.295829
-21.0,817,1588.438938
-19.0,1029,1612.110248
-19.0,992,1635.163017
-20.0,1029,1658.681298
-21.0,961,1681.099128
-21.0,789,1699.011174
-21.0,878,1719.463877
-21.0,824,1738.932101
-19.0,934,1760.797808
-21.0,791,1779.145766
-21.0,817,1798.340803
-20.0,842,1817.82768
