#{"t_start": 1513094815.7761376, "gym_version": "0.9.4", "env_id": "QbertNoFrameskip-v4"}
r,l,t
125.0,366,11.071599
175.0,352,17.08953
175.0,291,22.063518
0.0,284,26.823021
25.0,287,31.833612
250.0,386,38.503178
125.0,338,44.521629
100.0,274,51.612932
975.0,393,60.442963
200.0,390,69.431136
50.0,287,75.839906
100.0,311,82.776134
25.0,290,89.209727
275.0,379,97.759099
175.0,312,104.886904
75.0,303,111.542685
275.0,415,120.675719
300.0,438,130.560443
25.0,287,137.012864
125.0,351,145.138826
150.0,346,152.985124
0.0,274,159.149349
100.0,291,165.646733
75.0,291,172.066469
225.0,399,180.97579
125.0,354,188.815739
175.0,284,195.255013
250.0,387,203.973898
200.0,324,211.031781
100.0,334,218.47588
25.0,292,224.999362
75.0,313,232.034563
50.0,293,238.554641
75.0,259,244.207751
200.0,357,252.207799
175.0,344,259.94693
150.0,262,265.666073
150.0,462,276.257871
50.0,308,283.008701
75.0,314,290.117955
175.0,353,298.034268
175.0,327,305.292259
525.0,359,313.480704
125.0,314,320.380835
225.0,364,328.454433
100.0,382,336.977838
600.0,437,346.670938
100.0,301,353.269814
75.0,312,360.423035
600.0,405,369.405386
0.0,294,376.04968
150.0,385,384.671339
75.0,316,391.693422
225.0,355,399.698384
250.0,363,407.832595
200.0,328,415.243224
250.0,314,422.373673
125.0,320,429.367292
50.0,311,436.211654
100.0,271,442.21543
125.0,313,449.220133
100.0,321,456.232597
125.0,308,463.179211
200.0,371,471.819983
0.0,287,478.115335
50.0,293,484.748942
175.0,269,490.903803
75.0,255,496.672653
175.0,341,504.203471
125.0,332,511.538529
175.0,338,519.394187
50.0,332,526.970001
25.0,308,533.935286
175.0,300,540.70738
200.0,309,547.74464
150.0,322,554.906298
200.0,281,561.059316
125.0,304,567.794814
225.0,353,575.729075
275.0,426,585.211483
25.0,290,591.562016
50.0,294,598.109083
150.0,375,606.743771
250.0,447,616.606913
25.0,296,623.061388
50.0,312,629.950032
200.0,394,639.068928
25.0,245,644.493734
300.0,516,656.269882
50.0,299,662.823668
150.0,317,670.04942
150.0,370,678.623747
175.0,353,686.444273
200.0,348,694.273766
475.0,409,703.58346
50.0,299,710.27605
75.0,321,717.504053
50.0,303,724.393651
25.0,286,730.657044
75.0,321,737.69259
225.0,396,746.740748
50.0,295,753.19961
225.0,396,762.044926
0.0,285,768.351437
0.0,278,774.474089
75.0,356,782.392996
75.0,310,789.167768
200.0,402,798.383362
175.0,324,805.638774
0.0,282,811.963789
200.0,312,818.940833
175.0,371,827.302366
100.0,318,834.498485
175.0,366,842.987113
250.0,331,850.469569
150.0,310,857.315109
100.0,280,863.612807
75.0,263,869.432829
100.0,325,876.672969
100.0,330,883.985932
175.0,283,890.31799
250.0,294,896.921367
550.0,362,905.289925
50.0,251,910.884846
50.0,298,917.450436
150.0,366,925.548806
150.0,330,933.087959
175.0,335,940.609712
100.0,312,947.33664
200.0,357,955.602414
250.0,350,963.543226
150.0,266,969.402873
125.0,332,976.938209
200.0,280,983.386767
375.0,399,992.361129
175.0,373,1000.776149
525.0,379,1009.106867
125.0,315,1016.148809
100.0,325,1023.635309
100.0,267,1029.576617
175.0,355,1037.75002
75.0,315,1044.849861
275.0,537,1057.068689
150.0,261,1062.937357
150.0,318,1069.978985
175.0,324,1077.27636
25.0,244,1082.708873
125.0,326,1090.097138
125.0,362,1098.225934
250.0,360,1106.338292
175.0,291,1112.932042
75.0,301,1119.841912
75.0,312,1126.894756
600.0,377,1135.446035
100.0,297,1142.15075
175.0,286,1148.53745
225.0,383,1157.43022
175.0,297,1164.029824
25.0,251,1169.631018
150.0,313,1176.539075
300.0,346,1184.428515
150.0,297,1191.230339
300.0,353,1199.032349
250.0,385,1207.715079
150.0,284,1214.225468
175.0,403,1223.326746
500.0,362,1231.412888
200.0,358,1239.427524
250.0,396,1248.375353
125.0,319,1255.485025
525.0,370,1263.795857
375.0,447,1273.895474
250.0,428,1283.679219
250.0,319,1290.745765
225.0,381,1299.183441
275.0,424,1308.964815
350.0,421,1318.562804
200.0,320,1325.792482
75.0,310,1332.715526
125.0,320,1340.012713
250.0,426,1349.39287
325.0,367,1357.588709
175.0,346,1365.418614
275.0,329,1372.850037
200.0,299,1379.678008
75.0,248,1385.136097
175.0,335,1392.748015
225.0,316,1399.837359
325.0,305,1406.761719
675.0,437,1416.852882
200.0,333,1424.390283
275.0,401,1433.567353
50.0,247,1438.909874
100.0,276,1444.912607
225.0,306,1451.835209
250.0,304,1458.582397
500.0,410,1467.663899
225.0,372,1476.113414
350.0,387,1484.689789
275.0,346,1492.551355
250.0,305,1499.328093
300.0,469,1509.983085
200.0,343,1517.678547
225.0,324,1524.958181
225.0,340,1532.679122
300.0,418,1542.203366
375.0,460,1552.678848
350.0,404,1561.909714
650.0,440,1571.809645
700.0,448,1581.852454
175.0,347,1589.766355
250.0,381,1598.442792
775.0,590,1612.342605
175.0,340,1619.912055
175.0,282,1626.2821
375.0,378,1634.97613
300.0,408,1644.042228
200.0,332,1651.527891
250.0,309,1658.32628
250.0,355,1666.259389
200.0,360,1674.403549
575.0,423,1684.195719
300.0,383,1692.767544
225.0,503,1704.116538
250.0,308,1711.140384
100.0,267,1717.020943
250.0,318,1724.306129
175.0,270,1730.444694
300.0,310,1737.390076
325.0,369,1745.582421
275.0,349,1753.324248
400.0,336,1760.850969
300.0,334,1768.556715
275.0,337,1776.314489
250.0,285,1782.620867
300.0,328,1790.003839
275.0,299,1796.614699
225.0,327,1803.997727
225.0,301,1810.688844
275.0,346,1818.50224
125.0,254,1824.249343
700.0,479,1835.129782
200.0,322,1842.40673
150.0,322,1849.622991
275.0,394,1858.574731
175.0,304,1865.434726
175.0,327,1872.829771
375.0,426,1882.311568
300.0,388,1891.02016
325.0,351,1898.862176
450.0,435,1908.549106
275.0,341,1916.119998
200.0,316,1923.322702
325.0,427,1932.822083
225.0,441,1942.869381
200.0,382,1951.459429
325.0,330,1958.994433
300.0,383,1967.569135
275.0,438,1977.689386
300.0,381,1986.610723
275.0,354,1994.67972
200.0,287,2001.190291
125.0,296,2007.797997
175.0,355,2015.792408
250.0,389,2024.611837
175.0,297,2031.238844
250.0,309,2038.039641
50.0,252,2043.74127
175.0,297,2050.45105
275.0,324,2057.720029
300.0,339,2065.396175
375.0,423,2075.105788
225.0,341,2082.992046
200.0,382,2091.62539
175.0,340,2099.217929
300.0,403,2108.3596
150.0,288,2114.986675
550.0,367,2123.098502
250.0,377,2131.819926
250.0,328,2139.48746
275.0,309,2146.453053
250.0,395,2155.771438
850.0,465,2166.472485
175.0,302,2173.462191
200.0,300,2180.003034
150.0,256,2185.612948
175.0,268,2191.633028
225.0,317,2198.744241
175.0,369,2206.897135
625.0,359,2214.986425
375.0,480,2225.871828
275.0,421,2235.336514
275.0,396,2244.355983
350.0,387,2253.087107
250.0,302,2259.788599
275.0,374,2268.420273
325.0,338,2275.942282
200.0,291,2282.50865
225.0,409,2291.69826
275.0,389,2300.510339
250.0,357,2308.523116
275.0,307,2315.473903
325.0,376,2323.960033
250.0,276,2330.037874
250.0,322,2337.135632
300.0,371,2345.525046
600.0,392,2354.251069
250.0,360,2362.419208
250.0,370,2370.83627
325.0,354,2378.685672
175.0,302,2385.629096
300.0,337,2393.034955
250.0,297,2399.417367
300.0,301,2406.198119
225.0,333,2413.594337
350.0,532,2425.832955
200.0,324,2433.215972
325.0,371,2441.620797
250.0,313,2448.688078
275.0,395,2457.666003
275.0,388,2466.459993
200.0,301,2473.392016
200.0,303,2480.294174
300.0,308,2487.210238
175.0,271,2493.304079
250.0,376,2501.926808
350.0,367,2510.156939
300.0,436,2520.041908
925.0,531,2532.000964
200.0,320,2539.296046
250.0,357,2547.293395
350.0,402,2556.507613
1250.0,611,2570.555155
325.0,328,2577.999409
200.0,340,2585.793537
375.0,335,2593.547749
275.0,364,2601.67244
325.0,404,2610.518648
250.0,332,2617.903136
150.0,327,2625.150639
325.0,334,2632.613508
250.0,310,2639.515937
225.0,322,2646.875313
400.0,493,2657.885892
450.0,421,2667.21656
300.0,299,2673.965114
350.0,378,2682.399687
350.0,476,2693.249707
250.0,345,2700.945933
400.0,426,2710.568309
250.0,337,2718.347621
350.0,373,2727.013873
325.0,318,2734.218223
375.0,424,2743.804081
175.0,302,2750.767063
200.0,332,2758.476457
150.0,277,2764.570516
200.0,282,2770.863243
375.0,353,2778.831014
125.0,315,2785.992604
300.0,364,2794.230072
325.0,413,2803.450948
175.0,265,2809.565119
275.0,363,2817.652129
325.0,551,2830.145746
225.0,384,2838.738199
250.0,335,2846.344689
225.0,380,2854.908082
200.0,343,2862.682626
250.0,413,2871.892013
300.0,352,2879.699327
300.0,373,2888.106138
150.0,290,2894.755377
375.0,340,2902.606554
375.0,351,2910.68057
200.0,269,2916.648532
375.0,330,2924.036678
250.0,368,2932.283391
250.0,276,2938.320916
600.0,396,2947.353279
425.0,477,2958.077091
425.0,404,2967.217719
300.0,339,2974.759851
425.0,432,2984.543473
225.0,349,2992.388875
300.0,330,2999.797923
875.0,458,3010.273746
225.0,303,3017.198147
225.0,314,3024.243227
375.0,400,3033.25675
150.0,308,3040.319529
275.0,387,3049.022481
275.0,299,3055.584982
200.0,339,3063.151925
125.0,304,3070.025394
225.0,313,3077.019062
325.0,422,3086.588375
300.0,371,3095.068227
275.0,320,3102.256731
350.0,330,3109.533984
225.0,293,3116.032191
325.0,436,3125.993751
250.0,331,3133.506649
275.0,343,3141.359256
200.0,384,3150.033732
550.0,395,3159.016048
325.0,434,3168.895504
250.0,345,3176.430543
250.0,310,3183.317703
400.0,408,3192.495243
275.0,355,3200.256784
250.0,440,3209.944734
325.0,471,3220.723182
350.0,326,3228.087898
200.0,298,3234.644339
375.0,368,3242.908853
150.0,303,3249.719531
250.0,290,3256.189196
250.0,312,3263.008119
400.0,581,3276.200902
175.0,313,3283.196105
425.0,394,3292.144783
325.0,349,3299.786024
700.0,452,3309.757563
225.0,346,3317.349653
275.0,310,3324.292686
375.0,353,3332.273887
300.0,362,3340.393409
300.0,331,3347.808931
250.0,300,3354.397878
750.0,449,3364.335013
275.0,332,3371.656266
275.0,321,3378.920214
275.0,325,3385.997867
250.0,373,3394.04127
325.0,409,3402.745357
375.0,378,3411.11056
525.0,388,3419.948117
325.0,367,3428.287815
225.0,293,3434.825573
350.0,403,3443.403419
325.0,393,3452.15069
300.0,386,3460.58669
275.0,358,3468.48042
250.0,397,3477.567889
325.0,341,3485.070304
200.0,307,3491.766664
250.0,279,3497.626158
350.0,364,3505.46808
325.0,370,3513.760726
675.0,425,3523.201684
225.0,330,3530.389949
225.0,403,3539.501764
125.0,299,3546.200242
775.0,435,3556.100271
325.0,305,3562.768069
275.0,394,3571.601685
375.0,416,3580.842185
275.0,392,3589.61205
175.0,294,3595.871629
225.0,310,3602.831124
325.0,366,3610.989541
300.0,315,3617.852417
225.0,314,3624.662395
375.0,389,3633.281678
300.0,431,3642.628662
300.0,320,3649.731247
225.0,283,3655.909477
375.0,470,3666.609913
275.0,338,3674.176239
250.0,316,3681.322888
300.0,306,3688.004974
400.0,475,3698.791194
550.0,390,3707.410706
275.0,320,3714.580215
200.0,341,3722.239955
325.0,487,3733.09841
675.0,406,3742.009104
200.0,290,3748.383469
350.0,493,3759.52723
250.0,367,3767.638959
325.0,431,3777.339061
350.0,328,3784.761227
325.0,325,3792.132203
275.0,370,3800.503985
250.0,388,3809.080052
650.0,389,3817.807657
300.0,426,3827.355187
275.0,311,3834.246244
325.0,465,3844.612848
200.0,373,3853.079426
150.0,264,3858.909328
375.0,361,3866.727602
250.0,312,3873.638379
325.0,344,3881.372257
350.0,426,3890.889905
675.0,438,3900.885504
350.0,369,3909.021802
275.0,390,3917.655739
150.0,349,3925.535083
200.0,348,3933.327251
325.0,398,3942.032453
125.0,309,3948.875897
225.0,374,3957.365184
125.0,274,3963.470229
700.0,507,3974.763735
150.0,318,3981.844623
325.0,389,3990.629019
350.0,420,4000.051078
250.0,377,4008.615412
200.0,306,4015.367079
275.0,443,4025.086504
250.0,315,4031.945819
200.0,292,4038.610195
625.0,403,4047.845751
125.0,257,4053.482809
350.0,425,4062.711737
575.0,418,4071.833767
650.0,416,4081.160665
300.0,347,4088.97233
300.0,341,4096.601002
325.0,345,4104.242049
225.0,341,4111.658368
325.0,344,4119.203885
150.0,290,4125.577507
350.0,392,4134.356833
300.0,357,4142.243097
175.0,364,4150.257472
525.0,350,4157.977711
300.0,348,4165.707237
250.0,315,4172.56921
350.0,357,4180.749095
800.0,515,4192.274484
200.0,343,4200.065229
300.0,362,4208.189146
250.0,391,4216.982684
375.0,509,4228.358298
600.0,424,4237.907126
250.0,316,4245.035332
375.0,342,4252.571586
175.0,308,4259.401038
725.0,496,4270.596677
250.0,310,4277.348531
250.0,307,4284.218789
350.0,441,4294.193848
800.0,583,4307.666393
175.0,290,4314.116632
650.0,415,4323.825503
275.0,419,4333.453089
250.0,312,4340.686208
275.0,337,4348.230134
450.0,456,4358.528073
325.0,403,4367.712502
325.0,432,4377.632074
575.0,422,4387.132576
375.0,393,4395.971901
225.0,303,4402.816261
125.0,288,4409.411473
250.0,311,4416.499593
200.0,289,4422.845545
275.0,367,4431.104064
350.0,342,4438.959895
350.0,382,4447.482507
150.0,283,4453.885242
200.0,364,4462.220854
375.0,387,4471.3519
250.0,300,4478.175364
300.0,415,4487.628022
325.0,374,4496.030031
625.0,384,4504.755481
375.0,386,4513.46261
725.0,513,4525.208126
725.0,460,4535.552842
225.0,286,4542.012133
425.0,474,4552.871015
275.0,349,4560.64593
250.0,339,4568.07319
425.0,464,4578.493317
250.0,315,4585.322461
375.0,426,4595.048258
250.0,323,4602.443755
400.0,470,4613.103396
275.0,356,4621.101321
175.0,291,4627.559929
225.0,288,4634.092255
575.0,364,4642.185995
500.0,331,4649.51381
175.0,324,4656.677991
300.0,418,4666.206762
225.0,358,4674.16891
350.0,396,4683.109855
275.0,359,4691.079436
225.0,404,4700.033346
650.0,419,4709.635596
300.0,371,4718.115405
250.0,302,4724.899619
250.0,427,4734.483455
125.0,330,4741.916842
575.0,537,4754.044254
300.0,409,4763.584508
300.0,392,4772.566444
300.0,392,4781.71932
225.0,303,4788.556412
200.0,270,4794.659127
300.0,433,4804.66208
450.0,431,4814.480421
350.0,393,4823.435354
325.0,384,4831.260849
225.0,333,4837.70646
400.0,430,4846.378236
425.0,595,4858.316146
250.0,374,4865.556287
375.0,485,4875.209988
325.0,448,4884.150966
325.0,385,4891.715254
250.0,427,4900.226856
350.0,403,4908.352942
550.0,410,4916.640105
200.0,295,4922.583332
275.0,359,4929.487816
225.0,350,4936.270991
275.0,360,4943.359231
375.0,414,4951.606808
375.0,470,4960.890375
425.0,405,4968.730208
300.0,414,4977.004891
200.0,362,4984.367633
250.0,367,4991.700928
1025.0,568,5002.924266
300.0,473,5012.376153
350.0,379,5019.783488
650.0,343,5026.525584
400.0,398,5034.448649
275.0,298,5040.310391
300.0,332,5046.77403
675.0,492,5056.354825
275.0,360,5063.522905
650.0,405,5071.753406
225.0,367,5079.003451
175.0,285,5084.437542
675.0,407,5092.583803
275.0,414,5100.593825
175.0,284,5106.221729
725.0,617,5118.750866
325.0,336,5125.241037
325.0,407,5133.244487
200.0,317,5139.619368
250.0,347,5146.50051
350.0,405,5154.707443
375.0,412,5162.748438
250.0,308,5168.875448
425.0,409,5177.021917
825.0,490,5186.633191
125.0,337,5193.3161
225.0,369,5200.578949
350.0,397,5208.451219
250.0,315,5214.702794
325.0,474,5224.269622
650.0,419,5232.607455
200.0,314,5238.654226
675.0,531,5249.372602
600.0,436,5258.233715
675.0,425,5266.587041
200.0,287,5272.33006
300.0,459,5281.421958
675.0,528,5292.028762
325.0,400,5300.002244
275.0,410,5308.129922
325.0,437,5316.758302
300.0,418,5325.092618
175.0,294,5331.070436
425.0,446,5339.927818
300.0,393,5347.738477
600.0,394,5355.595934
300.0,326,5362.147346
275.0,479,5371.628907
375.0,516,5382.031425
325.0,432,5390.412672
350.0,501,5400.645716
325.0,345,5407.479312
300.0,537,5418.302467
175.0,300,5424.122976
350.0,535,5434.788835
400.0,447,5443.666806
275.0,420,5452.107657
425.0,480,5461.669593
250.0,302,5467.783016
200.0,327,5474.44974
675.0,433,5482.968095
250.0,400,5490.864164
375.0,378,5498.381599
450.0,466,5507.656681
525.0,401,5515.921738
250.0,314,5521.972953
350.0,391,5529.818561
200.0,322,5536.204021
350.0,519,5546.563989
350.0,405,5554.747714
275.0,479,5564.529939
350.0,401,5572.300053
300.0,316,5578.53389
275.0,328,5585.286853
400.0,613,5597.724336
175.0,340,5604.486412
275.0,421,5612.765987
625.0,588,5624.949985
325.0,392,5632.502418
300.0,377,5639.94735
200.0,364,5647.173342
375.0,447,5656.01224
525.0,396,5663.954929
375.0,492,5673.679991
325.0,372,5681.048547
550.0,467,5690.286548
175.0,365,5697.458008
250.0,290,5703.084052
750.0,416,5711.495518
350.0,353,5718.46641
550.0,346,5725.473791
200.0,381,5732.76742
625.0,423,5741.896096
225.0,345,5749.658593
150.0,332,5757.04268
275.0,410,5766.325491
250.0,337,5773.823452
200.0,315,5780.934179
350.0,436,5790.826401
200.0,318,5798.050564
250.0,444,5808.1486
275.0,361,5816.509789
925.0,571,5829.442488
250.0,369,5837.254111
650.0,410,5845.452602
375.0,435,5854.16432
350.0,417,5862.28012
350.0,392,5870.125161
400.0,422,5878.558612
300.0,378,5885.789302
225.0,342,5892.540847
350.0,365,5899.778966
575.0,365,5906.97813
225.0,348,5913.631536
600.0,467,5922.884264
300.0,428,5931.474044
300.0,440,5940.108653
725.0,400,5948.143944
225.0,341,5954.938978
650.0,503,5964.849643
250.0,325,5971.328436
250.0,332,5977.907003
575.0,394,5985.748545
125.0,313,5991.985706
250.0,381,5999.83213
375.0,420,6008.365666
50.0,249,6013.243925
200.0,348,6020.095162
225.0,299,6025.920808
200.0,312,6032.006264
300.0,382,6039.514224
675.0,459,6048.662464
325.0,395,6056.398352
325.0,422,6064.845688
325.0,301,6070.897732
325.0,440,6079.576602
225.0,368,6086.953976
300.0,347,6093.98853
625.0,406,6102.076469
700.0,431,6110.684263
300.0,352,6117.622354
250.0,314,6123.952852
225.0,358,6131.18958
625.0,386,6138.875625
200.0,312,6144.719693
300.0,393,6152.504794
250.0,322,6158.71795
350.0,462,6167.980516
250.0,372,6175.428931
175.0,311,6181.440453
350.0,376,6188.873997
575.0,379,6196.374564
250.0,323,6202.968822
250.0,331,6209.356608
300.0,364,6216.599221
575.0,394,6224.347379
350.0,471,6233.819138
675.0,475,6243.100345
300.0,402,6251.183922
450.0,555,6262.628827
625.0,540,6273.079494
175.0,293,6278.767305
175.0,335,6285.491805
550.0,429,6294.143256
225.0,283,6299.484609
325.0,330,6305.73684
375.0,405,6313.828249
150.0,322,6320.103936
425.0,480,6329.628261
225.0,361,6336.696106
200.0,332,6343.392149
850.0,491,6353.30172
350.0,468,6362.665333
325.0,336,6369.608212
200.0,384,6377.122124
575.0,372,6384.430455
300.0,377,6391.964436
225.0,304,6397.916678
375.0,351,6404.731671
