#{"env_id": "QbertNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.5313451}
r,l,t
100.0,323,9.900953
175.0,285,16.28732
150.0,335,23.82526
175.0,318,31.182708
75.0,305,36.760412
225.0,389,46.031666
175.0,405,55.172812
25.0,293,60.24798
175.0,379,66.696147
175.0,346,72.773717
150.0,346,78.828315
100.0,309,84.17749
525.0,373,92.345451
225.0,372,100.7417
100.0,294,107.354347
75.0,317,114.573461
0.0,279,120.777204
200.0,355,128.632522
150.0,274,134.866478
125.0,333,142.342177
125.0,311,149.280152
125.0,297,155.902923
275.0,395,164.756132
200.0,363,172.960832
75.0,314,180.039872
300.0,330,187.500463
100.0,329,195.083645
150.0,335,202.502539
25.0,291,209.122153
50.0,298,215.760849
175.0,344,223.568429
75.0,300,230.207153
75.0,320,237.14695
50.0,303,243.991387
275.0,385,252.498872
100.0,260,258.194436
575.0,382,266.678469
50.0,298,273.275016
200.0,359,281.395113
625.0,406,290.672386
450.0,433,300.392899
100.0,326,307.59707
50.0,330,315.077357
150.0,398,323.998024
75.0,326,331.432859
75.0,284,337.792625
200.0,300,344.620429
150.0,316,351.63094
75.0,317,358.878968
100.0,325,366.097214
100.0,318,373.267018
225.0,356,381.165022
150.0,401,390.309623
25.0,295,396.917648
600.0,368,405.180195
175.0,314,412.057345
175.0,400,421.057164
0.0,286,427.331084
50.0,293,433.751916
0.0,285,440.217658
200.0,326,447.480034
150.0,276,453.547877
0.0,282,459.858302
200.0,358,468.005168
300.0,409,477.2349
100.0,272,483.276418
225.0,360,491.464888
175.0,286,497.978548
75.0,315,505.031024
125.0,372,513.417327
225.0,334,520.844912
75.0,261,526.548871
75.0,256,532.475031
150.0,330,539.987108
200.0,317,547.137581
200.0,386,555.793552
800.0,508,567.89099
75.0,312,575.036277
50.0,299,581.692707
50.0,298,588.440888
475.0,352,596.314813
125.0,254,601.879264
700.0,489,613.177526
100.0,269,619.035022
175.0,405,628.164046
250.0,341,636.024684
650.0,428,645.866806
50.0,295,652.536584
200.0,324,659.703205
50.0,299,666.332107
300.0,589,679.891217
125.0,324,687.054818
50.0,310,693.887165
75.0,258,699.49574
100.0,316,706.632567
100.0,302,713.322814
0.0,282,719.581485
275.0,405,728.727642
50.0,299,735.28977
25.0,288,741.69529
325.0,416,751.259029
175.0,320,758.379026
50.0,301,765.205464
125.0,324,772.466892
250.0,322,779.53176
50.0,305,786.455147
0.0,287,792.854191
100.0,267,798.747231
75.0,316,805.832954
75.0,271,811.824851
125.0,382,820.478579
75.0,305,827.436763
250.0,378,836.051605
100.0,314,843.348797
175.0,319,850.481486
200.0,385,859.307133
500.0,411,868.580662
425.0,354,876.833649
450.0,351,884.807758
25.0,302,891.757771
300.0,391,900.579201
550.0,352,908.631437
150.0,350,916.442541
225.0,293,922.904907
200.0,312,929.70063
250.0,437,939.612907
250.0,294,946.278523
125.0,335,954.087558
125.0,313,961.080547
75.0,264,966.874478
100.0,268,972.932541
250.0,294,979.328648
150.0,333,986.814793
150.0,265,992.546042
100.0,297,999.463827
575.0,390,1008.076194
175.0,314,1015.073232
525.0,370,1023.528085
600.0,365,1031.712105
150.0,317,1038.738998
550.0,349,1046.55344
175.0,399,1055.45305
75.0,313,1062.500177
525.0,356,1070.535328
650.0,424,1080.201636
125.0,317,1087.286994
650.0,535,1099.403442
275.0,296,1106.121956
275.0,393,1115.093742
125.0,278,1121.24825
50.0,288,1127.612902
125.0,286,1134.273601
100.0,319,1141.479624
75.0,319,1148.480441
75.0,266,1154.254955
400.0,326,1161.854483
250.0,362,1169.979714
575.0,377,1178.462408
225.0,346,1186.322789
225.0,325,1193.530393
225.0,336,1200.987205
250.0,356,1208.968982
600.0,418,1218.399814
150.0,287,1224.796432
650.0,511,1236.225624
300.0,423,1245.975042
200.0,290,1252.494345
175.0,357,1260.362278
225.0,314,1267.549135
225.0,337,1274.950674
200.0,326,1282.044064
175.0,325,1289.506486
325.0,312,1296.42349
100.0,302,1303.116086
125.0,338,1310.648848
225.0,377,1319.229703
250.0,411,1328.645869
175.0,347,1336.451544
575.0,478,1347.185743
175.0,314,1354.090107
150.0,367,1362.408995
25.0,284,1368.700866
675.0,409,1377.903248
150.0,303,1384.775241
175.0,332,1392.133183
150.0,305,1399.022948
300.0,382,1407.540328
175.0,412,1416.822159
625.0,419,1426.490061
25.0,290,1432.867061
225.0,329,1440.358766
175.0,320,1447.681599
175.0,309,1454.767
275.0,321,1461.945449
450.0,333,1469.4036
225.0,348,1477.398648
200.0,335,1484.800897
175.0,308,1491.615763
175.0,317,1498.830344
150.0,316,1505.8644
25.0,286,1512.182955
275.0,402,1521.138553
175.0,358,1529.090425
50.0,246,1534.611459
200.0,304,1541.411586
125.0,312,1548.24367
0.0,284,1554.665162
225.0,357,1562.847962
250.0,321,1570.072253
550.0,356,1578.243002
575.0,403,1587.306232
150.0,339,1595.031782
300.0,303,1601.840814
200.0,347,1609.63001
125.0,277,1615.710187
200.0,350,1623.533237
325.0,398,1632.321934
250.0,309,1639.175137
325.0,359,1647.071423
275.0,300,1653.993859
100.0,276,1660.249051
200.0,368,1668.74363
175.0,318,1675.7911
125.0,277,1682.157527
175.0,352,1690.07183
125.0,254,1695.612801
250.0,307,1702.629867
200.0,287,1709.080909
625.0,406,1718.159691
250.0,366,1726.434536
275.0,307,1733.350387
400.0,430,1743.077878
250.0,401,1752.231959
175.0,296,1758.926781
225.0,300,1765.54109
225.0,380,1774.159736
225.0,332,1781.551975
175.0,299,1788.162234
300.0,347,1795.9288
250.0,356,1803.867638
275.0,355,1811.762759
275.0,334,1819.411731
225.0,312,1826.333568
200.0,395,1835.344193
250.0,323,1842.595623
300.0,327,1850.048924
325.0,352,1857.911673
475.0,422,1867.447696
225.0,286,1873.914968
500.0,331,1881.143921
250.0,420,1890.617507
350.0,333,1898.024745
225.0,374,1906.409289
350.0,396,1915.378027
300.0,367,1923.595195
300.0,369,1931.771187
400.0,507,1943.29176
250.0,302,1949.967613
325.0,332,1957.355853
425.0,408,1966.453551
250.0,337,1973.930666
175.0,343,1981.654274
125.0,256,1987.380591
400.0,400,1996.388967
350.0,388,2005.144883
275.0,317,2012.130905
250.0,346,2019.863206
250.0,364,2028.069143
350.0,349,2036.089921
50.0,256,2041.831734
225.0,297,2048.408094
650.0,479,2059.274083
600.0,449,2069.338273
250.0,357,2077.336665
250.0,346,2085.138394
550.0,359,2093.036009
325.0,368,2101.533726
250.0,367,2109.5036
500.0,370,2117.841958
500.0,576,2131.14923
550.0,387,2139.877546
275.0,403,2149.13128
325.0,367,2157.439142
275.0,381,2166.000561
150.0,315,2172.734248
650.0,425,2182.780391
200.0,335,2190.271251
275.0,305,2197.22422
250.0,441,2207.205726
200.0,323,2214.278114
425.0,435,2224.155179
175.0,315,2231.241633
400.0,397,2240.117634
375.0,402,2248.976405
250.0,277,2255.247227
150.0,316,2262.433114
150.0,334,2269.839885
100.0,273,2275.91868
375.0,372,2284.269338
350.0,358,2292.233637
250.0,343,2299.992837
275.0,374,2308.494593
625.0,554,2321.350454
300.0,403,2330.385988
250.0,280,2336.694731
425.0,436,2346.467191
175.0,276,2352.64855
225.0,337,2360.343851
150.0,320,2367.683059
175.0,331,2375.116501
350.0,334,2382.608041
225.0,284,2388.90799
275.0,344,2396.691537
325.0,460,2407.28775
625.0,492,2418.443896
50.0,265,2424.193194
425.0,437,2434.270449
275.0,462,2444.733062
250.0,336,2452.319416
475.0,516,2463.977736
625.0,404,2473.311656
325.0,355,2481.163905
275.0,352,2488.986867
275.0,348,2496.842936
350.0,364,2504.986617
325.0,373,2513.529157
225.0,336,2521.280486
325.0,518,2532.887384
225.0,271,2539.050122
275.0,349,2546.784669
350.0,378,2555.587989
275.0,300,2562.347157
625.0,411,2571.460294
275.0,376,2579.683831
200.0,327,2587.014689
200.0,316,2594.080676
850.0,500,2605.529939
200.0,351,2613.353094
250.0,275,2619.437752
225.0,341,2627.300285
250.0,298,2634.11256
275.0,408,2643.251903
250.0,333,2650.592592
250.0,324,2657.813243
200.0,407,2666.829837
250.0,297,2673.340771
225.0,317,2680.400698
400.0,450,2690.569284
250.0,358,2698.735661
225.0,423,2708.095958
225.0,361,2716.233669
175.0,294,2722.648352
275.0,303,2729.516935
250.0,370,2737.816338
125.0,301,2744.498932
325.0,341,2752.159168
250.0,335,2759.737956
275.0,303,2766.632852
325.0,408,2775.803307
650.0,424,2785.300798
225.0,273,2791.344632
275.0,318,2798.598871
275.0,311,2805.583774
200.0,318,2812.524243
250.0,420,2821.938593
300.0,357,2830.374983
600.0,407,2839.528077
150.0,267,2845.438081
275.0,352,2853.415166
425.0,411,2862.687155
275.0,328,2870.102126
275.0,351,2878.170366
250.0,305,2885.098016
250.0,359,2893.204047
300.0,422,2902.96625
200.0,347,2910.546346
325.0,432,2920.145808
750.0,534,2932.18291
375.0,338,2939.874372
300.0,419,2949.39225
275.0,341,2957.011146
250.0,392,2965.697928
350.0,428,2975.224463
300.0,366,2983.520445
250.0,316,2990.738764
150.0,307,2997.484758
275.0,316,3004.644033
275.0,329,3011.813913
150.0,340,3019.421812
250.0,322,3026.774636
650.0,421,3036.17459
200.0,288,3042.55196
350.0,403,3052.040944
225.0,308,3058.971284
300.0,366,3067.306876
325.0,359,3075.414238
150.0,290,3082.048797
375.0,327,3089.409015
325.0,333,3096.765528
400.0,321,3103.919415
250.0,304,3110.813133
350.0,375,3119.297884
450.0,412,3128.720581
350.0,371,3137.198901
250.0,292,3143.707632
275.0,318,3150.780569
275.0,409,3159.854219
300.0,429,3169.437652
275.0,371,3177.637413
100.0,304,3184.49531
375.0,391,3193.375614
300.0,398,3202.500691
200.0,501,3213.87698
200.0,294,3220.24377
125.0,312,3227.039034
25.0,289,3233.497384
300.0,373,3241.804557
350.0,343,3249.355669
225.0,320,3256.634297
275.0,392,3265.445118
250.0,307,3272.14504
325.0,373,3280.494775
275.0,334,3287.954944
300.0,329,3295.093424
250.0,290,3301.565094
150.0,355,3309.356969
250.0,310,3316.279175
575.0,361,3324.505057
275.0,353,3332.339467
225.0,353,3340.224096
225.0,338,3347.705109
250.0,374,3355.921733
225.0,287,3362.328813
425.0,470,3372.951474
200.0,342,3380.529665
275.0,338,3387.933731
200.0,284,3394.003722
425.0,422,3403.58822
225.0,287,3409.693565
275.0,339,3417.134315
150.0,293,3423.687619
275.0,365,3431.951129
300.0,424,3441.371265
225.0,288,3447.697665
375.0,364,3455.992594
250.0,272,3462.004919
300.0,310,3468.605157
700.0,426,3478.268783
1225.0,575,3491.191119
300.0,360,3499.165502
275.0,468,3509.789817
425.0,449,3519.945001
375.0,460,3530.18795
250.0,286,3536.538918
275.0,321,3543.447058
250.0,302,3550.198565
225.0,397,3558.561457
325.0,345,3565.973198
250.0,300,3572.762852
350.0,428,3582.23045
225.0,322,3589.142865
350.0,380,3597.509426
350.0,345,3604.917347
250.0,325,3611.963776
325.0,447,3621.183633
250.0,321,3628.501031
350.0,473,3638.94157
350.0,318,3645.75631
300.0,345,3653.299827
175.0,316,3660.399351
