#{"gym_version": "0.9.4", "t_start": 1513094863.4513218, "env_id": "QbertNoFrameskip-v4"}
r,l,t
0.0,281,8.959283
50.0,301,15.486526
375.0,306,22.318554
100.0,282,28.608206
75.0,315,35.54533
125.0,329,43.079748
50.0,298,49.694707
200.0,320,56.833776
25.0,244,62.389465
375.0,331,69.783756
250.0,398,78.66142
75.0,253,84.414777
225.0,365,92.4694
50.0,303,99.35666
100.0,329,106.539107
425.0,346,114.318859
0.0,284,120.573273
125.0,358,128.619211
50.0,298,135.324502
50.0,304,141.945604
100.0,280,148.034817
0.0,288,154.663157
0.0,285,160.866255
25.0,286,167.057152
175.0,391,175.834935
0.0,291,182.363342
575.0,397,191.312078
150.0,389,200.058415
175.0,404,209.07768
100.0,318,216.154663
575.0,383,224.776592
125.0,341,232.280125
25.0,287,238.582555
375.0,313,245.854903
50.0,294,252.468024
50.0,293,259.069642
0.0,288,265.706426
0.0,282,271.982449
125.0,341,279.461301
50.0,316,286.41724
225.0,400,295.51488
75.0,321,302.522101
25.0,292,309.174142
50.0,266,315.08701
25.0,294,321.536896
125.0,263,327.51635
75.0,329,334.879654
300.0,416,344.170333
75.0,299,350.684865
150.0,329,358.095876
225.0,341,365.693045
200.0,386,374.420532
125.0,322,381.754966
75.0,314,388.761119
75.0,308,395.852639
150.0,307,402.600714
50.0,298,409.236808
75.0,269,415.149353
75.0,319,422.280533
25.0,296,428.665644
150.0,335,436.206887
325.0,405,445.423802
250.0,406,454.579397
225.0,379,462.979947
75.0,322,470.211399
100.0,341,477.845302
50.0,302,484.744739
125.0,346,492.728718
550.0,394,501.730931
50.0,291,508.309718
50.0,292,514.742905
525.0,407,523.896916
225.0,307,530.70246
275.0,361,538.854914
200.0,386,547.493395
275.0,337,555.066667
175.0,333,562.552587
100.0,288,568.844241
50.0,298,575.685093
0.0,288,582.265984
300.0,338,590.036356
100.0,275,596.145044
100.0,315,603.222685
75.0,301,609.855284
75.0,307,616.591701
25.0,288,623.024765
125.0,326,630.330553
50.0,299,636.873553
100.0,336,644.332519
50.0,298,650.900156
100.0,284,657.290626
125.0,311,664.150547
525.0,413,673.454832
125.0,316,680.465794
25.0,300,687.033429
275.0,317,693.981538
200.0,310,700.86517
625.0,527,712.75684
50.0,264,718.60131
0.0,282,724.840933
175.0,340,732.379488
50.0,298,739.012186
75.0,275,745.247891
25.0,289,751.760642
0.0,280,758.045166
225.0,447,768.201041
50.0,292,774.674811
25.0,289,781.085986
100.0,276,787.330438
475.0,358,795.60708
225.0,349,803.568696
225.0,334,811.14544
100.0,334,818.596323
75.0,269,824.42735
175.0,272,830.504196
225.0,395,839.291464
150.0,340,846.833816
75.0,312,853.839582
275.0,358,862.282048
275.0,395,871.209884
250.0,338,878.864163
275.0,378,887.29626
275.0,463,897.831295
175.0,266,903.913679
100.0,281,910.139571
75.0,329,917.492229
50.0,245,922.928207
175.0,276,929.078465
125.0,322,936.301599
200.0,366,944.771396
300.0,369,952.96068
275.0,382,961.590971
300.0,350,969.347876
150.0,396,978.590139
125.0,272,984.857609
225.0,373,993.450971
125.0,277,999.557091
250.0,336,1007.210472
250.0,418,1016.641563
150.0,331,1024.115322
650.0,366,1032.325889
275.0,417,1041.816022
225.0,380,1050.340883
125.0,319,1057.399018
125.0,322,1064.623048
350.0,435,1074.566594
650.0,427,1084.219812
100.0,272,1090.199342
0.0,279,1096.525049
100.0,301,1103.256701
200.0,392,1112.379272
200.0,396,1121.075333
50.0,287,1127.354535
425.0,542,1139.528688
200.0,318,1146.51907
600.0,566,1159.334351
550.0,373,1167.730369
0.0,279,1174.04989
450.0,450,1184.056918
175.0,326,1191.336997
325.0,447,1201.401778
200.0,312,1208.370007
200.0,314,1215.282188
200.0,397,1224.140155
600.0,411,1233.444648
200.0,346,1241.322693
175.0,316,1248.406968
200.0,350,1256.179585
200.0,395,1265.285956
275.0,351,1272.972126
175.0,293,1279.45901
775.0,523,1291.562892
275.0,313,1298.623556
225.0,322,1305.80545
350.0,392,1314.662096
325.0,403,1323.670056
325.0,405,1332.99586
625.0,379,1341.581761
225.0,378,1350.277798
125.0,304,1357.211088
150.0,272,1363.270955
250.0,426,1372.913697
475.0,531,1384.925881
125.0,343,1392.606149
100.0,308,1399.526959
300.0,328,1407.021072
175.0,388,1415.534492
475.0,493,1426.752809
200.0,391,1435.507306
650.0,434,1445.266055
250.0,482,1455.926648
175.0,330,1463.232072
275.0,438,1472.914903
550.0,366,1481.160783
175.0,322,1488.553038
150.0,281,1494.785905
225.0,364,1503.048614
225.0,340,1510.586382
300.0,380,1519.209515
250.0,343,1526.998557
375.0,414,1536.192039
200.0,366,1544.310809
225.0,340,1551.955163
375.0,355,1559.858224
225.0,358,1567.997471
175.0,346,1575.829631
250.0,331,1583.229835
275.0,302,1590.292411
225.0,308,1597.026799
200.0,327,1604.301861
150.0,321,1611.51245
300.0,391,1620.187258
150.0,319,1627.388698
50.0,267,1633.480227
250.0,326,1640.62924
225.0,286,1646.961094
350.0,518,1658.598325
175.0,347,1666.444354
600.0,379,1675.058961
275.0,387,1683.754677
150.0,316,1690.725046
375.0,384,1699.203728
225.0,365,1707.521546
150.0,266,1713.406796
300.0,390,1722.220602
175.0,280,1728.676363
175.0,327,1736.102136
250.0,355,1744.220864
125.0,322,1751.690195
300.0,432,1761.444753
250.0,340,1769.138174
225.0,295,1775.673685
250.0,336,1783.28129
225.0,331,1790.777282
250.0,360,1799.132431
175.0,310,1806.010203
300.0,388,1814.757738
175.0,319,1821.946815
225.0,316,1828.970093
225.0,323,1836.147833
600.0,396,1845.044311
150.0,321,1852.094616
325.0,430,1861.870973
275.0,390,1870.386191
775.0,513,1881.982917
150.0,320,1889.197526
275.0,368,1897.442689
250.0,275,1903.510688
200.0,332,1910.984373
225.0,352,1918.977689
300.0,356,1927.263268
225.0,303,1934.138063
250.0,356,1942.321043
200.0,359,1950.312966
300.0,373,1958.72131
250.0,318,1965.826756
225.0,402,1974.706686
325.0,370,1982.850497
475.0,347,1990.532177
300.0,337,1998.070688
250.0,330,2005.255181
350.0,317,2012.395544
400.0,441,2022.320073
175.0,317,2029.701129
275.0,320,2037.071204
375.0,397,2046.056618
700.0,442,2056.086637
250.0,391,2065.029686
125.0,256,2070.830462
175.0,331,2078.354995
200.0,305,2085.445527
225.0,321,2092.812374
250.0,351,2100.637452
375.0,370,2109.207127
875.0,518,2120.785644
200.0,285,2127.276465
350.0,409,2136.543468
225.0,376,2144.97764
275.0,382,2153.516252
325.0,408,2162.573533
200.0,325,2169.687029
175.0,317,2176.788497
375.0,361,2184.945684
350.0,391,2193.66851
250.0,332,2201.132134
200.0,275,2207.446437
250.0,324,2214.64935
175.0,304,2221.639487
175.0,290,2228.114791
225.0,344,2235.954942
550.0,414,2245.42404
375.0,327,2252.887083
250.0,394,2261.600841
175.0,292,2268.341245
275.0,286,2274.725729
275.0,352,2282.670746
200.0,309,2289.42982
300.0,456,2299.882417
300.0,420,2309.307434
300.0,347,2317.126835
225.0,292,2323.69198
300.0,362,2331.812638
75.0,311,2338.970434
275.0,302,2345.690093
225.0,307,2352.682029
175.0,316,2359.820296
275.0,375,2368.067509
300.0,361,2376.111534
350.0,433,2386.008032
375.0,379,2394.548519
300.0,406,2403.676885
350.0,390,2412.48504
250.0,286,2418.966208
250.0,449,2429.379197
50.0,248,2434.839014
125.0,290,2441.320057
375.0,410,2450.562057
325.0,372,2458.862569
825.0,456,2469.107305
325.0,308,2475.786782
300.0,340,2483.301982
125.0,317,2490.2559
300.0,386,2498.935771
325.0,419,2508.343006
325.0,368,2516.801726
300.0,376,2525.211939
275.0,363,2533.641114
325.0,313,2540.69387
225.0,273,2546.900515
325.0,409,2556.016906
625.0,465,2566.362273
250.0,324,2573.441591
150.0,294,2579.984633
200.0,342,2587.69921
125.0,331,2595.016132
325.0,467,2605.400155
250.0,399,2614.238055
350.0,390,2622.997415
325.0,416,2632.246925
175.0,314,2639.13519
275.0,354,2646.887893
325.0,592,2660.318722
200.0,315,2667.403047
300.0,387,2676.303847
325.0,411,2685.556071
325.0,457,2695.809372
175.0,332,2703.440067
250.0,329,2711.055321
250.0,348,2718.897636
350.0,340,2726.498859
575.0,427,2736.356109
575.0,362,2744.507185
250.0,337,2751.925882
650.0,387,2760.719944
350.0,336,2768.2371
325.0,364,2776.510173
275.0,327,2783.811152
525.0,369,2792.307286
375.0,391,2801.167897
275.0,397,2810.236461
400.0,496,2821.30878
225.0,300,2827.880516
225.0,331,2835.344666
175.0,370,2843.809057
575.0,437,2853.748644
275.0,433,2863.440101
350.0,462,2873.993841
325.0,432,2883.835417
350.0,395,2892.697506
325.0,415,2902.265808
250.0,300,2908.718608
400.0,421,2918.101936
550.0,404,2927.117912
425.0,509,2938.699328
175.0,355,2946.701436
250.0,323,2954.048054
525.0,402,2963.336678
375.0,301,2970.096946
500.0,375,2978.671933
250.0,341,2986.27519
275.0,375,2994.685382
300.0,402,3003.676986
325.0,377,3012.075168
325.0,390,3020.799618
875.0,521,3032.689933
400.0,511,3044.569154
300.0,410,3053.71972
200.0,324,3060.982292
275.0,409,3070.12047
200.0,351,3078.059482
275.0,361,3086.061296
700.0,664,3101.175668
250.0,418,3110.939297
225.0,287,3117.475012
250.0,365,3125.653989
375.0,391,3134.306503
250.0,322,3141.443433
275.0,313,3148.622189
600.0,481,3159.388869
375.0,387,3167.929515
350.0,443,3178.02058
250.0,375,3186.2501
350.0,424,3195.934376
450.0,542,3207.979084
600.0,416,3217.337011
225.0,290,3223.682042
550.0,403,3232.62172
675.0,396,3241.440486
300.0,382,3250.043819
300.0,384,3258.56251
225.0,302,3265.356158
625.0,450,3275.562206
675.0,438,3285.25288
250.0,324,3292.289464
250.0,324,3299.444851
275.0,463,3310.068814
400.0,526,3322.034016
300.0,376,3330.178491
325.0,465,3340.476046
150.0,316,3347.558671
250.0,351,3355.311332
175.0,317,3362.322862
150.0,270,3368.219445
300.0,414,3377.428396
300.0,413,3386.826766
250.0,334,3394.179348
200.0,423,3403.627842
150.0,302,3410.12278
375.0,372,3418.133531
275.0,320,3425.152258
350.0,389,3433.852692
325.0,414,3443.116084
250.0,325,3450.133763
275.0,374,3458.223474
275.0,379,3466.563731
300.0,435,3475.993954
325.0,354,3484.006961
175.0,330,3491.549354
175.0,285,3497.781727
650.0,468,3508.548963
225.0,324,3515.713039
275.0,309,3522.492806
600.0,469,3532.76501
300.0,395,3541.82193
200.0,342,3549.501679
275.0,500,3560.243312
225.0,343,3567.785347
325.0,415,3577.307669
225.0,348,3584.957474
300.0,347,3592.640868
350.0,452,3602.658956
750.0,694,3618.593063
525.0,377,3626.719455
275.0,290,3632.791418
325.0,513,3644.207807
175.0,315,3651.403969
575.0,285,3657.568131
350.0,430,3667.095289
250.0,308,3673.997027
350.0,434,3683.688161
375.0,454,3693.822635
875.0,540,3706.118104
550.0,448,3716.265624
225.0,435,3725.950802
350.0,374,3734.452217
