#{"t_start": 1513094815.4832294, "gym_version": "0.9.4", "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
130.0,1115,24.544672
110.0,760,37.94177
190.0,1263,66.158696
175.0,857,85.87215
100.0,670,101.190792
140.0,716,117.35444
140.0,928,138.611201
205.0,815,157.509598
220.0,1271,186.509744
110.0,789,204.621835
80.0,460,214.833362
205.0,1980,260.423811
150.0,611,274.31834
205.0,1865,317.235256
110.0,491,328.236261
325.0,1344,358.805943
100.0,1231,386.948621
205.0,1919,431.06232
130.0,674,446.324393
150.0,1338,477.174085
120.0,764,494.898637
205.0,1388,527.108166
100.0,657,542.291064
60.0,507,553.86794
40.0,316,560.823723
100.0,1072,585.179752
190.0,1865,627.783435
140.0,795,646.079505
220.0,1006,669.163318
140.0,908,690.126375
120.0,801,708.503688
280.0,1619,745.85533
295.0,1921,789.520298
150.0,1606,826.651995
120.0,645,841.709842
80.0,707,857.851469
110.0,554,870.441724
70.0,642,885.013711
280.0,3464,965.267745
280.0,2279,1017.814668
205.0,2092,1066.603514
130.0,941,1088.215949
295.0,1494,1122.752994
120.0,778,1140.713103
150.0,1026,1164.549189
80.0,354,1172.508438
100.0,766,1190.267445
150.0,965,1212.352138
150.0,689,1228.106455
160.0,1087,1252.966204
190.0,1432,1285.919886
760.0,1767,1326.615664
175.0,1492,1360.764341
70.0,535,1373.05736
80.0,714,1389.570006
120.0,974,1412.223604
120.0,900,1432.988728
80.0,587,1446.17987
205.0,1010,1469.165896
110.0,864,1488.886075
60.0,760,1506.200041
175.0,1042,1530.164782
160.0,820,1549.028824
175.0,927,1570.392812
60.0,288,1576.813802
310.0,1357,1608.305583
130.0,677,1623.958116
355.0,1302,1653.881142
70.0,478,1664.693368
340.0,1491,1699.048314
140.0,1170,1726.231482
110.0,491,1737.470478
110.0,694,1753.117261
50.0,295,1759.66548
280.0,1814,1801.781339
120.0,724,1818.248824
150.0,902,1838.973963
205.0,1105,1864.546043
90.0,811,1883.061085
220.0,975,1905.243556
150.0,850,1924.701377
235.0,885,1944.694615
325.0,2005,1991.583325
60.0,454,2002.093818
160.0,665,2017.252386
250.0,1060,2041.489408
100.0,780,2059.504943
175.0,724,2076.130637
70.0,327,2083.754872
130.0,667,2098.89518
60.0,513,2110.707597
50.0,414,2120.063359
50.0,416,2129.261936
250.0,1002,2153.288784
190.0,814,2172.338221
150.0,778,2189.859111
100.0,525,2201.731297
175.0,883,2221.906213
60.0,369,2230.182039
90.0,631,2244.61287
400.0,1392,2276.718658
80.0,483,2287.654219
120.0,677,2303.125083
100.0,1167,2329.998922
150.0,917,2350.879926
130.0,654,2365.70997
140.0,787,2383.744997
205.0,1009,2406.654531
120.0,874,2426.702588
90.0,489,2437.992168
80.0,503,2449.505339
130.0,686,2465.263927
30.0,315,2472.540539
90.0,380,2481.241724
100.0,423,2490.782966
295.0,1319,2521.246658
140.0,520,2532.951533
295.0,1421,2566.074165
205.0,1014,2589.533886
120.0,728,2606.086528
60.0,346,2613.718521
70.0,333,2621.168857
110.0,523,2632.933148
205.0,995,2655.718497
120.0,707,2671.640913
100.0,620,2685.75075
100.0,494,2696.972435
90.0,565,2709.829458
110.0,644,2724.91863
100.0,509,2736.514691
70.0,491,2747.900268
150.0,864,2767.848074
90.0,581,2781.226171
265.0,1100,2806.489213
295.0,1375,2838.032624
80.0,407,2847.321205
120.0,614,2861.367835
265.0,834,2880.270153
265.0,1142,2907.042739
205.0,1074,2931.606327
100.0,298,2938.121536
80.0,576,2951.260553
110.0,787,2969.293288
120.0,698,2985.195755
150.0,658,3000.19696
175.0,892,3020.890633
130.0,692,3036.808094
120.0,616,3050.887547
340.0,1227,3078.876006
110.0,452,3089.148209
70.0,488,3100.361075
110.0,700,3116.245975
150.0,629,3130.733191
160.0,650,3145.694431
120.0,652,3160.783927
235.0,1304,3190.485085
150.0,617,3204.153229
130.0,836,3223.293205
150.0,1020,3246.598454
100.0,868,3266.300104
250.0,1205,3293.930771
205.0,1166,3320.098665
70.0,373,3328.57629
220.0,950,3350.289353
130.0,796,3368.022433
325.0,1526,3402.080426
70.0,347,3409.729314
90.0,400,3418.847495
90.0,486,3429.945376
100.0,482,3440.508019
80.0,512,3451.841432
100.0,404,3460.705788
140.0,540,3472.81707
340.0,1903,3515.72941
120.0,574,3528.478552
130.0,676,3543.955845
160.0,817,3562.467879
310.0,1147,3588.555018
80.0,386,3596.836562
50.0,343,3604.625226
80.0,701,3620.187058
70.0,319,3627.225573
205.0,1036,3650.406728
130.0,623,3664.520201
250.0,1136,3690.437034
280.0,1176,3717.224368
235.0,1348,3747.74629
120.0,852,3766.946608
110.0,622,3781.146435
175.0,724,3797.835249
175.0,831,3816.729555
340.0,1340,3846.933097
250.0,915,3867.749343
90.0,643,3882.354919
100.0,981,3904.757621
150.0,591,3917.994903
140.0,740,3934.825247
60.0,489,3945.673418
60.0,286,3952.041992
175.0,983,3974.385509
90.0,345,3982.131005
110.0,439,3992.093804
130.0,630,4006.446366
120.0,657,4021.155539
100.0,548,4033.255291
70.0,545,4045.911004
175.0,841,4064.741328
310.0,1378,4096.045727
250.0,1047,4119.437271
370.0,1215,4147.152326
80.0,332,4154.244257
325.0,1611,4191.08983
340.0,1669,4229.276616
120.0,807,4247.715613
60.0,428,4257.265256
205.0,1178,4284.061315
30.0,258,4289.913797
140.0,783,4307.892013
110.0,551,4320.515787
355.0,1524,4356.125343
175.0,793,4374.414258
140.0,849,4393.855157
280.0,953,4415.947582
370.0,1054,4440.269425
120.0,630,4454.611613
120.0,656,4470.05134
205.0,974,4492.609271
205.0,976,4515.07689
265.0,1024,4538.478344
265.0,986,4561.110753
110.0,572,4573.898277
160.0,860,4593.294815
110.0,523,4605.400872
310.0,1229,4633.675257
40.0,288,4640.004782
205.0,1187,4667.203212
40.0,318,4674.2142
340.0,1576,4710.311897
235.0,1124,4736.159792
265.0,1144,4762.61939
175.0,841,4782.38116
310.0,2383,4836.325229
70.0,353,4843.369255
265.0,1200,4867.415911
295.0,1260,4892.823785
1420.0,1987,4933.255436
130.0,752,4948.281745
1080.0,1885,4986.414977
130.0,533,4997.070787
130.0,625,5009.338772
250.0,965,5028.791264
110.0,585,5040.445303
130.0,1025,5060.88555
310.0,1301,5087.135886
140.0,676,5100.548207
295.0,1094,5122.697418
120.0,669,5136.163728
355.0,1444,5165.479739
205.0,925,5184.071767
295.0,1192,5208.051804
150.0,792,5224.124769
90.0,497,5234.064313
220.0,736,5248.790471
370.0,1424,5277.727775
250.0,1230,5302.643147
1060.0,1676,5336.696621
190.0,1129,5359.545745
90.0,430,5368.090353
90.0,621,5380.65436
90.0,683,5394.211574
205.0,824,5410.9907
120.0,661,5424.280752
460.0,1387,5452.28586
150.0,766,5467.818016
310.0,1290,5493.972902
325.0,1329,5521.032404
280.0,1144,5544.13871
205.0,752,5559.398019
220.0,1043,5580.514255
175.0,1178,5604.821483
100.0,699,5619.039593
310.0,1571,5650.698143
340.0,1329,5677.557805
150.0,815,5693.875256
80.0,575,5705.271876
110.0,514,5715.616445
265.0,1130,5738.826521
295.0,1168,5765.514348
80.0,597,5779.059657
280.0,1049,5803.234991
235.0,987,5826.338568
420.0,1658,5860.479979
370.0,1337,5887.343305
540.0,1572,5918.819001
100.0,700,5933.010612
235.0,1080,5954.757658
265.0,1093,5976.80793
400.0,1657,6010.913184
680.0,1850,6048.191607
235.0,824,6064.755435
90.0,501,6074.769934
220.0,745,6089.849539
100.0,682,6103.779779
310.0,1158,6127.38958
110.0,766,6142.673265
325.0,1578,6174.531688
355.0,1384,6202.47222
235.0,1309,6228.809095
880.0,2179,6272.781233
325.0,1064,6294.299118
160.0,1074,6315.4862
150.0,543,6326.215952
460.0,1387,6354.483762
740.0,1625,6387.607744
540.0,1838,6424.74353
235.0,912,6442.930588
150.0,634,6455.841266
385.0,1545,6487.135669
370.0,1430,6515.94799
355.0,1691,6549.996891
1080.0,1972,6589.454777
160.0,633,6602.139928
310.0,1430,6630.991582
1060.0,2040,6672.148973
310.0,1228,6697.030904
220.0,1365,6724.912946
190.0,912,6742.897949
940.0,2027,6783.978935
175.0,1387,6811.67979
780.0,1721,6846.542287
340.0,1217,6870.977438
900.0,1424,6899.484475
1240.0,2661,6953.741521
500.0,1550,6985.437037
480.0,1798,7022.037023
355.0,1310,7048.50686
580.0,1604,7080.509042
800.0,1557,7111.597959
1120.0,2542,7162.579853
1200.0,2046,7203.930586
340.0,1465,7233.383772
385.0,1784,7269.630932
150.0,1127,7292.335049
310.0,1621,7324.891983
580.0,1616,7357.235063
660.0,1547,7388.559214
250.0,922,7407.185905
480.0,1610,7439.86363
900.0,1862,7477.721939
160.0,678,7491.44795
340.0,1567,7523.112522
580.0,1525,7553.81474
1000.0,2280,7599.713278
820.0,1994,7640.182547
100.0,508,7650.569136
110.0,845,7667.465687
1140.0,1517,7698.215497
280.0,1127,7720.98401
1200.0,1778,7757.064863
400.0,1711,7792.148028
355.0,1319,7818.519671
660.0,1791,7854.161282
1040.0,2129,7898.01344
160.0,768,7913.171696
120.0,560,7924.20831
310.0,1167,7947.492881
1540.0,2593,8000.1785
2705.0,3348,8068.074794
400.0,1560,8099.738686
370.0,1007,8120.140857
1200.0,1925,8159.020026
355.0,1219,8183.283639
385.0,1028,8204.196222
1120.0,1847,8241.503533
370.0,1322,8267.91956
1760.0,2162,8311.607959
355.0,1348,8338.671122
250.0,788,8354.172683
1080.0,3007,8415.395262
1520.0,2211,8459.689072
295.0,1502,8490.232499
370.0,1222,8514.70403
175.0,1054,8536.015021
