#{"gym_version": "0.9.4", "t_start": 1513094862.6359363, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
60.0,388,12.152222
190.0,1944,56.828616
150.0,1582,93.220354
280.0,1170,120.029336
70.0,540,132.295499
140.0,1773,172.646099
265.0,1195,200.057921
150.0,723,216.464549
120.0,777,234.051874
100.0,612,248.21322
280.0,2191,298.651865
60.0,475,309.416695
130.0,1134,335.496007
140.0,1195,362.69857
100.0,740,379.713706
235.0,1968,424.941795
160.0,1370,456.380387
310.0,3381,534.86947
10.0,202,539.205432
100.0,807,557.68466
140.0,771,575.336046
140.0,820,594.443386
265.0,1598,630.962044
90.0,481,641.632288
70.0,545,653.990314
205.0,1385,685.578829
175.0,1558,721.151907
175.0,1209,748.906059
110.0,516,760.741817
130.0,971,782.938023
280.0,1937,827.920843
295.0,1348,858.921287
205.0,1817,900.963386
175.0,1234,929.462191
80.0,660,944.742081
60.0,496,955.8906
110.0,534,968.062065
520.0,1540,1004.07927
100.0,667,1019.415316
130.0,773,1036.978042
40.0,360,1045.254511
90.0,558,1057.809592
60.0,397,1066.830006
100.0,519,1078.623001
140.0,1242,1107.316027
235.0,1583,1143.333243
175.0,1221,1171.207189
130.0,722,1187.557685
110.0,751,1204.775052
40.0,414,1214.063971
175.0,1564,1250.024875
295.0,1506,1284.65692
40.0,239,1289.986053
80.0,568,1303.01492
20.0,242,1308.45347
110.0,661,1323.369277
325.0,1442,1357.056579
235.0,834,1376.232039
130.0,716,1392.467419
220.0,1140,1418.577294
235.0,1018,1441.956253
40.0,507,1453.22637
50.0,275,1459.310298
100.0,758,1476.317053
60.0,619,1490.540734
235.0,978,1512.891672
100.0,672,1528.415746
80.0,607,1541.987345
130.0,729,1558.557595
90.0,645,1573.409463
190.0,869,1593.552589
190.0,949,1614.983432
175.0,819,1633.90985
295.0,1587,1670.078342
60.0,508,1681.777399
140.0,942,1703.06613
100.0,683,1718.747334
120.0,772,1736.681146
100.0,699,1753.024215
250.0,1240,1781.511006
220.0,948,1803.542592
70.0,636,1818.037487
80.0,591,1831.557004
80.0,493,1842.617083
100.0,791,1860.531902
160.0,894,1880.763911
175.0,984,1903.192419
205.0,786,1921.302189
150.0,661,1936.742456
90.0,718,1953.257811
100.0,712,1969.368884
130.0,583,1982.348327
50.0,389,1990.976617
265.0,900,2011.344422
100.0,852,2031.08332
140.0,577,2044.435276
110.0,535,2056.646907
325.0,997,2079.846812
110.0,515,2091.989736
310.0,2310,2145.290767
90.0,566,2157.942308
175.0,1078,2182.434223
90.0,500,2193.731103
355.0,1526,2229.195899
110.0,586,2242.74845
140.0,442,2252.900254
140.0,690,2268.660928
50.0,335,2276.25687
140.0,743,2293.015645
110.0,575,2306.325732
90.0,566,2319.162886
100.0,835,2338.397058
90.0,519,2350.256505
40.0,269,2356.320122
120.0,1207,2384.025702
160.0,802,2402.241846
250.0,1136,2428.589758
220.0,1250,2457.19086
130.0,581,2470.339929
205.0,1200,2497.325247
20.0,333,2504.85188
265.0,945,2526.551009
50.0,313,2533.728647
220.0,734,2550.694848
130.0,644,2565.073608
120.0,567,2577.748462
80.0,377,2586.326213
80.0,358,2594.197211
150.0,1006,2616.972364
175.0,837,2635.921649
90.0,406,2644.838508
110.0,688,2660.382793
80.0,805,2679.131186
110.0,519,2690.752545
70.0,384,2699.458328
70.0,332,2707.100338
205.0,812,2725.792563
110.0,520,2737.856528
110.0,615,2751.717397
90.0,536,2764.016299
130.0,773,2781.631938
140.0,550,2794.442703
