#{"t_start": 1513094815.569734, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,757,18.35035
-21.0,847,33.341028
-21.0,820,50.167198
-20.0,858,70.166134
-20.0,843,89.636324
-20.0,926,111.096337
-20.0,942,132.617382
-21.0,760,150.63049
-21.0,760,168.227795
-21.0,1014,191.478933
-21.0,882,211.721151
-20.0,946,233.664673
-21.0,877,253.727076
-20.0,1120,279.719824
-21.0,850,299.416692
-18.0,1027,323.055867
-21.0,881,343.076696
-20.0,985,365.782276
-21.0,824,384.834112
-21.0,783,402.90799
-21.0,899,423.911011
-20.0,984,446.311914
-21.0,759,463.797845
-21.0,790,482.184346
-21.0,818,501.445703
-20.0,869,521.80843
-20.0,936,543.727356
-20.0,838,562.957298
-20.0,866,582.855937
-21.0,757,600.282845
-21.0,759,617.625004
-20.0,1158,644.458641
-21.0,884,664.826636
-20.0,959,687.266496
-20.0,1085,712.586348
-21.0,847,732.147026
-21.0,819,751.000023
-20.0,913,771.935493
-21.0,883,792.09656
-21.0,761,809.76604
-19.0,930,831.510753
-21.0,787,849.986563
-21.0,788,868.174772
-21.0,810,886.839157
-20.0,868,907.197458
-21.0,761,924.659376
-21.0,846,944.169306
-20.0,867,964.376463
-19.0,1059,989.130374
-21.0,852,1008.679699
-21.0,856,1028.609825
-21.0,881,1049.251788
-21.0,818,1068.249321
-21.0,762,1085.979661
-20.0,863,1106.009737
-21.0,877,1126.600287
-21.0,776,1144.866357
-21.0,904,1165.919145
-21.0,804,1184.560089
-20.0,985,1207.345899
-21.0,761,1225.182007
-21.0,839,1244.541846
-21.0,865,1264.495677
-20.0,836,1283.968306
-21.0,883,1304.205917
-20.0,897,1325.255528
-21.0,852,1344.966102
-20.0,838,1364.203017
-21.0,820,1383.37236
-21.0,877,1403.876518
-18.0,1245,1433.086142
-21.0,821,1451.919169
-21.0,991,1474.754591
-21.0,883,1495.091499
-21.0,757,1512.66623
-21.0,759,1530.24209
-21.0,760,1547.956675
-21.0,762,1565.694798
-21.0,757,1583.152017
-21.0,760,1600.947911
-18.0,1111,1627.176273
-21.0,899,1647.938028
-19.0,914,1669.049295
-20.0,854,1689.018948
-21.0,757,1706.457521
-21.0,822,1725.770389
-21.0,764,1743.390196
-21.0,761,1760.89955
-21.0,821,1780.261214
-20.0,836,1799.626511
-19.0,1081,1824.806862
-21.0,817,1843.749711
-21.0,759,1861.430176
-21.0,825,1880.554459
-19.0,1113,1906.006696
-21.0,865,1926.070976
-21.0,762,1943.573117
-20.0,870,1963.887124
-21.0,849,1983.923596
-21.0,791,2002.587265
-21.0,903,2023.455075
-21.0,804,2042.05521
-21.0,788,2060.462609
-21.0,764,2078.293294
-20.0,1001,2101.769677
-21.0,760,2119.467854
-21.0,936,2141.633855
-20.0,924,2163.524442
-19.0,979,2186.281118
-21.0,818,2205.203861
-20.0,841,2224.587501
-19.0,997,2247.791383
-21.0,886,2268.403524
-19.0,949,2290.391186
-20.0,837,2309.755039
-21.0,824,2328.894222
-20.0,992,2351.743451
-21.0,758,2369.283859
-20.0,842,2388.889571
-21.0,762,2406.192618
-21.0,757,2423.681273
-21.0,760,2441.524446
-21.0,763,2459.379744
-18.0,1069,2484.511833
-21.0,763,2502.349247
-20.0,931,2523.925563
-20.0,903,2544.788623
-21.0,778,2563.258397
-21.0,847,2582.821454
-20.0,1134,2609.179455
-21.0,846,2628.531215
-21.0,821,2647.606709
-20.0,1159,2674.162785
-20.0,840,2693.589201
-20.0,1003,2716.994837
-21.0,913,2738.365371
-21.0,823,2757.97632
-20.0,901,2778.787772
-20.0,1168,2805.953379
-21.0,819,2825.068422
-20.0,890,2845.592111
-21.0,821,2864.570962
-21.0,787,2882.74053
-21.0,844,2902.589542
-20.0,833,2921.949677
-21.0,841,2941.322536
-19.0,938,2963.163517
-20.0,882,2983.486822
-20.0,974,3005.992799
-21.0,819,3025.273235
-19.0,971,3047.898551
-21.0,821,3066.778937
-17.0,1407,3099.47137
-21.0,819,3118.330231
-21.0,853,3138.406584
-20.0,886,3159.016268
-21.0,786,3177.052678
-20.0,835,3196.233453
-21.0,935,3217.536438
-21.0,904,3238.41355
-20.0,877,3258.755
-20.0,915,3279.720711
-21.0,848,3299.23848
-20.0,903,3319.68501
-21.0,849,3339.379838
-21.0,867,3359.218478
-21.0,821,3378.118772
-21.0,847,3396.879558
-21.0,935,3418.189837
-21.0,781,3436.271003
-19.0,1069,3460.185753
-21.0,882,3480.543042
-20.0,982,3502.233685
-21.0,912,3523.208078
-21.0,819,3542.004497
-21.0,846,3561.446122
-21.0,883,3581.682261
-20.0,836,3600.630973
-20.0,863,3620.221659
-19.0,971,3642.074037
-19.0,1003,3665.214823
-20.0,921,3686.418919
-20.0,859,3706.042587
-21.0,820,3725.160967
-20.0,853,3744.336359
-20.0,947,3765.962769
-20.0,1162,3793.091006
-21.0,877,3813.278107
-19.0,1013,3836.439695
-19.0,1006,3859.622862
-20.0,1151,3885.957053
-21.0,894,3906.511098
-21.0,824,3925.384482
-20.0,920,3946.325885
-21.0,777,3964.388462
-19.0,1152,3990.794483
-21.0,865,4010.821203
-21.0,822,4029.260554
-19.0,933,4051.085094
-21.0,885,4070.921117
-20.0,1086,4095.970932
-21.0,910,4116.505062
-20.0,837,4135.668614
-20.0,836,4154.628587
-21.0,877,4174.604691
-21.0,778,4192.609732
-19.0,1049,4216.940009
-20.0,889,4237.343199
-21.0,900,4258.01453
-20.0,923,4279.215427
-20.0,860,4299.125381
-21.0,907,4320.305502
-21.0,818,4339.831961
-18.0,1126,4365.957381
-19.0,1055,4390.494148
-21.0,1120,4416.822963
-20.0,855,4436.68857
-20.0,1006,4460.026911
-21.0,966,4482.947002
-20.0,958,4505.312109
-21.0,825,4524.551232
-21.0,911,4545.71841
-21.0,823,4564.735373
-21.0,792,4582.604981
-21.0,921,4604.126211
-19.0,1159,4630.906631
-21.0,1049,4654.994673
-19.0,1132,4681.284061
-21.0,847,4700.626865
-20.0,1052,4725.298384
-21.0,822,4744.176671
-20.0,887,4765.046432
-21.0,885,4786.00889
-20.0,918,4807.71657
-21.0,927,4828.622324
-20.0,840,4845.881228
-20.0,836,4862.858036
-19.0,920,4881.443914
-20.0,1002,4901.835324
-21.0,836,4919.257285
-19.0,937,4937.961096
-20.0,898,4956.216989
-20.0,958,4975.540193
-20.0,970,4995.605868
-21.0,1013,5016.053158
-21.0,777,5031.823788
-21.0,797,5047.942296
-21.0,789,5063.817158
-21.0,851,5081.245837
-21.0,757,5096.433913
-20.0,957,5116.126388
-20.0,989,5136.167887
-21.0,850,5153.544652
-20.0,839,5170.682727
-21.0,815,5187.142402
-21.0,821,5203.82161
-21.0,824,5220.751158
-21.0,876,5238.483792
-19.0,1035,5259.771924
-18.0,1135,5282.952096
-21.0,791,5299.094121
-20.0,975,5318.807304
-21.0,956,5338.637629
-21.0,821,5355.319099
-21.0,807,5371.829159
-21.0,993,5391.94541
-21.0,762,5407.708166
-20.0,1199,5432.09795
-21.0,882,5450.222686
-20.0,982,5470.379804
-19.0,1030,5491.399146
-20.0,834,5508.423762
-20.0,832,5525.635733
-20.0,901,5543.948282
-21.0,867,5561.791202
-20.0,916,5580.451524
-20.0,868,5598.586283
-21.0,789,5614.586757
-21.0,882,5632.729258
-21.0,912,5651.211829
-20.0,916,5669.860516
-20.0,912,5688.37306
-20.0,956,5707.706521
-19.0,936,5727.025331
-21.0,818,5744.58283
-20.0,888,5765.076315
-20.0,837,5784.423307
-20.0,932,5806.095267
-20.0,961,5828.778619
-21.0,1060,5850.957872
-20.0,897,5869.12979
-21.0,1007,5889.428559
-20.0,902,5907.73525
-20.0,975,5927.272274
-21.0,1033,5948.414047
-20.0,832,5965.332699
-21.0,993,5985.635994
-20.0,947,6005.321728
-21.0,898,6023.662099
-21.0,822,6040.319489
-20.0,837,6057.335206
-20.0,1016,6078.080301
-20.0,883,6096.414219
-20.0,959,6115.92586
-21.0,971,6135.922114
-20.0,987,6155.799986
-20.0,1031,6176.775199
-18.0,1126,6199.732435
-20.0,923,6218.537483
-21.0,939,6237.488703
-20.0,999,6258.261465
-20.0,931,6276.758731
-21.0,781,6292.976404
-20.0,1036,6313.650058
-21.0,782,6329.457232
-19.0,1053,6350.975795
-21.0,757,6366.713131
-21.0,901,6385.054025
-20.0,988,6405.06591
-20.0,1032,6426.170106
-21.0,822,6442.652938
-20.0,879,6460.816549
-21.0,787,6476.799274
-20.0,928,6495.69346
-21.0,762,6511.244799
-20.0,883,6529.249625
-21.0,850,6546.470322
-20.0,966,6565.658044
-19.0,1083,6587.63197
-20.0,856,6605.036792
-19.0,992,6625.142413
-20.0,909,6643.542387
-21.0,791,6659.627667
-20.0,918,6678.236793
-20.0,902,6696.747914
-21.0,852,6714.295815
-21.0,911,6732.701328
-21.0,912,6751.199059
-19.0,1189,6775.46193
-21.0,787,6791.470608
-21.0,763,6806.645018
-20.0,914,6825.256015
-20.0,863,6842.889411
-21.0,791,6859.045086
-21.0,937,6877.698229
-20.0,1009,6898.181206
-21.0,757,6913.682621
-20.0,919,6932.518205
-20.0,986,6952.726258
-21.0,778,6968.581923
-21.0,934,6988.045687
-20.0,925,7006.870246
-20.0,930,7025.76268
-21.0,817,7042.562023
-20.0,958,7061.830765
-19.0,1037,7082.68375
-20.0,878,7100.366291
-20.0,956,7119.569711
-21.0,842,7136.488007
-20.0,833,7153.104494
-20.0,835,7170.510341
