#{"env_id": "PongNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094770.0616505}
r,l,t
-19.0,960,26.431369
-19.0,978,48.579586
-21.0,821,64.993433
-21.0,910,81.360816
-21.0,759,97.431435
-21.0,763,115.27101
-21.0,820,134.143046
-20.0,836,153.672309
-20.0,986,176.45086
-21.0,763,194.233714
-21.0,760,211.867835
-21.0,759,229.506253
-20.0,986,252.046401
-20.0,1020,275.335992
-21.0,763,293.131864
-20.0,964,315.36602
-21.0,824,334.547863
-21.0,785,352.777344
-20.0,841,372.396326
-20.0,976,394.905248
-21.0,761,412.419858
-21.0,758,429.778739
-21.0,787,447.967412
-21.0,758,465.449831
-20.0,903,486.393657
-21.0,760,504.310899
-21.0,806,522.848783
-21.0,757,540.601781
-21.0,759,558.230975
-21.0,821,577.888948
-21.0,806,596.653258
-21.0,762,614.348541
-21.0,764,631.952116
-19.0,986,655.127754
-19.0,971,677.579257
-20.0,941,699.234596
-21.0,913,720.271101
-21.0,805,738.756006
-20.0,941,760.620235
-20.0,976,783.228663
-18.0,1031,807.111401
-18.0,1004,830.495008
-21.0,809,849.558069
-21.0,810,868.484131
-20.0,863,888.906451
-20.0,977,911.768373
-19.0,1325,942.154821
-19.0,968,964.920417
-21.0,779,982.861573
-21.0,836,1002.31232
-20.0,835,1021.455342
-21.0,821,1040.487064
-20.0,923,1061.772199
-21.0,972,1084.339178
-21.0,881,1104.832033
-21.0,777,1122.90832
-20.0,901,1144.035563
-20.0,839,1163.451748
-21.0,780,1181.525887
-21.0,790,1199.76217
-19.0,1125,1225.677061
-20.0,998,1248.865126
-21.0,760,1266.41762
-21.0,847,1285.68143
-21.0,759,1303.320236
-21.0,761,1320.922514
-20.0,837,1340.494808
-20.0,916,1361.45881
-19.0,939,1383.216122
-21.0,790,1401.565665
-18.0,1152,1428.305278
-21.0,867,1448.488581
-21.0,837,1468.071217
-20.0,932,1489.667878
-19.0,936,1511.234463
-21.0,823,1530.102221
-21.0,840,1549.442134
-19.0,940,1571.508335
-21.0,859,1591.670718
-21.0,758,1609.212466
-21.0,763,1626.699896
-21.0,757,1643.958299
-21.0,758,1661.684047
-21.0,760,1679.372517
-21.0,764,1697.202491
-21.0,760,1715.004067
-20.0,1005,1738.192553
-20.0,835,1757.782225
-19.0,1106,1783.293624
-21.0,948,1805.090347
-19.0,960,1827.248167
-20.0,972,1849.982387
-21.0,838,1869.437007
-21.0,762,1886.921599
-21.0,853,1906.525161
-19.0,980,1929.106548
-21.0,762,1946.706868
-20.0,958,1968.698407
-21.0,812,1987.4991
-21.0,764,2005.144031
-21.0,845,2024.483396
-21.0,761,2042.425701
-21.0,818,2061.264992
-21.0,824,2080.251824
-21.0,870,2100.37364
-20.0,883,2120.659679
-21.0,954,2142.863318
-20.0,864,2163.110096
-21.0,817,2182.090353
-20.0,864,2202.213895
-21.0,805,2220.751707
-20.0,981,2243.350683
-21.0,882,2263.777034
-20.0,835,2283.053525
-21.0,839,2302.43455
