#{"gym_version": "0.9.4", "t_start": 1513094862.7977562, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,762,20.830936
-20.0,925,42.179007
-21.0,845,61.854302
-21.0,817,80.601229
-19.0,972,103.129997
-20.0,869,123.076657
-20.0,1042,146.962409
-21.0,848,166.457539
-21.0,962,188.6627
-19.0,1057,213.058749
-21.0,907,233.816621
-21.0,881,254.420347
-20.0,837,274.008671
-21.0,850,293.522492
-20.0,975,315.991763
-21.0,762,333.658978
-21.0,846,352.918581
-21.0,920,374.243767
-21.0,761,392.035836
-21.0,762,409.655869
-21.0,821,428.372535
-21.0,970,450.851682
-20.0,870,470.907131
-20.0,914,492.366372
-21.0,881,512.954886
-21.0,834,532.198992
-21.0,790,550.29777
-19.0,1009,573.832821
-21.0,787,592.329605
-20.0,838,611.690363
-21.0,847,631.160395
-20.0,1060,655.495962
-19.0,975,677.815871
-21.0,1026,701.24215
-21.0,820,720.109396
-21.0,850,739.59498
-18.0,1359,771.366295
-21.0,760,788.983212
-21.0,819,808.273457
-20.0,956,830.288673
-21.0,838,849.453756
-21.0,780,867.862632
-21.0,945,889.827073
-20.0,1063,914.677613
-21.0,886,935.13818
-20.0,1050,959.648482
-21.0,818,978.754141
-20.0,1019,1002.645455
-21.0,822,1021.764837
-21.0,764,1039.470302
-21.0,825,1058.505618
-21.0,780,1076.657623
-20.0,1010,1100.14581
-21.0,841,1119.667518
-19.0,1157,1146.022103
-20.0,1036,1169.915978
-21.0,791,1188.08998
-21.0,884,1208.553219
-21.0,865,1228.42574
-21.0,818,1247.433046
-20.0,1075,1272.228301
-21.0,787,1290.570426
-21.0,941,1312.400366
-19.0,932,1334.068452
-20.0,922,1355.691961
-20.0,1052,1380.100799
-21.0,762,1397.722121
-21.0,758,1415.207666
-21.0,913,1436.320285
-21.0,786,1454.286798
-20.0,899,1474.673337
-19.0,1001,1498.141926
-20.0,884,1518.471392
-18.0,1148,1544.893515
-20.0,983,1567.70411
-21.0,965,1590.369844
-21.0,906,1611.064068
-21.0,790,1629.354886
-20.0,1125,1655.329656
-20.0,926,1676.81209
-20.0,1078,1701.474189
-19.0,1153,1728.468447
-21.0,886,1749.278489
-20.0,992,1772.426353
-21.0,940,1794.470108
-19.0,1079,1819.507151
-21.0,880,1839.777486
-21.0,824,1858.717051
-20.0,887,1878.958533
