#{"t_start": 1513094815.545022, "gym_version": "0.9.4", "env_id": "QbertNoFrameskip-v4"}
r,l,t
150.0,299,10.056858
0.0,284,14.946102
100.0,311,20.272465
25.0,280,24.970306
150.0,285,29.836765
75.0,264,34.357183
25.0,292,39.501823
50.0,247,43.693641
350.0,429,54.279023
250.0,368,62.435207
150.0,382,71.25069
75.0,273,77.313907
75.0,325,84.56868
225.0,330,92.12066
375.0,474,102.801826
200.0,364,110.93742
75.0,310,117.699209
575.0,406,126.633868
25.0,246,132.177311
50.0,343,140.079861
0.0,280,146.481456
0.0,282,152.851645
50.0,300,159.595316
0.0,279,165.785788
50.0,294,172.299632
225.0,307,179.126117
225.0,303,185.754117
600.0,536,197.965708
325.0,380,206.464517
125.0,322,213.535354
75.0,274,219.675442
75.0,306,226.543139
50.0,259,232.26874
50.0,265,238.124707
125.0,294,244.599004
150.0,318,251.717208
50.0,311,258.69247
175.0,273,264.65545
125.0,318,271.863057
75.0,259,277.620221
0.0,280,283.783382
75.0,314,290.840656
300.0,367,299.108841
125.0,317,306.147521
25.0,296,312.894594
125.0,324,319.949417
75.0,270,325.960994
200.0,372,334.312941
150.0,339,341.685087
25.0,291,348.088931
200.0,355,355.96678
50.0,309,362.977833
0.0,290,369.302611
50.0,318,376.542795
75.0,265,382.399044
125.0,337,389.872301
450.0,410,399.10829
0.0,277,405.345812
250.0,326,412.701401
175.0,290,419.196197
25.0,289,425.683064
125.0,353,433.312102
225.0,388,442.089109
50.0,299,448.772334
300.0,387,457.296606
125.0,358,465.489358
125.0,409,474.841948
100.0,318,481.87709
250.0,349,490.018276
200.0,350,497.936304
150.0,353,505.765683
550.0,370,514.118305
200.0,383,523.112542
150.0,344,530.906738
250.0,361,538.955883
200.0,292,545.680715
250.0,345,553.36482
250.0,404,562.38894
175.0,340,570.011362
75.0,272,576.007622
175.0,335,583.420504
125.0,320,590.438636
0.0,280,596.537825
50.0,284,603.123579
150.0,361,611.217501
50.0,303,617.769675
50.0,295,624.234301
100.0,317,631.270424
75.0,332,638.937033
125.0,271,644.953884
250.0,384,653.60219
150.0,261,659.446105
100.0,290,665.849813
50.0,298,672.712421
225.0,345,680.599571
325.0,382,689.076654
75.0,314,696.142916
75.0,315,703.264948
50.0,297,709.894341
300.0,463,720.55353
50.0,306,727.380815
25.0,288,733.683726
50.0,299,740.215109
300.0,454,750.498247
150.0,349,758.430459
0.0,287,764.581215
100.0,322,771.768718
0.0,282,777.888504
75.0,318,784.970284
0.0,281,791.151376
150.0,342,799.006939
100.0,323,806.23156
25.0,296,812.848437
550.0,379,821.352855
0.0,286,827.807664
250.0,343,835.663851
75.0,397,844.796669
150.0,342,852.531502
75.0,297,859.097628
50.0,288,865.548568
300.0,434,875.302747
50.0,298,881.853591
125.0,312,888.883119
150.0,335,896.387058
25.0,289,902.916272
0.0,284,909.365972
50.0,299,916.055665
25.0,295,922.621392
175.0,288,929.032794
75.0,309,936.054826
50.0,244,941.385231
250.0,357,949.16879
125.0,334,956.888975
350.0,448,967.132752
400.0,440,977.067411
375.0,403,986.317548
50.0,309,993.268417
75.0,289,999.74748
525.0,384,1008.18241
100.0,294,1014.753574
525.0,406,1024.105491
125.0,298,1030.75909
100.0,286,1037.304947
525.0,509,1048.83513
0.0,278,1055.156129
150.0,351,1063.103654
150.0,363,1071.162378
50.0,294,1077.825359
125.0,324,1085.054718
175.0,317,1092.232879
50.0,300,1098.955146
125.0,280,1105.250118
75.0,323,1112.533562
50.0,309,1119.606215
275.0,400,1128.799189
125.0,320,1135.989639
225.0,366,1144.39459
250.0,366,1152.581885
125.0,265,1158.7303
450.0,500,1170.007061
375.0,418,1179.354012
125.0,335,1187.121707
250.0,383,1195.730218
300.0,407,1204.79179
100.0,316,1212.082169
250.0,297,1218.748043
50.0,302,1225.456954
600.0,379,1233.92929
600.0,385,1242.631881
575.0,380,1251.239263
100.0,316,1258.275867
275.0,396,1267.181372
125.0,318,1274.24364
25.0,285,1280.601266
425.0,515,1292.303808
150.0,285,1298.565418
525.0,394,1307.559319
175.0,281,1313.895116
675.0,427,1323.706046
575.0,380,1332.253828
25.0,294,1338.875596
225.0,396,1347.676617
250.0,308,1354.560367
225.0,297,1361.043826
300.0,326,1368.41885
175.0,332,1376.051797
350.0,441,1386.035797
225.0,294,1392.668705
325.0,349,1400.532341
175.0,289,1407.132827
325.0,325,1414.647672
175.0,277,1420.800582
250.0,396,1429.757777
325.0,370,1438.069033
50.0,247,1443.454091
625.0,418,1452.919283
150.0,302,1459.640299
275.0,312,1466.439917
325.0,314,1473.500757
325.0,429,1483.110844
650.0,520,1494.950896
150.0,281,1501.175036
150.0,277,1507.395074
300.0,359,1515.521055
350.0,316,1522.548047
425.0,492,1533.79713
600.0,405,1543.059369
325.0,415,1552.432662
200.0,316,1559.620272
250.0,387,1568.308213
250.0,298,1575.033798
300.0,369,1583.243696
350.0,452,1593.585338
725.0,456,1604.049269
300.0,482,1615.270529
150.0,316,1622.446369
300.0,480,1633.406154
225.0,368,1641.723825
250.0,306,1648.481952
275.0,307,1655.277475
150.0,370,1663.617291
150.0,319,1670.738072
400.0,504,1682.334154
175.0,362,1690.491927
325.0,453,1700.711724
150.0,358,1708.852751
275.0,306,1715.724783
125.0,250,1721.154557
300.0,419,1730.961912
325.0,415,1740.257374
250.0,301,1746.909084
300.0,410,1756.110506
375.0,396,1765.243238
425.0,414,1774.780672
250.0,318,1781.859086
650.0,406,1791.069506
300.0,320,1798.145957
400.0,503,1809.618654
125.0,296,1816.239545
450.0,489,1827.531608
450.0,426,1837.096764
200.0,363,1845.254952
400.0,435,1855.226153
150.0,294,1861.831671
200.0,316,1869.011136
175.0,272,1875.113268
200.0,333,1882.374717
350.0,382,1890.926434
325.0,340,1898.48613
200.0,389,1907.14319
525.0,376,1915.520476
150.0,279,1921.840754
175.0,294,1928.434411
150.0,337,1935.786296
225.0,316,1942.996486
675.0,447,1953.147473
125.0,321,1960.419146
300.0,389,1969.219985
275.0,440,1979.332767
325.0,382,1988.322446
275.0,300,1995.05618
300.0,336,2002.765304
325.0,384,2011.363971
275.0,337,2019.023268
150.0,311,2025.954136
300.0,336,2033.43099
225.0,322,2040.6681
300.0,373,2049.097899
250.0,405,2058.356966
300.0,394,2067.273574
200.0,344,2075.149351
150.0,319,2082.418968
625.0,370,2090.833286
125.0,318,2097.950345
325.0,372,2106.281753
250.0,313,2113.598724
200.0,296,2120.109503
325.0,423,2129.472656
300.0,427,2139.8223
300.0,345,2147.613897
425.0,536,2160.226891
200.0,368,2168.641444
175.0,294,2175.453255
150.0,287,2181.72314
175.0,326,2188.853125
200.0,380,2197.592821
300.0,347,2205.251735
400.0,435,2215.061559
250.0,343,2222.730209
125.0,250,2228.267295
450.0,345,2236.051401
175.0,295,2242.679544
250.0,292,2249.255715
300.0,326,2256.55023
250.0,441,2266.542484
325.0,382,2275.213918
325.0,375,2283.744366
650.0,428,2293.329891
200.0,289,2299.88558
200.0,343,2307.506388
425.0,446,2317.756761
175.0,292,2324.231115
225.0,306,2330.988763
275.0,299,2337.591301
300.0,381,2346.2168
200.0,352,2353.994377
250.0,355,2362.069828
275.0,299,2368.751199
175.0,291,2375.312777
275.0,350,2383.085902
300.0,399,2392.150086
200.0,321,2399.022816
250.0,299,2405.787749
300.0,373,2414.120181
350.0,423,2423.70761
225.0,363,2432.091397
200.0,361,2440.210538
325.0,392,2449.168189
225.0,271,2455.232669
150.0,283,2461.59936
625.0,428,2471.453444
300.0,322,2478.862632
700.0,426,2488.464382
275.0,346,2496.446512
300.0,340,2504.084088
200.0,342,2511.780019
300.0,391,2520.623174
400.0,401,2529.517576
200.0,296,2536.246383
175.0,352,2544.167754
275.0,362,2552.406447
325.0,427,2562.430542
275.0,361,2570.35302
325.0,313,2577.435529
250.0,343,2585.271512
300.0,349,2593.395029
175.0,284,2599.598734
275.0,400,2608.514571
375.0,498,2619.659849
475.0,394,2628.451758
325.0,417,2637.85605
250.0,360,2646.086493
325.0,388,2654.701496
325.0,335,2662.006474
125.0,285,2668.337068
250.0,328,2675.811616
250.0,333,2683.150988
225.0,373,2691.514782
750.0,517,2703.360475
225.0,312,2710.298364
200.0,277,2716.676445
325.0,320,2724.020374
300.0,335,2731.64158
275.0,339,2739.196903
200.0,309,2746.365103
275.0,323,2753.763645
175.0,317,2760.941332
325.0,368,2769.202352
175.0,350,2777.155143
250.0,306,2784.095934
250.0,330,2791.552243
375.0,393,2800.349288
600.0,411,2809.796284
150.0,318,2816.836698
375.0,434,2826.716144
450.0,504,2838.003561
300.0,391,2846.901024
300.0,362,2855.044002
175.0,376,2863.518681
275.0,298,2870.019352
250.0,345,2877.786168
675.0,424,2887.381242
125.0,278,2893.701601
500.0,502,2905.458006
350.0,350,2913.375323
250.0,276,2919.568403
300.0,326,2926.883143
225.0,399,2935.703808
325.0,416,2944.996885
250.0,349,2952.906545
175.0,357,2961.004116
350.0,400,2970.008968
675.0,415,2979.277466
550.0,369,2987.577192
325.0,320,2994.788039
275.0,313,3001.822995
325.0,390,3010.712559
400.0,518,3022.62486
200.0,332,3030.122455
650.0,407,3039.412766
400.0,425,3049.036726
225.0,378,3057.35257
175.0,277,3063.559114
125.0,314,3070.6557
700.0,426,3080.209707
300.0,323,3087.561489
400.0,437,3097.514952
200.0,314,3104.520799
375.0,397,3113.423837
125.0,260,3119.16747
150.0,303,3126.02246
750.0,496,3137.443466
650.0,427,3147.136373
375.0,429,3156.984997
400.0,390,3165.875414
350.0,469,3176.238345
150.0,322,3183.392384
225.0,296,3190.04394
300.0,334,3197.314297
850.0,478,3207.938989
175.0,336,3215.47976
250.0,352,3223.489568
250.0,354,3231.352
250.0,334,3238.767785
300.0,380,3247.38879
325.0,344,3255.052167
225.0,342,3262.643664
250.0,281,3268.916603
225.0,294,3275.394387
275.0,406,3284.633311
200.0,305,3291.427895
275.0,317,3298.366457
175.0,316,3305.186976
225.0,305,3311.902723
300.0,356,3319.79628
325.0,483,3330.814084
250.0,333,3338.2037
275.0,359,3346.371776
625.0,423,3355.723127
300.0,307,3362.439608
625.0,394,3371.1885
275.0,367,3379.514659
325.0,317,3386.396467
250.0,321,3393.302036
75.0,294,3399.464044
225.0,337,3406.781239
200.0,319,3413.861344
250.0,386,3422.647144
450.0,552,3435.232669
125.0,264,3440.754005
550.0,332,3447.918591
475.0,416,3457.169744
200.0,282,3463.241371
250.0,335,3470.670463
625.0,522,3482.683417
400.0,409,3491.616498
250.0,330,3498.60286
250.0,302,3505.073904
275.0,321,3512.186165
275.0,338,3519.839121
600.0,392,3528.350621
275.0,446,3538.37141
325.0,373,3546.77655
275.0,343,3554.586033
175.0,327,3561.73697
225.0,357,3569.721628
250.0,320,3576.78833
225.0,309,3583.835095
375.0,418,3592.846478
225.0,381,3601.255653
250.0,369,3609.548075
250.0,297,3616.027577
225.0,344,3623.431992
675.0,478,3634.175728
325.0,310,3640.763507
375.0,366,3648.809848
425.0,443,3658.885932
325.0,432,3668.569897
275.0,397,3677.455191
425.0,416,3686.898789
275.0,323,3693.983417
450.0,386,3702.695448
250.0,382,3711.14146
300.0,448,3721.366356
125.0,323,3728.581819
300.0,377,3736.715981
350.0,378,3745.127056
375.0,518,3756.842432
350.0,467,3767.206066
100.0,314,3774.233582
275.0,370,3782.603439
300.0,299,3789.402056
375.0,369,3797.680892
225.0,337,3805.173475
550.0,325,3812.455435
