#{"env_id": "QbertNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.375893}
r,l,t
550.0,370,11.153742
200.0,407,20.294386
250.0,364,28.769365
175.0,366,35.995397
25.0,289,41.58226
100.0,343,50.601626
75.0,309,56.906655
75.0,285,61.81832
225.0,326,67.317042
200.0,421,74.705984
250.0,311,80.198073
150.0,336,85.965581
100.0,332,93.710181
0.0,283,100.015077
200.0,348,107.945216
50.0,296,114.642811
200.0,358,122.69535
125.0,298,129.260866
125.0,321,136.533637
150.0,331,143.945277
75.0,278,150.159614
450.0,513,161.748271
25.0,293,168.212398
150.0,362,176.563332
75.0,264,182.452917
0.0,273,188.580463
100.0,271,194.719276
125.0,339,202.245403
75.0,315,209.430557
50.0,321,216.650171
100.0,320,223.862386
125.0,340,231.444953
225.0,313,238.222298
75.0,301,244.97823
150.0,313,251.861843
200.0,370,260.090357
200.0,387,268.66788
675.0,506,280.068051
150.0,307,287.185388
175.0,389,295.797532
125.0,369,304.094213
200.0,363,312.280899
75.0,276,318.409449
25.0,293,324.948544
125.0,363,333.244398
0.0,281,339.578575
75.0,327,346.95985
25.0,291,353.51112
300.0,360,361.598729
50.0,298,368.313757
225.0,362,376.346648
75.0,308,383.213997
150.0,348,391.110314
100.0,263,396.97802
250.0,388,405.735538
175.0,333,412.994456
525.0,423,422.55117
75.0,303,429.175623
250.0,314,436.21213
50.0,298,442.957078
325.0,420,452.264786
225.0,319,459.413607
225.0,371,467.87267
600.0,379,476.390798
275.0,364,484.573781
150.0,339,492.285143
125.0,342,500.158282
475.0,395,509.03153
350.0,505,520.407149
0.0,283,526.641153
100.0,344,534.56037
375.0,469,545.475592
75.0,307,552.222838
150.0,357,560.403041
25.0,300,567.494714
75.0,333,575.141122
25.0,242,580.490015
250.0,414,589.933842
75.0,278,596.093647
275.0,342,603.651011
200.0,323,611.063943
50.0,264,616.932713
0.0,274,623.05618
50.0,297,629.64858
550.0,470,640.448802
250.0,381,649.285009
350.0,413,658.546216
275.0,410,667.765719
200.0,301,674.569804
225.0,437,684.466216
475.0,732,700.842264
125.0,297,707.555851
0.0,283,713.844398
75.0,281,720.051736
25.0,288,726.445607
25.0,289,732.910185
125.0,334,740.237952
175.0,311,747.257626
150.0,315,754.429705
200.0,318,761.529007
200.0,325,768.844409
150.0,328,776.20314
150.0,284,782.556403
125.0,351,790.47676
125.0,340,798.062331
200.0,314,805.11625
0.0,280,811.246652
450.0,338,818.888608
200.0,411,828.372149
225.0,412,837.776078
75.0,253,843.637402
175.0,305,850.422013
125.0,318,857.610405
275.0,373,866.108686
500.0,357,874.218615
50.0,257,880.210467
25.0,287,886.695233
125.0,313,893.798478
175.0,288,900.251857
175.0,316,907.402445
125.0,290,913.928752
225.0,343,921.538223
625.0,487,932.3227
275.0,395,941.254103
75.0,305,948.419559
250.0,365,956.761903
150.0,366,964.86479
175.0,287,971.350783
150.0,337,978.752071
100.0,271,984.815806
125.0,321,991.848486
575.0,430,1001.793936
250.0,375,1010.038819
200.0,386,1018.73591
475.0,362,1027.03921
200.0,304,1033.825152
300.0,390,1042.600511
75.0,273,1048.558734
275.0,334,1055.985224
275.0,457,1066.473058
200.0,305,1073.207805
325.0,415,1082.623262
125.0,357,1090.628501
200.0,332,1098.086852
350.0,389,1106.99608
250.0,330,1114.44392
175.0,346,1122.230596
350.0,414,1131.57758
175.0,315,1138.795251
150.0,301,1145.523455
200.0,347,1153.190031
125.0,275,1159.32064
25.0,291,1166.024356
275.0,345,1173.839522
75.0,312,1180.830853
400.0,462,1191.270461
200.0,318,1198.353137
250.0,369,1206.614661
75.0,265,1212.372472
500.0,355,1220.338577
175.0,319,1227.460732
625.0,416,1236.742563
75.0,327,1244.211584
200.0,279,1250.540416
250.0,435,1260.250992
400.0,414,1269.678718
325.0,370,1277.81589
275.0,360,1285.85466
250.0,416,1295.333483
175.0,307,1302.143265
275.0,315,1309.155844
350.0,420,1318.673148
50.0,303,1325.438382
250.0,399,1334.600867
325.0,385,1343.218584
175.0,359,1351.155263
200.0,312,1358.127208
250.0,347,1365.894495
225.0,392,1374.675474
225.0,343,1382.498892
500.0,393,1391.304622
200.0,413,1400.792627
150.0,311,1407.560032
200.0,305,1414.441408
200.0,353,1422.399596
150.0,340,1430.161765
100.0,274,1436.21898
675.0,371,1444.627196
925.0,582,1458.294827
300.0,356,1466.176152
175.0,314,1473.264468
25.0,253,1478.991986
450.0,413,1488.170937
125.0,269,1494.126364
500.0,369,1502.517729
50.0,294,1509.000766
200.0,408,1518.156757
200.0,349,1525.843819
275.0,402,1534.96576
550.0,393,1543.743954
125.0,406,1552.948161
625.0,413,1562.390021
375.0,440,1572.377319
225.0,305,1579.359562
250.0,386,1588.076064
200.0,291,1594.687065
225.0,315,1601.754898
325.0,404,1610.843149
275.0,313,1617.815896
125.0,322,1624.939697
300.0,422,1634.273885
250.0,337,1641.773346
75.0,314,1648.731781
175.0,355,1657.045017
375.0,435,1666.863577
275.0,418,1676.383796
250.0,306,1683.414606
175.0,309,1690.360986
125.0,317,1697.397543
275.0,374,1705.945664
600.0,454,1716.228434
225.0,410,1725.450188
175.0,299,1732.184672
275.0,339,1739.708303
275.0,289,1746.337604
250.0,305,1753.198406
250.0,393,1762.139209
175.0,318,1769.287764
1175.0,508,1780.633052
1250.0,686,1796.263318
275.0,364,1804.365791
125.0,298,1810.941468
350.0,376,1819.559344
225.0,336,1827.012162
