#{"gym_version": "0.9.4", "t_start": 1513094862.9904757, "env_id": "QbertNoFrameskip-v4"}
r,l,t
225.0,403,12.133819
50.0,256,17.763182
500.0,378,26.215727
25.0,298,32.871168
0.0,283,39.100373
75.0,318,46.405632
100.0,362,54.464945
25.0,253,60.187832
150.0,321,67.361394
175.0,284,73.724638
175.0,309,80.477407
50.0,257,86.310973
75.0,304,93.029889
150.0,362,101.203769
0.0,274,107.171044
50.0,272,113.273836
200.0,413,122.435151
175.0,299,129.159391
200.0,395,138.108597
725.0,508,149.306757
50.0,301,156.204746
0.0,278,162.301588
125.0,346,169.83175
125.0,342,177.502342
175.0,321,184.724176
0.0,275,190.886956
200.0,343,198.507679
500.0,414,207.757112
25.0,284,214.135286
175.0,283,220.355342
0.0,282,226.667639
200.0,374,234.903318
150.0,390,243.7755
50.0,303,250.673979
100.0,308,257.655654
150.0,321,265.011319
100.0,318,272.125948
100.0,340,279.617589
150.0,346,287.292503
75.0,319,294.525816
475.0,404,303.433506
175.0,306,310.352052
25.0,298,316.994068
75.0,313,323.90523
0.0,290,330.54126
125.0,358,338.448899
275.0,391,347.20556
100.0,325,354.414357
75.0,307,361.25025
25.0,289,367.709472
425.0,355,375.748799
50.0,314,382.8055
50.0,310,389.817526
100.0,288,396.42351
50.0,300,402.980121
100.0,320,410.147192
25.0,290,416.498218
275.0,419,425.891894
200.0,340,433.439438
75.0,324,440.838083
150.0,329,448.172409
125.0,269,454.075998
100.0,272,460.027655
475.0,395,469.02491
125.0,280,475.265846
150.0,393,484.188812
200.0,365,492.571573
400.0,514,504.392763
0.0,275,510.574316
0.0,285,516.837831
150.0,374,525.243661
75.0,261,531.002247
50.0,249,536.600968
150.0,402,545.579748
225.0,348,553.247446
125.0,391,562.148077
200.0,363,570.279994
150.0,376,579.056388
100.0,348,586.962525
25.0,251,592.587908
600.0,412,601.814471
50.0,289,608.338199
175.0,275,614.36907
50.0,305,621.136194
50.0,303,627.898494
0.0,288,634.253563
0.0,275,640.205588
75.0,264,646.11726
0.0,283,652.335724
150.0,448,662.444597
325.0,398,671.329104
175.0,278,677.497837
175.0,394,686.250715
125.0,326,693.456497
275.0,328,700.705546
125.0,299,707.22518
125.0,317,714.350155
125.0,302,721.144369
75.0,322,728.204714
25.0,286,734.61846
225.0,338,742.145859
125.0,327,749.647807
325.0,331,757.119196
125.0,314,764.135618
75.0,322,771.426242
75.0,311,778.310596
50.0,297,785.041764
50.0,305,792.002826
50.0,253,797.673165
50.0,254,803.4442
325.0,492,814.63398
100.0,322,821.738051
725.0,563,834.423656
0.0,278,840.556574
25.0,287,846.884604
0.0,287,853.210796
250.0,403,862.82219
100.0,315,869.848771
275.0,279,876.137187
175.0,328,883.554817
325.0,313,890.440925
375.0,411,899.752932
50.0,294,906.582366
650.0,392,915.366735
225.0,306,922.022882
50.0,300,928.813187
175.0,343,936.549266
300.0,332,944.146969
200.0,340,951.810512
100.0,315,958.856312
325.0,456,969.045692
225.0,385,978.028248
525.0,408,987.480693
75.0,327,995.004228
225.0,378,1003.478823
250.0,344,1011.156098
100.0,390,1020.0886
200.0,400,1029.075355
100.0,341,1036.694903
225.0,313,1043.881691
75.0,329,1051.146671
150.0,349,1058.880993
200.0,390,1067.864463
200.0,323,1075.091201
275.0,388,1083.849438
50.0,252,1089.283767
50.0,300,1096.126478
100.0,351,1104.071454
150.0,393,1113.17771
150.0,276,1119.154307
50.0,290,1125.47287
100.0,317,1132.489614
475.0,363,1140.578233
175.0,269,1146.415689
100.0,321,1153.641258
275.0,383,1162.225571
75.0,304,1168.942417
275.0,347,1176.876119
200.0,281,1183.035985
225.0,315,1189.988153
250.0,396,1198.892144
200.0,317,1206.040861
375.0,378,1214.425686
375.0,498,1225.501717
150.0,293,1232.106719
200.0,352,1240.149586
175.0,352,1248.059908
225.0,304,1254.706947
225.0,352,1262.771108
325.0,321,1269.929615
125.0,318,1276.90764
150.0,266,1282.849144
325.0,406,1292.234895
200.0,304,1299.084685
275.0,366,1307.358043
225.0,305,1314.145456
250.0,429,1323.72097
225.0,302,1330.575821
225.0,362,1338.747294
225.0,372,1347.295443
175.0,350,1355.317771
675.0,374,1363.8536
225.0,299,1370.591201
50.0,291,1377.07941
225.0,454,1387.258801
225.0,305,1394.045138
200.0,306,1400.922869
225.0,334,1408.520032
850.0,475,1419.102498
375.0,438,1429.064554
300.0,356,1436.983265
350.0,377,1445.415912
200.0,325,1452.532304
125.0,309,1459.425527
225.0,302,1465.985956
125.0,340,1473.433776
175.0,291,1479.964993
275.0,429,1489.806066
200.0,338,1497.437773
150.0,347,1505.148897
150.0,330,1512.494369
300.0,346,1520.37231
275.0,325,1527.758343
300.0,473,1538.269067
175.0,291,1544.647936
275.0,323,1551.935974
375.0,340,1559.514826
625.0,422,1569.126603
250.0,399,1578.152861
150.0,284,1584.488996
225.0,316,1591.85984
225.0,349,1599.584926
175.0,447,1609.544594
250.0,364,1617.660791
250.0,361,1625.819027
275.0,352,1633.908958
200.0,336,1641.303131
175.0,341,1648.917361
275.0,312,1655.814192
200.0,348,1663.690676
200.0,347,1671.329848
250.0,365,1679.780267
175.0,336,1687.183353
550.0,399,1696.057896
200.0,403,1705.089354
250.0,282,1711.426956
250.0,343,1719.185704
400.0,507,1730.94802
350.0,352,1738.958888
225.0,476,1749.892396
250.0,326,1757.360332
175.0,382,1765.978204
375.0,435,1775.760929
275.0,346,1783.628856
350.0,323,1790.911367
200.0,304,1797.912135
350.0,450,1808.073072
350.0,401,1817.1343
225.0,361,1825.400055
400.0,496,1836.467003
200.0,307,1843.303379
350.0,430,1852.876346
300.0,378,1861.421513
175.0,299,1867.86045
375.0,414,1877.16483
325.0,347,1884.97534
250.0,312,1891.904999
300.0,358,1899.998818
250.0,451,1910.089468
275.0,318,1917.341405
275.0,365,1925.779031
275.0,372,1934.340584
225.0,343,1942.19717
225.0,343,1949.899032
200.0,355,1957.864846
225.0,335,1965.316638
225.0,290,1971.662553
275.0,329,1978.886622
250.0,317,1985.830076
550.0,358,1993.824934
275.0,328,2001.054089
400.0,521,2012.827953
250.0,337,2020.332095
250.0,316,2027.534232
225.0,335,2035.355932
225.0,350,2043.339807
325.0,416,2052.816222
300.0,366,2061.050749
525.0,373,2069.597269
