#{"t_start": 1513095645.700077, "env_id": "QbertNoFrameskip-v4", "gym_version": "0.9.2"}
r,l,t
50.0,303,6.575857
75.0,267,9.398325
50.0,264,12.091407
125.0,367,15.918458
275.0,394,20.121214
225.0,374,24.029726
325.0,322,27.37972
400.0,433,31.942255
275.0,363,36.846584
125.0,382,41.895234
25.0,292,44.947474
150.0,358,48.655891
500.0,354,52.333941
300.0,394,57.529108
125.0,314,61.468719
350.0,388,66.502543
75.0,314,70.567482
500.0,384,75.564095
150.0,302,79.369897
25.0,248,82.582735
150.0,353,87.136348
175.0,349,91.670601
50.0,296,95.453851
350.0,474,101.643237
75.0,315,105.741085
175.0,352,110.33017
600.0,431,115.996908
275.0,330,120.283454
225.0,341,124.719297
200.0,315,128.790096
75.0,334,133.156775
0.0,286,136.862018
250.0,420,142.255541
25.0,301,146.098531
0.0,283,149.764301
300.0,365,154.48956
50.0,284,158.132832
325.0,424,163.77759
300.0,400,169.066617
325.0,346,173.678099
550.0,376,178.544996
325.0,514,185.240592
275.0,360,189.896402
125.0,324,194.002551
350.0,403,199.30531
200.0,390,204.304709
150.0,344,208.800578
0.0,281,212.367739
0.0,277,215.902333
275.0,367,220.601351
50.0,311,224.674234
0.0,277,228.359589
75.0,315,232.412456
50.0,293,236.137278
425.0,352,240.680415
125.0,308,244.658755
50.0,293,248.349552
25.0,285,252.054099
75.0,304,255.997643
50.0,292,259.855368
500.0,391,264.921097
125.0,318,269.091339
25.0,291,272.912357
125.0,313,276.898023
200.0,319,281.007402
275.0,378,285.947626
225.0,436,291.596658
200.0,293,295.331317
550.0,377,300.182693
250.0,343,304.507438
650.0,464,310.594189
500.0,351,315.180952
0.0,284,318.809453
50.0,303,322.792173
150.0,337,327.171272
350.0,446,332.97837
250.0,305,337.016039
50.0,296,340.77466
250.0,330,345.065623
275.0,391,350.11159
50.0,265,353.477547
125.0,373,358.264319
125.0,293,362.109345
525.0,455,367.995138
75.0,270,371.407877
150.0,325,375.586728
125.0,316,379.77258
25.0,300,383.598855
150.0,303,387.630774
125.0,279,391.245204
150.0,277,394.845187
275.0,350,399.350258
350.0,412,404.702261
275.0,348,409.14972
175.0,357,413.721398
125.0,305,417.636314
275.0,338,421.863068
150.0,357,426.502663
200.0,293,430.256098
175.0,369,435.068084
125.0,319,439.221762
150.0,399,444.520526
375.0,537,451.562627
250.0,369,456.326732
250.0,339,460.724036
225.0,447,466.484915
200.0,281,470.075936
175.0,262,473.363103
250.0,365,477.993948
75.0,304,481.817793
275.0,326,486.018862
225.0,360,490.829103
500.0,418,496.238183
500.0,380,501.223961
0.0,281,504.883034
150.0,328,509.059468
100.0,315,513.13002
225.0,352,517.684792
250.0,348,522.283027
50.0,307,526.332758
250.0,365,531.103046
225.0,312,535.013647
125.0,263,538.395416
75.0,263,541.628654
150.0,376,546.450191
225.0,313,550.583687
150.0,303,554.548981
275.0,395,559.687166
175.0,301,563.49097
300.0,361,568.112934
600.0,376,572.991931
225.0,296,576.848853
225.0,376,581.58811
225.0,359,586.216622
175.0,376,591.075265
325.0,381,595.960544
275.0,486,602.301336
300.0,313,606.440117
375.0,395,611.615068
175.0,324,615.695841
300.0,308,619.685485
600.0,425,625.185219
200.0,320,629.310555
200.0,311,633.33532
300.0,337,637.751049
775.0,505,644.419443
400.0,490,650.902719
550.0,312,654.870993
200.0,308,658.924818
275.0,348,663.319666
250.0,317,667.355788
325.0,348,671.937082
